time,H_VV_out_alpha,H_VV_out_beta
213.0,-1.883333491588862e+19,-1.883333491588862e+19
214.0,-1.892175432863927e+19,-1.892175432863927e+19
215.0,-1.9010173741389922e+19,-1.9010173741389922e+19
216.0,-1.9098593154140574e+19,-1.9098593154140574e+19
217.0,-1.9187012566891225e+19,-1.9187012566891225e+19
218.0,-1.9275431979641876e+19,-1.9275431979641876e+19
219.0,-1.9363851392392524e+19,-1.9363851392392524e+19
220.0,-1.9452270805143175e+19,-1.9452270805143175e+19
221.0,-1.9540690217893827e+19,-1.9540690217893827e+19
222.0,-1.962910963064448e+19,-1.962910963064448e+19
223.0,-1.971752904339513e+19,-1.971752904339513e+19
224.0,-1.980594845614578e+19,-1.980594845614578e+19
225.0,-1.9894367868896432e+19,-1.9894367868896432e+19
226.0,-1.998278728164708e+19,-1.998278728164708e+19
227.0,-2.007120669439773e+19,-2.007120669439773e+19
228.0,-2.0159626107148382e+19,-2.0159626107148382e+19
229.0,-2.0248045519899034e+19,-2.0248045519899034e+19
230.0,-2.0336464932649685e+19,-2.0336464932649685e+19
231.0,-2.0424884345400336e+19,-2.0424884345400336e+19
232.0,-2.0513303758150988e+19,-2.0513303758150988e+19
233.0,-2.0601723170901635e+19,-2.0601723170901635e+19
234.0,-2.0690142583652286e+19,-2.0690142583652286e+19
235.0,-2.0778561996402938e+19,-2.0778561996402938e+19
236.0,-2.086698140915359e+19,-2.086698140915359e+19
237.0,-2.095540082190424e+19,-2.095540082190424e+19
238.0,-2.104382023465489e+19,-2.104382023465489e+19
239.0,-2.1132239647405543e+19,-2.1132239647405543e+19
240.0,-2.122065906015619e+19,-2.122065906015619e+19
241.0,-2.1309078472906842e+19,-2.1309078472906842e+19
242.0,-2.1397497885657494e+19,-2.1397497885657494e+19
243.0,-2.1485917298408145e+19,-2.1485917298408145e+19
244.0,-2.1574336711158796e+19,-2.1574336711158796e+19
245.0,-2.1662756123909448e+19,-2.1662756123909448e+19
246.0,-2.17511755366601e+19,-2.17511755366601e+19
247.0,-2.1839594949410746e+19,-2.1839594949410746e+19
248.0,-2.1928014362161398e+19,-2.1928014362161398e+19
249.0,-2.201643377491205e+19,-2.201643377491205e+19
