environment | time (second),inlet | u_mmHg (dimensionless),inlet | v_mm3_s (mm3_per_s),PV1 | u_mmHg (dimensionless),PV1 | v_mm3_s (mm3_per_s),PV2 | u_mmHg (dimensionless),PV2 | v_mm3_s (mm3_per_s),V1 | u_mmHg (dimensionless),V1 | v_mm3_s (mm3_per_s),V2 | u_mmHg (dimensionless),V2 | v_mm3_s (mm3_per_s),VV_junc1 | H_VV_out_alpha (dimensionless),VV_junc1 | H_VV_out_beta (dimensionless),VV_junc1 | u_mmHg (dimensionless),VV_junc1 | v_mm3_s (mm3_per_s)
505,49.9540985071738,5.07231495348877e-06,49.8100768179901,1.61264628532218e-11,49.8678563368242,5.07230324726525e-06,49.750000344872,1.61268840007116e-11,49.865561259671,5.07229879817995e-06,0.450001769285997,0.629641616010921,49.9081970145122,5.07231494069128e-06
506,49.9540836645327,5.07395551099761e-06,49.8100533156998,1.60532947767634e-11,49.867813604103,5.07394376117175e-06,49.7500003432915,1.60529857262985e-11,49.8655177843407,5.07393944774969e-06,0.4500015258029,0.629843448351849,49.9081673291339,5.07395550774345e-06
507,49.9540719259453,5.07525292834312e-06,49.8100367326847,1.60237663714208e-11,49.8677798082433,5.07524258757928e-06,49.7500003426587,1.602340003328e-11,49.8654834022576,5.07523689853249e-06,0.450001462600791,0.630006611735439,49.9081438519451,5.07525292780156e-06
508,49.9540626424086,5.07627890388781e-06,49.8100333868906,1.60084257161881e-11,49.8677530830235,5.07626600705223e-06,49.7500003423857,1.60106438184793e-11,49.8654562121283,5.07626288695071e-06,0.450001439902012,0.630134401306912,49.908125284871,5.07627890247659e-06
509,49.9540553039106,5.07708976363687e-06,49.8100160858921,1.60041100512002e-11,49.8677319587666,5.07707453181278e-06,49.7500003422557,1.60045677823809e-11,49.8654347205833,5.07707376018765e-06,0.450001332949558,0.630233703988301,49.9081106078331,5.07708976312279e-06
510,49.9540495118816,5.07773044815347e-06,49.8099700726097,1.60107611880196e-11,49.8677152702043,5.07773005199694e-06,49.7500003421827,1.60011643280922e-11,49.8654177464889,5.07771439252839e-06,0.450002051349793,0.630321500521797,49.9080990240709,5.07773042404551e-06
511,49.954044928628,5.07823683196691e-06,49.8099658412874,1.60079727820605e-11,49.867702087707,5.07821612181079e-06,49.7500003421309,1.59987488157297e-11,49.8654043275432,5.0782208623111e-06,0.450000927995386,0.630370191930222,49.9080898571127,5.07823684900359e-06
512,49.9540412993665,5.07863769132746e-06,49.8100623502995,1.59793330266252e-11,49.8676916354537,5.0786313319624e-06,49.7500003420947,1.59970612610599e-11,49.8653937013266,5.07862167130755e-06,0.450001564152249,0.630425917715354,49.9080825988721,5.07863768185507e-06
513,49.9540384339581,5.07895461391116e-06,49.810120650288,1.59615635897429e-11,49.867683386747,5.07893867247848e-06,49.7500003420776,1.59962697790772e-11,49.8653853033638,5.07893862073177e-06,0.450001280742937,0.630464623665843,49.9080768679055,5.0789546150836e-06
514,49.9540361690351,5.07920520573698e-06,49.8098868597799,1.60221707259124e-11,49.8676768639907,5.079189418999e-06,49.7500003420727,1.59960499468423e-11,49.8653786684959,5.0791891752006e-06,0.450001707332394,0.630497218324179,49.9080723382565,5.07920518374885e-06
515,49.9540343770939,5.07940329763534e-06,49.8094836786807,1.61283162515174e-11,49.8676717003023,5.07939814683469e-06,49.7500003420554,1.59952457033216e-11,49.8653734185722,5.07938730112234e-06,0.450001318705961,0.630521562594967,49.9080687542261,5.07940330358906e-06
516,49.9540329580301,5.07956012562891e-06,49.809569342941,1.61044008843805e-11,49.8676676192073,5.07954616852697e-06,49.750000342008,1.59930384887966e-11,49.8653692636842,5.07954411535489e-06,0.450001445558083,0.630539519239049,49.9080659161466,5.07956011824899e-06
517,49.9540318346874,5.07968412095053e-06,49.8106606515858,1.58125617503093e-11,49.8676643860574,5.07967163549771e-06,49.7500003419607,1.59908335043791e-11,49.8653659751783,5.07966812165507e-06,0.450001284205343,0.630557073053378,49.9080636693933,5.07968412234004e-06
518,49.9540309458225,5.07978220436581e-06,49.8117845793391,1.55122025978444e-11,49.8676618284631,5.07976936121509e-06,49.7500003419919,1.59923008693694e-11,49.8653633734723,5.07976619875659e-06,0.450001399870787,0.63056790355231,49.9080618917092,5.07978219798042e-06
519,49.9540302421051,5.07985974101056e-06,49.8105907912017,1.58299884916859e-11,49.86765980538,5.0798449483223e-06,49.7500003421231,1.59984441714849e-11,49.8653613142126,5.07984375088091e-06,0.450001297886834,0.630578429429689,49.9080604842281,5.07985974170515e-06
520,49.9540296851755,5.07992107526938e-06,49.8063587361744,1.69580207867104e-11,49.8676582033277,5.07990709832869e-06,49.7500003421953,1.60018268352496e-11,49.8653596848526,5.07990508669994e-06,0.450001338673081,0.630585599306024,49.908059370381,5.07992107382506e-06
521,49.9540292445601,5.07996953382881e-06,49.8040684306089,1.7568385066465e-11,49.8676569370722,5.07995481315968e-06,49.7500003419731,1.59914432675607e-11,49.8653583963658,5.07995353799795e-06,0.450001313250506,0.630589120103076,49.9080584891329,5.079969533851e-06
522,49.9540288963148,5.08000786160164e-06,49.8099872281051,1.59899109590885e-11,49.8676559349483,5.07999430240184e-06,49.7500003415914,1.59736014028062e-11,49.8653573771755,5.07999184186078e-06,0.450001421886418,0.630596385300466,49.9080577926832,5.08000785815238e-06
523,49.9540286215304,5.08003813879002e-06,49.8237628543769,1.23165159683354e-11,49.8676551444634,5.08002429446739e-06,49.7500003414469,1.59668506044355e-11,49.8653565724903,5.08002211929102e-06,0.450001336153346,0.630599821703088,49.9080572430709,5.08003813988398e-06
524,49.9540284037645,5.08006209465285e-06,49.8339078725721,9.61124387373765e-12,49.8676545190959,5.08004743663877e-06,49.7500003419352,1.59896940226793e-11,49.865355936503,5.08004609104259e-06,0.45000141978051,0.630603495475183,49.9080568075813,5.08006209096675e-06
525,49.9540282318209,5.08008099160535e-06,49.8234033153546,1.24120913445407e-11,49.8676540245432,5.08006659926181e-06,49.7500003429803,1.60385690845244e-11,49.8653554330179,5.08006504725199e-06,0.450001307878724,0.630603338663106,49.9080564636301,5.08008099332801e-06
526,49.9540280935064,5.08009605174678e-06,49.8091692618104,1.62074122168505e-11,49.8676536294366,5.0800798645476e-06,49.7500003380625,1.58086082771503e-11,49.8653550310756,5.0800798759656e-06,0.450001316704052,0.630606907652611,49.9080561870127,5.08009605177722e-06
527,49.9540279864775,5.0801077654515e-06,49.8099792331744,1.5991357720545e-11,49.8676533217696,5.08009175731355e-06,49.7500003420065,1.5993050463725e-11,49.8653547176536,5.08009177419153e-06,0.450001295240259,0.63060687757444,49.9080559729547,5.08010776549418e-06
528,49.9540279003165,5.08011709237391e-06,49.8099760277665,1.59921478209229e-11,49.8676530754824,5.08010110025461e-06,49.7500003419873,1.59921559356303e-11,49.8653544673747,5.0801011002657e-06,0.450001341585908,0.630610499183228,49.9080558006329,5.08011709238872e-06
529,49.9540278321434,5.08012444874895e-06,49.8099763087743,1.59920218232682e-11,49.8676528805002,5.08010845429584e-06,49.7500003419887,1.59922302208434e-11,49.8653542689327,5.08010845676299e-06,0.450001344326342,0.630610503023542,49.9080556642868,5.08012444875476e-06
530,49.9540277784798,5.08013023298887e-06,49.8099764044528,1.59919561245639e-11,49.8676527270918,5.08011423851597e-06,49.7500003419891,1.59922547416089e-11,49.8653541128297,5.08011424105648e-06,0.450001360227923,0.630610525307262,49.9080555569597,5.08013023298736e-06
531,49.9540277362542,5.08013478700775e-06,49.809976808587,1.59918167381973e-11,49.8676526063513,5.08011879568748e-06,49.7500003419912,1.59923631605087e-11,49.8653539899604,5.08011879519356e-06,0.45000136456322,0.630610531382541,49.9080554725085,5.08013478699831e-06
532,49.9540277029798,5.08013837719351e-06,49.8099759847618,1.59920114810018e-11,49.8676525112053,5.08012238708421e-06,49.7500003419864,1.59921436433965e-11,49.8653538931458,5.08012238518456e-06,0.450001383328742,0.630610557679652,49.9080554059596,5.08013837719227e-06
533,49.9540276766554,5.08014120651402e-06,49.8099759239983,1.59920079860768e-11,49.8676524360477,5.08012521394423e-06,49.7500003419859,1.59921279698621e-11,49.8653538166985,5.08012521451876e-06,0.450001378579155,0.630610551023806,49.9080553533107,5.08014120651751e-06
534,49.9540276558192,5.08014343473132e-06,49.8099754572192,1.59921168818091e-11,49.8676523766379,5.08012744258163e-06,49.7500003419831,1.59920035159055e-11,49.8653537562646,5.08012744262609e-06,0.4500013928814,0.630610571066293,49.9080553116385,5.08014343473587e-06
535,49.9540276393472,5.08014518609544e-06,49.8099758207615,1.59920076584151e-11,49.8676523297386,5.08012919280425e-06,49.750000341985,1.59921004510494e-11,49.8653537085452,5.08012919409965e-06,0.450001385061738,0.630614116811218,49.9080552786944,5.08014518609707e-06
536,49.9540276263555,5.08014656235027e-06,49.8099754671248,1.59920922726559e-11,49.8676522927847,5.08013057020193e-06,49.7500003419828,1.5992006621579e-11,49.8653536709449,5.08013057026536e-06,0.45000139928029,0.630614136736533,49.9080552527109,5.08014656235355e-06
537,49.9540276161547,5.08014764192476e-06,49.8099757936257,1.59919976140674e-11,49.8676522637577,5.08013164897585e-06,49.7500003419845,1.59920936678302e-11,49.865353641389,5.08013164993443e-06,0.450001394966305,0.630614130691086,49.9080552323094,5.08014764192558e-06
538,49.9540276081315,5.08014848884352e-06,49.8099754236341,1.5992090297603e-11,49.8676522409607,5.08013249705776e-06,49.7500003419823,1.59919947343593e-11,49.8653536181949,5.08013249675741e-06,0.450001404734897,0.630614144380404,49.908055216263,5.08014848884613e-06
539,49.9540276018498,5.08014915247505e-06,49.8099757680608,1.59919937810898e-11,49.8676522230864,5.0801331597802e-06,49.7500003419841,1.59920865659289e-11,49.8653535999868,5.08013316048416e-06,0.450001403373658,0.630614142472817,49.9080552036996,5.0801491524735e-06
540,49.9540275968931,5.08014967260087e-06,49.8099754115596,1.59920851563774e-11,49.8676522090336,5.08013368105955e-06,49.7500003419819,1.59919920986065e-11,49.8653535856963,5.08013368051899e-06,0.450001406559645,0.630614146937533,49.9080551937861,5.08014967260624e-06
541,49.9540275930106,5.08015008031087e-06,49.8099757585472,1.5991989748389e-11,49.8676521980028,5.08013408754022e-06,49.7500003419837,1.59920836114224e-11,49.8653535744574,5.08013408832193e-06,0.450001409210438,0.630614150652249,49.9080551860213,5.08015008030634e-06
542,49.9540275899384,5.08015039946171e-06,49.8099754012493,1.59920827429863e-11,49.8676521893203,5.08013440801228e-06,49.7500003419815,1.59919888251764e-11,49.8653535656309,5.08013440738264e-06,0.450001407058876,0.630614147637135,49.9080551798768,5.08015039946804e-06
