environment | time (second),inlet | u_mmHg (dimensionless),inlet | v_mm3_s (mm3_per_s),PV1 | u_mmHg (dimensionless),PV1 | v_mm3_s (mm3_per_s),PV2 | u_mmHg (dimensionless),PV2 | v_mm3_s (mm3_per_s),V1 | u_mmHg (dimensionless),V1 | v_mm3_s (mm3_per_s),V2 | u_mmHg (dimensionless),V2 | v_mm3_s (mm3_per_s),VV_junc1 | H_VV_out_alpha (dimensionless),VV_junc1 | H_VV_out_beta (dimensionless),VV_junc1 | u_mmHg (dimensionless),VV_junc1 | v_mm3_s (mm3_per_s)
179,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579829e-06,49.8273926341321,3.34177366579826e-06,49.8258805785795,3.34177366580412e-06,49.8258805785795,3.34177366580421e-06,0.450000000000001,0.449999999999999,49.8790355557953,6.68354733160868e-06
180,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579978e-06,49.8273926341321,3.34177366579682e-06,49.8258805785795,3.34177366580456e-06,49.8258805785795,3.34177366580407e-06,0.450000000000083,0.449999999999917,49.8790355557953,6.68354733160868e-06
181,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579806e-06,49.8273926341321,3.34177366579859e-06,49.8258805785795,3.34177366580428e-06,49.8258805785795,3.34177366580435e-06,0.450000000000015,0.449999999999985,49.8790355557953,6.68354733160868e-06
182,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.3417736657973e-06,49.8273926341321,3.34177366579931e-06,49.8258805785795,3.34177366580419e-06,49.8258805785795,3.34177366580446e-06,0.450000000000056,0.449999999999944,49.8790355557953,6.68354733160868e-06
183,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579949e-06,49.8273926341321,3.34177366579703e-06,49.8258805785795,3.34177366580455e-06,49.8258805785795,3.34177366580408e-06,0.450000000000069,0.449999999999931,49.8790355557953,6.68354733160868e-06
184,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579801e-06,49.8273926341321,3.34177366579853e-06,49.8258805785795,3.34177366580425e-06,49.8258805785795,3.34177366580438e-06,0.450000000000014,0.449999999999985,49.8790355557953,6.68354733160868e-06
185,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579736e-06,49.8273926341321,3.34177366579932e-06,49.8258805785795,3.34177366580416e-06,49.8258805785795,3.34177366580418e-06,0.450000000000055,0.449999999999945,49.8790355557953,6.68354733160868e-06
186,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579804e-06,49.8273926341321,3.34177366579851e-06,49.8258805785795,3.3417736658041e-06,49.8258805785795,3.34177366580424e-06,0.450000000000013,0.449999999999987,49.8790355557953,6.68354733160868e-06
187,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579834e-06,49.8273926341321,3.34177366579833e-06,49.8258805785795,3.34177366580409e-06,49.8258805785795,3.34177366580425e-06,0.45,0.449999999999999,49.8790355557953,6.68354733160868e-06
188,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579977e-06,49.8273926341321,3.3417736657968e-06,49.8258805785795,3.34177366580453e-06,49.8258805785795,3.34177366580411e-06,0.450000000000083,0.449999999999917,49.8790355557953,6.68354733160868e-06
189,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579803e-06,49.8273926341321,3.34177366579853e-06,49.8258805785795,3.34177366580426e-06,49.8258805785795,3.34177366580439e-06,0.450000000000014,0.449999999999986,49.8790355557953,6.68354733160868e-06
190,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579729e-06,49.8273926341321,3.34177366579929e-06,49.8258805785795,3.34177366580416e-06,49.8258805785795,3.34177366580448e-06,0.450000000000056,0.449999999999944,49.8790355557953,6.68354733160868e-06
191,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579662e-06,49.8273926341321,3.34177366580002e-06,49.8258805785795,3.34177366580398e-06,49.8258805785795,3.34177366580467e-06,0.450000000000095,0.449999999999905,49.8790355557953,6.68354733160868e-06
192,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366580003e-06,49.8273926341321,3.34177366579658e-06,49.8258805785795,3.34177366580438e-06,49.8258805785795,3.34177366580427e-06,0.450000000000096,0.449999999999904,49.8790355557953,6.68354733160868e-06
193,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579908e-06,49.8273926341321,3.34177366579756e-06,49.8258805785795,3.34177366580421e-06,49.8258805785795,3.34177366580444e-06,0.450000000000042,0.449999999999957,49.8790355557953,6.68354733160868e-06
194,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579756e-06,49.8273926341321,3.34177366579905e-06,49.8258805785795,3.34177366580418e-06,49.8258805785795,3.34177366580417e-06,0.450000000000042,0.449999999999958,49.8790355557953,6.68354733160868e-06
195,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579802e-06,49.8273926341321,3.34177366579851e-06,49.8258805785795,3.34177366580414e-06,49.8258805785795,3.34177366580421e-06,0.450000000000013,0.449999999999986,49.8790355557953,6.68354733160868e-06
196,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579823e-06,49.8273926341321,3.34177366579827e-06,49.8258805785795,3.34177366580412e-06,49.8258805785795,3.34177366580422e-06,0.450000000000001,0.449999999999999,49.8790355557953,6.68354733160868e-06
197,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579978e-06,49.8273926341321,3.34177366579683e-06,49.8258805785795,3.34177366580455e-06,49.8258805785795,3.34177366580408e-06,0.450000000000082,0.449999999999918,49.8790355557953,6.68354733160868e-06
198,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579951e-06,49.8273926341321,3.3417736657971e-06,49.8258805785795,3.34177366580441e-06,49.8258805785795,3.34177366580393e-06,0.450000000000067,0.449999999999933,49.8790355557953,6.68354733160868e-06
199,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579555e-06,49.8273926341321,3.34177366580098e-06,49.8258805785795,3.34177366580419e-06,49.8258805785795,3.34177366580444e-06,0.450000000000152,0.449999999999849,49.8790355557953,6.68354733160868e-06
200,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579733e-06,49.8273926341321,3.34177366579929e-06,49.8258805785795,3.34177366580432e-06,49.8258805785795,3.34177366580432e-06,0.450000000000055,0.449999999999945,49.8790355557953,6.68354733160868e-06
201,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579906e-06,49.8273926341321,3.34177366579754e-06,49.8258805785795,3.34177366580434e-06,49.8258805785795,3.3417736658043e-06,0.450000000000042,0.449999999999958,49.8790355557953,6.68354733160868e-06
202,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579854e-06,49.8273926341321,3.341773665798e-06,49.8258805785795,3.34177366580409e-06,49.8258805785795,3.34177366580424e-06,0.450000000000015,0.449999999999985,49.8790355557953,6.68354733160868e-06
203,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.3417736657998e-06,49.8273926341321,3.34177366579682e-06,49.8258805785795,3.34177366580455e-06,49.8258805785795,3.34177366580409e-06,0.450000000000083,0.449999999999917,49.8790355557953,6.68354733160868e-06
204,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579949e-06,49.8273926341321,3.34177366579712e-06,49.8258805785795,3.34177366580441e-06,49.8258805785795,3.34177366580393e-06,0.450000000000066,0.449999999999934,49.8790355557953,6.68354733160868e-06
205,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579705e-06,49.8273926341321,3.34177366579959e-06,49.8258805785795,3.34177366580433e-06,49.8258805785795,3.34177366580431e-06,0.450000000000071,0.449999999999929,49.8790355557953,6.68354733160868e-06
206,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579706e-06,49.8273926341321,3.34177366579955e-06,49.8258805785795,3.34177366580417e-06,49.8258805785795,3.34177366580448e-06,0.450000000000069,0.449999999999931,49.8790355557953,6.68354733160868e-06
207,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579803e-06,49.8273926341321,3.3417736657985e-06,49.8258805785795,3.34177366580409e-06,49.8258805785795,3.34177366580425e-06,0.450000000000013,0.449999999999987,49.8790355557953,6.68354733160868e-06
208,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579828e-06,49.8273926341321,3.34177366579822e-06,49.8258805785795,3.34177366580407e-06,49.8258805785795,3.34177366580426e-06,0.450000000000002,0.449999999999998,49.8790355557953,6.68354733160868e-06
209,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579829e-06,49.8273926341321,3.34177366579822e-06,49.8258805785795,3.34177366580408e-06,49.8258805785795,3.34177366580425e-06,0.450000000000002,0.449999999999998,49.8790355557953,6.68354733160868e-06
210,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579837e-06,49.8273926341321,3.34177366579835e-06,49.8258805785795,3.34177366580409e-06,49.8258805785795,3.34177366580424e-06,0.450000000000001,0.449999999999999,49.8790355557953,6.68354733160868e-06
211,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579836e-06,49.8273926341321,3.34177366579835e-06,49.8258805785795,3.34177366580411e-06,49.8258805785795,3.34177366580424e-06,0.45,0.45,49.8790355557953,6.68354733160868e-06
212,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579969e-06,49.8273926341321,3.34177366579677e-06,49.8258805785795,3.34177366580455e-06,49.8258805785795,3.3417736658041e-06,0.450000000000081,0.449999999999919,49.8790355557953,6.68354733160868e-06
213,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.341773665798e-06,49.8273926341321,3.34177366579852e-06,49.8258805785795,3.34177366580427e-06,49.8258805785795,3.34177366580437e-06,0.450000000000015,0.449999999999985,49.8790355557953,6.68354733160868e-06
214,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579729e-06,49.8273926341321,3.34177366579929e-06,49.8258805785795,3.34177366580417e-06,49.8258805785795,3.34177366580446e-06,0.450000000000056,0.449999999999944,49.8790355557953,6.68354733160868e-06
215,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579662e-06,49.8273926341321,3.34177366580002e-06,49.8258805785795,3.34177366580398e-06,49.8258805785795,3.34177366580465e-06,0.450000000000095,0.449999999999905,49.8790355557953,6.68354733160868e-06
216,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366580003e-06,49.8273926341321,3.34177366579658e-06,49.8258805785795,3.34177366580439e-06,49.8258805785795,3.34177366580425e-06,0.450000000000096,0.449999999999904,49.8790355557953,6.68354733160868e-06
217,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579908e-06,49.8273926341321,3.34177366579756e-06,49.8258805785795,3.34177366580421e-06,49.8258805785795,3.34177366580443e-06,0.450000000000043,0.449999999999958,49.8790355557953,6.68354733160868e-06
218,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579896e-06,49.8273926341321,3.34177366579754e-06,49.8258805785795,3.34177366580461e-06,49.8258805785795,3.34177366580403e-06,0.45000000000004,0.44999999999996,49.8790355557953,6.68354733160868e-06
219,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579776e-06,49.8273926341321,3.34177366579878e-06,49.8258805785795,3.34177366580428e-06,49.8258805785795,3.34177366580435e-06,0.450000000000028,0.449999999999972,49.8790355557953,6.68354733160868e-06
220,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579727e-06,49.8273926341321,3.34177366579931e-06,49.8258805785795,3.34177366580417e-06,49.8258805785795,3.34177366580446e-06,0.450000000000057,0.449999999999943,49.8790355557953,6.68354733160868e-06
221,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579804e-06,49.8273926341321,3.34177366579849e-06,49.8258805785795,3.3417736658041e-06,49.8258805785795,3.34177366580422e-06,0.450000000000013,0.449999999999987,49.8790355557953,6.68354733160868e-06
222,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579838e-06,49.8273926341321,3.34177366579835e-06,49.8258805785795,3.3417736658041e-06,49.8258805785795,3.34177366580424e-06,0.450000000000001,0.449999999999999,49.8790355557953,6.68354733160868e-06
223,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579838e-06,49.8273926341321,3.34177366579832e-06,49.8258805785795,3.34177366580411e-06,49.8258805785795,3.34177366580424e-06,0.450000000000002,0.449999999999998,49.8790355557953,6.68354733160868e-06
224,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.3417736657997e-06,49.8273926341321,3.34177366579676e-06,49.8258805785795,3.34177366580455e-06,49.8258805785795,3.3417736658041e-06,0.450000000000082,0.449999999999918,49.8790355557953,6.68354733160868e-06
225,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.341773665798e-06,49.8273926341321,3.34177366579852e-06,49.8258805785795,3.34177366580426e-06,49.8258805785795,3.34177366580437e-06,0.450000000000014,0.449999999999985,49.8790355557953,6.68354733160868e-06
226,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579729e-06,49.8273926341321,3.34177366579929e-06,49.8258805785795,3.34177366580417e-06,49.8258805785795,3.34177366580446e-06,0.450000000000056,0.449999999999944,49.8790355557953,6.68354733160868e-06
227,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579803e-06,49.8273926341321,3.34177366579851e-06,49.8258805785795,3.34177366580411e-06,49.8258805785795,3.34177366580422e-06,0.450000000000013,0.449999999999987,49.8790355557953,6.68354733160868e-06
228,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579837e-06,49.8273926341321,3.34177366579836e-06,49.8258805785795,3.3417736658041e-06,49.8258805785795,3.34177366580424e-06,0.45,0.45,49.8790355557953,6.68354733160868e-06
229,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579979e-06,49.8273926341321,3.34177366579682e-06,49.8258805785795,3.34177366580454e-06,49.8258805785795,3.34177366580411e-06,0.450000000000083,0.449999999999917,49.8790355557953,6.68354733160868e-06
230,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579803e-06,49.8273926341321,3.34177366579854e-06,49.8258805785795,3.34177366580426e-06,49.8258805785795,3.34177366580438e-06,0.450000000000014,0.449999999999986,49.8790355557953,6.68354733160868e-06
231,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579729e-06,49.8273926341321,3.34177366579929e-06,49.8258805785795,3.34177366580417e-06,49.8258805785795,3.34177366580447e-06,0.450000000000056,0.449999999999944,49.8790355557953,6.68354733160868e-06
232,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579803e-06,49.8273926341321,3.34177366579851e-06,49.8258805785795,3.34177366580411e-06,49.8258805785795,3.34177366580423e-06,0.450000000000013,0.449999999999987,49.8790355557953,6.68354733160868e-06
233,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579826e-06,49.8273926341321,3.34177366579825e-06,49.8258805785795,3.34177366580409e-06,49.8258805785795,3.34177366580424e-06,0.45,0.45,49.8790355557953,6.68354733160868e-06
234,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579839e-06,49.8273926341321,3.34177366579833e-06,49.8258805785795,3.3417736658041e-06,49.8258805785795,3.34177366580424e-06,0.450000000000002,0.449999999999998,49.8790355557953,6.68354733160868e-06
235,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579826e-06,49.8273926341321,3.34177366579824e-06,49.8258805785795,3.34177366580411e-06,49.8258805785795,3.34177366580422e-06,0.450000000000001,0.449999999999999,49.8790355557953,6.68354733160868e-06
236,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579829e-06,49.8273926341321,3.34177366579829e-06,49.8258805785795,3.34177366580412e-06,49.8258805785795,3.34177366580422e-06,0.45,0.45,49.8790355557953,6.68354733160868e-06
237,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579833e-06,49.8273926341321,3.34177366579833e-06,49.8258805785795,3.34177366580413e-06,49.8258805785795,3.34177366580421e-06,0.45,0.45,49.8790355557953,6.68354733160868e-06
238,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579828e-06,49.8273926341321,3.34177366579828e-06,49.8258805785795,3.34177366580413e-06,49.8258805785795,3.34177366580421e-06,0.45,0.45,49.8790355557953,6.68354733160868e-06
239,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579977e-06,49.8273926341321,3.34177366579685e-06,49.8258805785795,3.34177366580457e-06,49.8258805785795,3.34177366580407e-06,0.450000000000081,0.449999999999919,49.8790355557953,6.68354733160868e-06
240,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579799e-06,49.8273926341321,3.34177366579851e-06,49.8258805785795,3.34177366580429e-06,49.8258805785795,3.34177366580435e-06,0.450000000000014,0.449999999999985,49.8790355557953,6.68354733160868e-06
241,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579873e-06,49.8273926341321,3.34177366579781e-06,49.8258805785795,3.34177366580461e-06,49.8258805785795,3.34177366580401e-06,0.450000000000026,0.449999999999974,49.8790355557953,6.68354733160868e-06
242,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579784e-06,49.8273926341321,3.34177366579885e-06,49.8258805785795,3.34177366580427e-06,49.8258805785795,3.34177366580436e-06,0.450000000000028,0.449999999999972,49.8790355557953,6.68354733160868e-06
243,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579732e-06,49.8273926341321,3.34177366579931e-06,49.8258805785795,3.34177366580416e-06,49.8258805785795,3.34177366580418e-06,0.450000000000056,0.449999999999944,49.8790355557953,6.68354733160868e-06
244,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579805e-06,49.8273926341321,3.34177366579848e-06,49.8258805785795,3.3417736658041e-06,49.8258805785795,3.34177366580424e-06,0.450000000000012,0.449999999999988,49.8790355557953,6.68354733160868e-06
245,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579827e-06,49.8273926341321,3.34177366579824e-06,49.8258805785795,3.34177366580408e-06,49.8258805785795,3.34177366580425e-06,0.450000000000001,0.449999999999999,49.8790355557953,6.68354733160868e-06
246,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579979e-06,49.8273926341321,3.34177366579682e-06,49.8258805785795,3.34177366580452e-06,49.8258805785795,3.34177366580411e-06,0.450000000000083,0.449999999999917,49.8790355557953,6.68354733160868e-06
247,49.9395177778976,6.68354733160866e-06,49.827392634132,3.34177366581162e-06,49.8273926341321,3.34177366580011e-06,49.8258805785795,3.34177366580411e-06,49.8258805785795,3.34177366580452e-06,0.45000000000031,0.449999999999668,49.8790355557953,6.68354733160868e-06
248,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579611e-06,49.8273926341321,3.34177366580048e-06,49.8258805785795,3.34177366580388e-06,49.8258805785795,3.34177366580476e-06,0.450000000000131,0.449999999999887,49.8790355557953,6.68354733160868e-06
249,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366580081e-06,49.8273926341321,3.34177366579571e-06,49.8258805785795,3.34177366580434e-06,49.8258805785795,3.3417736658043e-06,0.450000000000145,0.44999999999986,49.8790355557953,6.68354733160868e-06
250,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366580068e-06,49.827392634132,3.34177366581094e-06,49.8258805785795,3.34177366580433e-06,49.8258805785795,3.34177366580399e-06,0.450000000000278,0.449999999999706,49.8790355557953,6.68354733160868e-06
251,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579872e-06,49.8273926341321,3.34177366579788e-06,49.8258805785795,3.34177366580476e-06,49.8258805785795,3.34177366580417e-06,0.450000000000031,0.449999999999985,49.8790355557953,6.68354733160868e-06
252,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579674e-06,49.8273926341321,3.34177366579982e-06,49.8258805785795,3.34177366580434e-06,49.8258805785795,3.34177366580429e-06,0.450000000000088,0.449999999999916,49.8790355557953,6.68354733160868e-06
253,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.341773665797e-06,49.8273926341321,3.34177366579951e-06,49.8258805785795,3.34177366580415e-06,49.8258805785795,3.34177366580447e-06,0.450000000000076,0.449999999999936,49.8790355557953,6.68354733160868e-06
254,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579804e-06,49.8273926341321,3.34177366579849e-06,49.8258805785795,3.34177366580407e-06,49.8258805785795,3.34177366580425e-06,0.450000000000013,0.449999999999988,49.8790355557953,6.68354733160868e-06
255,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579832e-06,49.8273926341321,3.34177366579826e-06,49.8258805785795,3.34177366580405e-06,49.8258805785795,3.34177366580426e-06,0.449999999999999,0.449999999999995,49.8790355557953,6.68354733160868e-06
256,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579684e-06,49.8273926341321,3.34177366579975e-06,49.8258805785795,3.34177366580393e-06,49.8258805785795,3.34177366580468e-06,0.45000000000008,0.449999999999918,49.8790355557953,6.68354733160868e-06
257,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366580012e-06,49.8273926341321,3.34177366579651e-06,49.8258805785795,3.34177366580437e-06,49.8258805785795,3.34177366580425e-06,0.450000000000107,0.449999999999905,49.8790355557953,6.68354733160868e-06
258,49.9395177778976,6.68354733160866e-06,49.827392634132,3.34177366581412e-06,49.827392634132,3.34177366581261e-06,49.8258805785795,3.34177366580451e-06,49.8258805785795,3.34177366580412e-06,0.450000000000032,0.449999999999947,49.8790355557953,6.68354733160868e-06
259,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579748e-06,49.8273926341321,3.34177366579903e-06,49.8258805785795,3.34177366580447e-06,49.8258805785795,3.34177366580445e-06,0.450000000000052,0.449999999999966,49.8790355557953,6.68354733160868e-06
260,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579801e-06,49.8273926341321,3.34177366579851e-06,49.8258805785795,3.34177366580413e-06,49.8258805785795,3.34177366580448e-06,0.450000000000012,0.449999999999985,49.8790355557953,6.68354733160868e-06
261,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579827e-06,49.8273926341321,3.34177366579833e-06,49.8258805785795,3.34177366580412e-06,49.8258805785795,3.3417736658042e-06,0.449999999999995,0.449999999999991,49.8790355557953,6.68354733160868e-06
262,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579982e-06,49.8273926341321,3.34177366579683e-06,49.8258805785795,3.34177366580456e-06,49.8258805785795,3.34177366580407e-06,0.450000000000085,0.449999999999918,49.8790355557953,6.68354733160868e-06
263,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579951e-06,49.8273926341321,3.34177366579711e-06,49.8258805785795,3.34177366580441e-06,49.8258805785795,3.34177366580392e-06,0.450000000000062,0.449999999999928,49.8790355557953,6.68354733160868e-06
264,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579703e-06,49.8273926341321,3.34177366579962e-06,49.8258805785795,3.34177366580433e-06,49.8258805785795,3.34177366580431e-06,0.450000000000069,0.449999999999924,49.8790355557953,6.68354733160868e-06
265,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579706e-06,49.8273926341321,3.34177366579954e-06,49.8258805785795,3.34177366580417e-06,49.8258805785795,3.34177366580448e-06,0.450000000000076,0.449999999999937,49.8790355557953,6.68354733160868e-06
266,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579657e-06,49.8273926341321,3.34177366579998e-06,49.8258805785795,3.34177366580396e-06,49.8258805785795,3.34177366580438e-06,0.450000000000092,0.449999999999901,49.8790355557953,6.68354733160868e-06
267,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366580008e-06,49.8273926341321,3.34177366579647e-06,49.8258805785795,3.34177366580436e-06,49.8258805785795,3.34177366580428e-06,0.450000000000113,0.449999999999911,49.8790355557953,6.68354733160868e-06
268,49.9395177778976,6.68354733160866e-06,49.827392634132,3.34177366581426e-06,49.8273926341321,3.3417736657977e-06,49.8258805785795,3.3417736658042e-06,49.8258805785795,3.34177366580416e-06,0.450000000000434,0.44999999999951,49.8790355557953,6.68354733160868e-06
269,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579616e-06,49.8273926341321,3.34177366580067e-06,49.8258805785795,3.34177366580405e-06,49.8258805785795,3.34177366580464e-06,0.45000000000013,0.449999999999879,49.8790355557953,6.68354733160868e-06
270,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579982e-06,49.8273926341321,3.34177366579671e-06,49.8258805785795,3.34177366580444e-06,49.8258805785795,3.34177366580426e-06,0.450000000000106,0.449999999999933,49.8790355557953,6.68354733160868e-06
271,49.9395177778977,6.6835473316079e-06,49.827392634132,3.34177366581402e-06,49.8273926341321,3.34177366579761e-06,49.8258805785795,3.34177366580424e-06,49.8258805785795,3.34177366580415e-06,0.450000000000442,0.449999999999527,49.8790355557953,6.68354733160868e-06
272,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579751e-06,49.8273926341321,3.34177366579905e-06,49.8258805785795,3.3417736658042e-06,49.8258805785795,3.34177366580448e-06,0.450000000000054,0.449999999999968,49.8790355557953,6.68354733160868e-06
273,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579806e-06,49.8273926341321,3.34177366579851e-06,49.8258805785795,3.34177366580415e-06,49.8258805785795,3.34177366580422e-06,0.450000000000017,0.449999999999992,49.8790355557953,6.68354733160868e-06
274,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579975e-06,49.8273926341321,3.34177366579683e-06,49.8258805785795,3.34177366580457e-06,49.8258805785795,3.3417736658041e-06,0.45000000000008,0.449999999999918,49.8790355557953,6.68354733160868e-06
275,49.9395177778976,6.68354733160866e-06,49.827392634132,3.34177366581307e-06,49.8273926341321,3.34177366579854e-06,49.8258805785795,3.34177366580428e-06,49.8258805785795,3.34177366580408e-06,0.450000000000405,0.449999999999595,49.8790355557953,6.68354733160868e-06
276,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579579e-06,49.8273926341321,3.34177366580076e-06,49.8258805785795,3.34177366580405e-06,49.8258805785795,3.3417736658046e-06,0.450000000000147,0.44999999999987,49.8790355557953,6.68354733160868e-06
277,49.9395177778977,6.6835473316079e-06,49.8273926341321,3.34177366579978e-06,49.8273926341321,3.34177366579668e-06,49.8258805785795,3.3417736658044e-06,49.8258805785795,3.34177366580424e-06,0.450000000000097,0.449999999999924,49.8790355557953,6.68354733160868e-06
278,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366580049e-06,49.827392634132,3.34177366581123e-06,49.8258805785795,3.34177366580433e-06,49.8258805785795,3.341773665804e-06,0.450000000000281,0.449999999999682,49.8790355557953,6.68354733160868e-06
279,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579876e-06,49.8273926341321,3.34177366579792e-06,49.8258805785795,3.34177366580475e-06,49.8258805785795,3.3417736658042e-06,0.450000000000023,0.449999999999977,49.8790355557953,6.68354733160868e-06
280,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579524e-06,49.8273926341321,3.34177366580126e-06,49.8258805785795,3.34177366580418e-06,49.8258805785795,3.34177366580446e-06,0.450000000000172,0.449999999999836,49.8790355557953,6.68354733160868e-06
281,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579724e-06,49.8273926341321,3.34177366579919e-06,49.8258805785795,3.34177366580428e-06,49.8258805785795,3.34177366580464e-06,0.450000000000068,0.449999999999959,49.8790355557953,6.68354733160868e-06
282,49.9395177778976,6.68354733160866e-06,49.8273926341321,3.34177366579913e-06,49.8273926341321,3.34177366579757e-06,49.8258805785795,3.34177366580401e-06,49.8258805785795,3.34177366580432e-06,0.450000000000035,0.449999999999947,49.8790355557953,6.68354733160868e-06
