time [second],TC1/v_mm3_s [mm3_per_s],TC2/v_mm3_s [mm3_per_s],TC3/v_mm3_s [mm3_per_s],TC4/v_mm3_s [mm3_per_s],TC5/v_mm3_s [mm3_per_s],TC6/v_mm3_s [mm3_per_s],V07/v_mm3_s [mm3_per_s],V02/v_mm3_s [mm3_per_s],V03/v_mm3_s [mm3_per_s],TC1/u_mmHg [dimensionless],TC2/u_mmHg [dimensionless],TC3/u_mmHg [dimensionless],TC4/u_mmHg [dimensionless],TC5/u_mmHg [dimensionless],TC6/u_mmHg [dimensionless],V07/u_mmHg [dimensionless],V02/u_mmHg [dimensionless],V03/u_mmHg [dimensionless],TC1/H_mean [dimensionless],TC2/H_mean [dimensionless],TC3/H_mean [dimensionless],TC4/H_mean [dimensionless],TC5/H_mean [dimensionless],TC6/H_mean [dimensionless],V07/H_mean [dimensionless],V02/H_mean [dimensionless],V03/H_mean [dimensionless]
150.0,1.1947434951476315e-07,1.65510098415112e-07,-2.847416012090496e-07,3.6569696099839305e-06,3.742870553800619e-06,2.1876340324472057e-06,3.994263252202224e-06,3.994506105984447e-06,2.4285059235905023e-10,47.27693035974166,47.27868152414966,47.46619746288411,47.349250556350775,47.254056841609504,47.31404344819202,49.04523182249225,49.36539309118276,49.11587121762426,0.45187865447865705,0.6951969499415991,0.5978815655981587,0.4507592384447319,0.5143878397076046,0.3321779822628807,0.41372894786846204,0.4137037933260469,0.34478407576929204
151.0,1.1942030439358708e-07,1.654945159102838e-07,-2.84671974781507e-07,3.65696839547507e-06,3.7428712339937894e-06,2.1876344900451197e-06,3.994263069117494e-06,3.994505910985442e-06,2.4284804081305723e-10,47.27695683241049,47.27868986632598,47.466205805065925,47.34925058335043,47.25405684596978,47.31404345151126,49.04523187088339,49.36539312160583,49.1158712629825,0.45271216478246196,0.6955252464728123,0.5980097759844198,0.45075942029025,0.5144351641090712,0.3321778993920497,0.4137289434096717,0.41370378930551754,0.34477121145732087
152.0,1.1937175871334877e-07,1.654783400143649e-07,-2.846072384398069e-07,3.6569673596781e-06,3.7428711474081986e-06,2.1876350163088646e-06,3.994262901032739e-06,3.994505746884704e-06,2.4284527910593843e-10,47.27698102508528,47.27869737501052,47.46621331353247,47.34925060593399,47.25405685026655,47.31404343193209,49.045231911718126,49.36539314749838,49.11587130138437,0.4534708627597787,0.6958306488507676,0.5981300478954334,0.45075957522063753,0.5144818796145957,0.33217779241509837,0.41372894110456737,0.4137037863951998,0.3447583477813894
153.0,1.193280161917692e-07,1.6546172050001791e-07,-2.845468939990628e-07,3.656966510612446e-06,3.7428715553984587e-06,2.1876352142948908e-06,3.994262767401019e-06,3.994505610691883e-06,2.428429960337453e-10,47.277003120224606,47.27870413920363,47.46622007795941,47.349250625251216,47.25405685451641,47.31404343780194,49.04523194629689,49.365393168962235,49.11587133375617,0.4541617226523897,0.6961152601743146,0.5982431643406149,0.4507597024881873,0.5145280194083705,0.33217775877159017,0.41372893647073805,0.4137037830886641,0.34474548470151484
154.0,1.1928877085552897e-07,1.6544479759072447e-07,-2.8449072928020827e-07,3.656965809849058e-06,3.7428718424605885e-06,2.187635421898241e-06,3.99426265139802e-06,3.994505493866274e-06,2.428410011425081e-10,47.277023187594736,47.27871020687275,47.46622614564492,47.349250641432114,47.25405685871229,47.31404344136872,49.04523197542175,49.36539318728049,49.115871361338954,0.45478750484833125,0.6963798560505198,0.5983494193185469,0.45075980760411855,0.5145735787049749,0.33217772220276004,0.41372893440657493,0.41370378064549285,0.34473262221589085
155.0,1.1925361088250987e-07,1.6542769607401424e-07,-2.8443846731929645e-07,3.6569652559473375e-06,3.742872046927438e-06,2.1876356119545173e-06,3.994262561657734e-06,3.994505402003212e-06,2.4283917246295993e-10,47.27704133715177,47.27871563412608,47.46623157288384,47.349250654552115,47.25405686285513,47.31404344319462,49.04523199877565,49.36539320172414,49.115871383271916,0.4553523684822005,0.6966256011498557,0.5984492204287823,0.4507598907980832,0.5146185637723184,0.3321776880068011,0.4137289301040339,0.4137037786319369,0.3447197603129051
156.0,1.192221678660312e-07,1.6541053758685525e-07,-2.843898628674676e-07,3.656964788521403e-06,3.742872200300517e-06,2.187635773461306e-06,3.994262478602664e-06,3.9945053161213805e-06,2.4283755732491925e-10,47.27705767480832,47.27872047312056,47.46623641189136,47.349250666247194,47.25405686694552,47.314043444705646,49.04523201994481,49.36539321518154,49.11587140363314,0.4558602166304274,0.6968535423581768,0.5985429194126897,0.450759961207866,0.5146629775917719,0.33217765892737383,0.41372892929121746,0.4137037770273691,0.34470689898523993
157.0,1.1919399421765783e-07,1.653934303689718e-07,-2.8434459399197966e-07,3.6569644031806887e-06,3.742872324094447e-06,2.187635907438395e-06,3.994262410410319e-06,3.994505246851017e-06,2.4283613861437717e-10,47.277072353764844,47.27872478720032,47.46624072599099,47.34925067588413,47.25405687098539,47.31404344656116,49.045232037283554,49.365393226122286,49.115871420300614,0.45631639298464993,0.6970651256008068,0.598631003065816,0.45076001925098175,0.5147068387510183,0.3321776351050092,0.4137289277347638,0.4137037756818754,0.3446940382108902
158.0,1.1916880405914205e-07,1.6537648688714843e-07,-2.8430245829793446e-07,3.656964076948383e-06,3.7428724317283232e-06,2.1876360194702396e-06,3.994262353600745e-06,3.99450518958018e-06,2.42834879993328e-10,47.27708547745759,47.278728622418036,47.466244561243805,47.34925068382859,47.25405687497492,47.314043448836735,49.045232051590354,49.36539323517212,49.1158714341748,0.4567244240945369,0.6972612479446432,0.5987137503539907,0.450760068320379,0.5147501481753426,0.33217761554586567,0.4137289265257115,0.413703774630995,0.34468117798653436
159.0,1.1914626381428922e-07,1.653597927941085e-07,-2.842632296804801e-07,3.656963853210104e-06,3.7428725028418645e-06,2.187636112155165e-06,3.994262313762139e-06,3.994505151944422e-06,2.428336901073182e-10,47.27709716545083,47.278732026059224,47.46624796492386,47.349250689141854,47.25405687891455,47.31404345072505,49.04523206111745,49.36539324096293,49.11587144352249,0.45708842619571377,0.6974429654665025,0.5987914915909467,0.45076010192705246,0.5147929129545644,0.3321775993672665,0.41372892503729014,0.4137037736583537,0.34466831830345546
160.0,1.1912609165842411e-07,1.6534343350866113e-07,-2.8422670024014103e-07,3.656963716185469e-06,3.7428725222541622e-06,2.1876361833473624e-06,3.99426228225335e-06,3.994505116004699e-06,2.4283287652133643e-10,47.2771075338614,47.278735042913205,47.46625098179282,47.34925069403445,47.2540568828047,47.314043451979394,49.04523206982303,49.36539324633235,49.11587145223795,0.45741222319673464,0.6976112575684624,0.5988645255495205,0.45076012304886154,0.5148351398626347,0.3321775868425104,0.4137289240542912,0.41370377282770643,0.34465545915409024
161.0,1.191080253818026e-07,1.6532748275631525e-07,-2.841926768851173e-07,3.6569634489623254e-06,3.7428725921937726e-06,2.1876362393345732e-06,3.994262227448307e-06,3.994505059542221e-06,2.4283202492838064e-10,47.27711669421446,47.278737714214756,47.46625365303357,47.349250701856924,47.25405688664706,47.31404345564216,49.04523208408632,49.36539325591086,49.11587146626029,0.45769945925119626,0.6977670461102896,0.5989331317186872,0.4507601636721511,0.5148768355711678,0.33217757832776884,0.4137289241461448,0.41370377240223594,0.34464260053173784
162.0,1.190918086693595e-07,1.6531199688202068e-07,-2.841609749317557e-07,3.6569633003002666e-06,3.7428726564775975e-06,2.187636290558747e-06,3.994262206316572e-06,3.994505040066111e-06,2.428312370324865e-10,47.277124756390826,47.27874007805695,47.466256016880294,47.34925070460696,47.25405689044162,47.314043458969266,49.0452320890097,49.36539325886335,49.11587147138914,0.45795372408724316,0.697911251886291,0.5989975820628893,0.4507601857470514,0.5149180068156568,0.33217757052541236,0.4137289232602487,0.4137037718754488,0.3446297424302787
163.0,1.1907723619379945e-07,1.6529704151691476e-07,-2.841314475078758e-07,3.6569631880269163e-06,3.7428726925908985e-06,2.1876363385375575e-06,3.994262190733957e-06,3.99450502139329e-06,2.428306831443149e-10,47.27713181509289,47.278742168018276,47.46625810682724,47.34925070717614,47.254056894188075,47.31404346157276,49.0452320935571,49.36539326168871,49.11587147624222,0.45817804585878674,0.6980445961927789,0.5990580805158287,0.4507602025826725,0.5149586529889579,0.33217756296156997,0.41372892252517773,0.41370377150845794,0.3446168848515051
164.0,1.1906411638009723e-07,1.6528267013466668e-07,-2.841039471737461e-07,3.6569630888591763e-06,3.7428727161884063e-06,2.187636378740315e-06,3.9942621719337625e-06,3.994505002096533e-06,2.428301371563916e-10,47.277137967388974,47.27874401657458,47.4662599553696,47.34925070980739,47.25405689788667,47.314043464135764,49.045232098317015,49.365393264733164,49.1158714813273,0.45837545145073977,0.6981678306432545,0.5991148365987299,0.4507602175695099,0.5149987753135195,0.33217755681390937,0.4137289223145507,0.41370377119841345,0.3446040277962024
165.0,1.1905216125304348e-07,1.6526887365058937e-07,-2.8407820860183634e-07,3.656963006890088e-06,3.742872732969756e-06,2.187636411866807e-06,3.994262155971312e-06,3.994504985650009e-06,2.428296618970703e-10,47.277143357021146,47.27874566558254,47.466261604457884,47.349250712075055,47.254056901541006,47.31404346681867,49.04523210240256,49.36539326733605,49.11587148576566,0.45855045668698613,0.6982822910894119,0.5991682970986619,0.45076022998749526,0.515038412351984,0.33217755203316573,0.4137289219921626,0.4137037709326736,0.3445911712282192
166.0,1.1904128454868175e-07,1.652557064876343e-07,-2.840541664235628e-07,3.6569629400649256e-06,3.7428727456037036e-06,2.1876364390505596e-06,3.994262142374992e-06,3.994504971562582e-06,2.4282924886797386e-10,47.27714804193305,47.27874713488538,47.466263073770044,47.349250714011085,47.25405690514997,47.314043469550974,49.0452321058897,49.365393269561125,49.11587148964997,0.45870474540418193,0.698388321896059,0.5992185330838705,0.4507602401398181,0.5150775519487428,0.33217754837479435,0.4137289217232258,0.4137037707166049,0.3445783151625002
167.0,1.1903132968825266e-07,1.6524318169740051e-07,-2.8403169497519844e-07,3.6569628853337067e-06,3.7428727525737323e-06,2.187636461408464e-06,3.994262130700352e-06,3.994504959012395e-06,2.428289068902689e-10,47.277152103166834,47.278748448001714,47.46626438696216,47.34925071570887,47.25405690871405,47.31404347230756,49.045232108947936,49.36539327153497,49.11587149315188,0.4588408381870134,0.6984865953669408,0.5992657399793506,0.45076024849184304,0.5151161997503025,0.3321775456199569,0.4137289215811165,0.4137037705609506,0.34456545959679663
