environment | time (second),inlet | u_mmHg (dimensionless),inlet | v_mm3_s (mm3_per_s),PV1 | u_mmHg (dimensionless),PV1 | v_mm3_s (mm3_per_s),PV2 | u_mmHg (dimensionless),PV2 | v_mm3_s (mm3_per_s),PV3 | u_mmHg (dimensionless),PV3 | v_mm3_s (mm3_per_s),PV4 | u_mmHg (dimensionless),PV4 | v_mm3_s (mm3_per_s),PV5 | u_mmHg (dimensionless),PV5 | v_mm3_s (mm3_per_s),PV6 | u_mmHg (dimensionless),PV6 | v_mm3_s (mm3_per_s),V1 | u_mmHg (dimensionless),V1 | v_mm3_s (mm3_per_s),V2 | u_mmHg (dimensionless),V2 | v_mm3_s (mm3_per_s),V3 | u_mmHg (dimensionless),V3 | v_mm3_s (mm3_per_s),V4 | u_mmHg (dimensionless),V4 | v_mm3_s (mm3_per_s),V5 | u_mmHg (dimensionless),V5 | v_mm3_s (mm3_per_s),V6 | u_mmHg (dimensionless),V6 | v_mm3_s (mm3_per_s),VV_junc1 | H_VV_out_alpha (dimensionless),VV_junc1 | H_VV_out_beta (dimensionless),VV_junc1 | u_mmHg (dimensionless),VV_junc1 | v_mm3_s (mm3_per_s),VV_junc2 | H_VV_out_alpha (dimensionless),VV_junc2 | H_VV_out_beta (dimensionless),VV_junc2 | u_mmHg (dimensionless),VV_junc2 | v_mm3_s (mm3_per_s),VV_junc3 | H_VV_out_alpha (dimensionless),VV_junc3 | H_VV_out_beta (dimensionless),VV_junc3 | u_mmHg (dimensionless),VV_junc3 | v_mm3_s (mm3_per_s)
431,49.906907779073,1.02870928871862e-05,49.7343284974642,5.1435461544596e-06,49.7343284975566,5.14354608069182e-06,49.5748765613549,2.57177276315115e-06,49.5748765613929,2.57177276635793e-06,49.574876560978,2.57177276689797e-06,49.574876560956,2.57177277517845e-06,49.7320011917257,5.14354645275014e-06,49.7320011918778,5.14354643489643e-06,49.5731246681522,2.57177322414901e-06,49.5731246682304,2.57177322970384e-06,49.5731246677883,2.57177322031464e-06,49.5731246677561,2.57177321519805e-06,0.450000015189053,0.450000012515905,49.8138155581422,1.02870928881657e-05,0.450000018230992,0.450000017975797,49.6152083316346,5.14354645301046e-06,0.450000021838578,0.450000021179616,49.615208331115,5.14354643445404e-06
432,49.9069077799857,1.02870929255566e-05,49.734328498826,5.14354665732468e-06,49.7343284988728,5.14354662956403e-06,49.5748765622908,2.57177328795934e-06,49.5748765622209,2.57177333821898e-06,49.5748765621492,2.57177330639913e-06,49.5748765621421,2.57177330357095e-06,49.7320011933582,5.1435464668509e-06,49.7320011934427,5.14354645708566e-06,49.5731246694599,2.57177323397098e-06,49.573124669369,2.57177323294328e-06,49.5731246692891,2.57177323192214e-06,49.5731246692771,2.57177322575581e-06,0.450000012808554,0.450000011802582,49.813815559975,1.02870929250366e-05,0.450000021226728,0.450000017227066,49.6152083330048,5.14354646719858e-06,0.45000002040499,0.450000020179923,49.6152083328333,5.14354645771436e-06
433,49.9069077806,1.02870929542568e-05,49.7343284998585,5.1435467159491e-06,49.7343284998334,5.14354673914156e-06,49.5748765633171,2.57177349539064e-06,49.5748765632144,2.57177353957058e-06,49.5748765632312,2.57177346379233e-06,49.5748765632463,2.57177345083123e-06,49.7320011944656,5.14354648239204e-06,49.7320011944365,5.14354647192822e-06,49.5731246706155,2.57177324857573e-06,49.5731246704618,2.57177323372165e-06,49.5731246704621,2.57177323812882e-06,49.5731246704838,2.57177323406917e-06,0.45000000801575,0.450000007175317,49.8138155612002,1.02870929544388e-05,0.45000001942559,0.45000001590975,49.6152083342709,5.14354648232165e-06,0.450000018652888,0.450000017621444,49.6152083341329,5.1435464721344e-06
434,49.9069077809944,1.02870929828344e-05,49.7343285005788,5.14354649243875e-06,49.7343285005185,5.14354652881057e-06,49.5748765644496,2.57177326477991e-06,49.5748765644087,2.57177326038942e-06,49.5748765642845,2.57177326875678e-06,49.5748765643095,2.571773255604e-06,49.7320011951214,5.14354649925645e-06,49.732001195032,5.1435464829009e-06,49.5731246715614,2.57177326061606e-06,49.5731246714915,2.57177323892885e-06,49.5731246713851,2.5717732415429e-06,49.5731246714237,2.57177324132853e-06,0.450000006667298,0.450000005349281,49.8138155619909,1.02870929822866e-05,0.450000015877399,0.450000015528004,49.6152083353823,5.14354649942197e-06,0.450000017809769,0.45000001676307,49.6152083351319,5.1435464830156e-06
435,49.9069077812401,1.02870930070505e-05,49.7343285009053,5.14354646338342e-06,49.7343285008737,5.14354646803333e-06,49.5748765652826,2.57177309190056e-06,49.5748765653388,2.57177304135442e-06,49.5748765651034,2.5717731568592e-06,49.5748765651182,2.57177315333767e-06,49.7320011954191,5.14354651325885e-06,49.7320011953693,5.14354649324877e-06,49.573124672244,2.57177326422529e-06,49.5731246723212,2.57177324957742e-06,49.5731246721335,2.57177324534821e-06,49.5731246721586,2.57177324782739e-06,0.450000004206806,0.450000004038306,49.8138155624821,1.02870930068775e-05,0.450000015089032,0.450000011066569,49.6152083362222,5.14354651355279e-06,0.450000015659078,0.450000015378834,49.6152083359413,5.14354649336383e-06
436,49.9069077813583,1.02870930279306e-05,49.7343285009219,5.14354657354937e-06,49.7343285009525,5.14354653404024e-06,49.5748765656677,2.57177320318324e-06,49.5748765657719,2.57177314818357e-06,49.5748765656586,2.57177323858755e-06,49.5748765656526,2.57177324618467e-06,49.732001195457,5.14354652189272e-06,49.7320011955031,5.1435465057604e-06,49.5731246726971,2.57177326069839e-06,49.5731246728555,2.57177326145164e-06,49.5731246727549,2.57177325172115e-06,49.5731246727486,2.57177325388956e-06,0.450000003252589,0.450000001820884,49.8138155627172,1.02870930279405e-05,0.450000013414278,0.450000009037403,49.6152083367557,5.14354652209749e-06,0.450000013645103,0.450000013040524,49.6152083366274,5.14354650571386e-06
437,49.9069077814088,1.02870930474656e-05,49.734328500838,5.1435466490782e-06,49.7343285009065,5.14354659435051e-06,49.5748765658594,2.57177337240869e-06,49.5748765659249,2.57177335644894e-06,49.5748765660896,2.57177331915531e-06,49.5748765660698,2.57177333026427e-06,49.7320011953917,5.14354652684077e-06,49.7320011954999,5.1435465201432e-06,49.5731246730273,2.57177325732516e-06,49.573124673136,2.57177326942761e-06,49.5731246732497,2.57177326033223e-06,49.5731246732207,2.57177325986641e-06,0.450000003069676,0.45000000108649,49.8138155628192,1.0287093046938e-05,0.450000010777792,0.450000009507715,49.6152083370843,5.14354652698057e-06,0.450000011254998,0.450000010370947,49.6152083372026,5.14354652013117e-06
438,49.906907781403,1.02870930634776e-05,49.73432850074,5.14354658547521e-06,49.734328500789,5.14354655767587e-06,49.574876566098,2.57177336261661e-06,49.5748765660753,2.57177339452913e-06,49.5748765664222,2.57177327724564e-06,49.5748765664065,2.57177328200984e-06,49.7320011952712,5.14354653106963e-06,49.7320011953529,5.14354653234587e-06,49.5731246732977,2.57177325990893e-06,49.5731246732743,2.57177327085405e-06,49.5731246735587,2.5717732677284e-06,49.5731246735336,2.57177326480196e-06,0.450000001568383,0.450000000561009,49.8138155628062,1.02870930633953e-05,0.450000010264806,0.450000007725207,49.6152083373128,5.14354653101873e-06,0.450000008343799,0.450000007964664,49.6152083375836,5.14354653236478e-06
439,49.9069077813656,1.02870930784567e-05,49.7343285006049,5.1435465227904e-06,49.7343285005966,5.14354653931805e-06,49.5748765663718,2.57177325704451e-06,49.5748765662874,2.57177330586693e-06,49.5748765665716,2.57177323352498e-06,49.5748765665731,2.57177322814222e-06,49.7320011951327,5.14354653800566e-06,49.7320011951258,5.14354654024944e-06,49.5731246735254,2.57177326908007e-06,49.5731246734014,2.57177326865912e-06,49.5731246736795,2.57177327167619e-06,49.5731246736795,2.5717732686036e-06,0.450000001159499,0.450000000560581,49.8138155627319,1.02870930782701e-05,0.450000009695106,0.450000005809817,49.6152083375355,5.14354653791997e-06,0.450000006746053,0.450000006317693,49.6152083377553,5.14354654029012e-06
440,49.9069077813121,1.02870930913535e-05,49.7343285004164,5.14354653143409e-06,49.7343285003647,5.1435465708259e-06,49.5748765665464,2.57177321503532e-06,49.5748765664755,2.57177323824447e-06,49.5748765665371,2.57177327291197e-06,49.5748765665535,2.57177326234272e-06,49.7320011949625,5.1435465471937e-06,49.7320011948847,5.14354654403363e-06,49.5731246736663,2.57177327935606e-06,49.5731246735535,2.57177326783072e-06,49.57312467367,2.57177327236491e-06,49.5731246736939,2.5717732715068e-06,0.450000001229054,0.449999999801599,49.8138155626246,1.02870930910776e-05,0.450000006852103,0.450000005005118,49.6152083377404,5.14354654717226e-06,0.450000006035202,0.450000005194101,49.6152083377738,5.14354654405633e-06
441,49.9069077812484,1.02870931026343e-05,49.7343285001923,5.14354655977201e-06,49.7343285001476,5.1435465826802e-06,49.5748765665602,2.57177325747588e-06,49.5748765665616,2.57177323694114e-06,49.57487656645,2.57177333150514e-06,49.5748765664671,2.57177332467813e-06,49.7320011947442,5.14354655572779e-06,49.7320011946731,5.1435465468393e-06,49.5731246736834,2.57177328441057e-06,49.5731246736762,2.57177327148293e-06,49.5731246736237,2.57177327237544e-06,49.5731246736504,2.57177327415565e-06,0.450000000708684,0.449999999878552,49.813815562497,1.02870931024918e-05,0.450000005017807,0.450000003383652,49.6152083378588,5.14354655580428e-06,0.450000005375234,0.45000000483194,49.6152083377441,5.14354654668205e-06
442,49.9069077811838,1.02870931126562e-05,49.7343284999646,5.14354657893669e-06,49.7343284999679,5.14354656347577e-06,49.5748765664606,2.57177330839107e-06,49.5748765665287,2.57177326367301e-06,49.5748765664307,2.571773328007e-06,49.5748765664343,2.5717733302472e-06,49.7320011945009,5.14354656088823e-06,49.7320011945026,5.1435465517153e-06,49.573124673597,2.57177328249084e-06,49.5731246736953,2.57177327854457e-06,49.5731246736066,2.57177327440385e-06,49.573124673614,2.57177327707398e-06,0.450000000502493,0.449999999942231,49.8138155623679,1.02870931125653e-05,0.450000004866504,0.450000001307841,49.6152083378495,5.14354656102387e-06,0.450000004494985,0.45000000431671,49.6152083377528,5.14354655162333e-06
