environment | time (second),inlet | u_mmHg (dimensionless),inlet | v_mm3_s (mm3_per_s),PV1 | u_mmHg (dimensionless),PV1 | v_mm3_s (mm3_per_s),PV2 | u_mmHg (dimensionless),PV2 | v_mm3_s (mm3_per_s),PV3 | u_mmHg (dimensionless),PV3 | v_mm3_s (mm3_per_s),PV4 | u_mmHg (dimensionless),PV4 | v_mm3_s (mm3_per_s),PV5 | u_mmHg (dimensionless),PV5 | v_mm3_s (mm3_per_s),PV6 | u_mmHg (dimensionless),PV6 | v_mm3_s (mm3_per_s),V1 | u_mmHg (dimensionless),V1 | v_mm3_s (mm3_per_s),V2 | u_mmHg (dimensionless),V2 | v_mm3_s (mm3_per_s),V3 | u_mmHg (dimensionless),V3 | v_mm3_s (mm3_per_s),V4 | u_mmHg (dimensionless),V4 | v_mm3_s (mm3_per_s),V5 | u_mmHg (dimensionless),V5 | v_mm3_s (mm3_per_s),V6 | u_mmHg (dimensionless),V6 | v_mm3_s (mm3_per_s),VV_junc1 | H_VV_out_alpha (dimensionless),VV_junc1 | H_VV_out_beta (dimensionless),VV_junc1 | u_mmHg (dimensionless),VV_junc1 | v_mm3_s (mm3_per_s),VV_junc2 | H_VV_out_alpha (dimensionless),VV_junc2 | H_VV_out_beta (dimensionless),VV_junc2 | u_mmHg (dimensionless),VV_junc2 | v_mm3_s (mm3_per_s),VV_junc3 | H_VV_out_alpha (dimensionless),VV_junc3 | H_VV_out_beta (dimensionless),VV_junc3 | u_mmHg (dimensionless),VV_junc3 | v_mm3_s (mm3_per_s)
113,49.9069077806553,1.02870931749554e-05,49.7343284984421,5.14354658182034e-06,49.7343284984283,5.14354659397465e-06,49.5748765652596,2.57177329513643e-06,49.5748765652607,2.57177329451501e-06,49.5748765652805,2.57177329335931e-06,49.574876565284,2.57177329211455e-06,49.7320011929625,5.14354658653397e-06,49.7320011929409,5.14354658841936e-06,49.5731246724164,2.57177329327446e-06,49.5731246724182,2.57177329323331e-06,49.5731246724379,2.57177329409e-06,49.5731246724437,2.57177329436e-06,0.450000000228138,0.449999999787699,49.8138155613107,1.02870931749667e-05,0.450000000251694,0.45000000020224,49.6152083367932,5.143546586517e-06,0.449999999821236,0.449999999722178,49.6152083368251,5.14354658844513e-06
114,49.9069077806546,1.02870931749999e-05,49.7343284984444,5.14354658124465e-06,49.7343284984225,5.14354659324498e-06,49.5748765652911,2.57177328562505e-06,49.5748765652922,2.57177328533717e-06,49.574876565245,2.57177330168855e-06,49.5748765652462,2.57177330199058e-06,49.7320011929679,5.14354658807606e-06,49.7320011929314,5.14354658693631e-06,49.5731246724418,2.57177329399035e-06,49.5731246724436,2.57177329412806e-06,49.573124672409,2.57177329318727e-06,49.5731246724112,2.57177329370362e-06,0.450000000208813,0.449999999773953,49.8138155613091,1.02870931750458e-05,0.449999999962411,0.449999999939501,49.615208336829,5.14354658808043e-06,0.450000000062524,0.450000000038489,49.6152083367843,5.14354658692992e-06
115,49.906907780654,1.02870931750816e-05,49.7343284984363,5.14354658714891e-06,49.7343284984275,5.14354658798202e-06,49.574876565298,2.57177328496925e-06,49.574876565298,2.57177328523056e-06,49.574876565236,2.57177330180113e-06,49.5748765652341,2.57177330317515e-06,49.7320011929563,5.14354658890121e-06,49.7320011929404,5.14354658617833e-06,49.57312467245,2.57177329439642e-06,49.5731246724502,2.57177329456867e-06,49.5731246724001,2.57177329291593e-06,49.5731246723973,2.57177329319636e-06,0.450000000019676,0.449999999989487,49.8138155613081,1.02870931750858e-05,0.449999999768414,0.449999999747619,49.61520833684,5.1435465889117e-06,0.450000000304784,0.45000000019544,49.6152083367698,5.14354658615412e-06
116,49.9069077806537,1.02870931751216e-05,49.7343284984256,5.14354659251458e-06,49.7343284984363,5.14354658289339e-06,49.5748765652752,2.57177329236377e-06,49.5748765652743,2.57177329286345e-06,49.5748765652564,2.57177329435158e-06,49.5748765652535,2.57177329544453e-06,49.7320011929391,5.14354658836565e-06,49.7320011929556,5.14354658676357e-06,49.5731246724336,2.57177329416734e-06,49.5731246724323,2.57177329422033e-06,49.5731246724147,2.57177329345153e-06,49.5731246724101,2.57177329328864e-06,0.45000000017427,0.449999999825624,49.8138155613075,1.02870931751204e-05,0.449999999830217,0.449999999790452,49.6152083368173,5.14354658836146e-06,0.450000000233226,0.450000000146249,49.6152083367894,5.14354658674347e-06
117,49.9069077806535,1.0287093175143e-05,49.7343284984212,5.14354659236043e-06,49.734328498439,5.14354658249266e-06,49.574876565246,2.57177330006152e-06,49.5748765652451,2.57177330032349e-06,49.5748765652819,2.57177328731431e-06,49.5748765652807,2.5717732872336e-06,49.7320011929316,5.14354658716339e-06,49.7320011929611,5.14354658800228e-06,49.5731246724094,2.57177329361204e-06,49.5731246724079,2.57177329351557e-06,49.5731246724348,2.57177329421787e-06,49.5731246724326,2.57177329381886e-06,0.450000000175585,0.449999999818003,49.8138155613069,1.02870931751777e-05,0.450000000044575,0.450000000023727,49.6152083367848,5.14354658714819e-06,0.449999999971434,0.449999999965012,49.6152083368193,5.14354658800494e-06
118,49.906907780653,1.02870931751824e-05,49.7343284984252,5.1435465879817e-06,49.7343284984329,5.14354658695925e-06,49.5748765652366,2.57177330096344e-06,49.5748765652364,2.57177330081377e-06,49.574876565287,2.57177328718947e-06,49.5748765652883,2.57177328617493e-06,49.7320011929385,5.14354658650345e-06,49.7320011929522,5.14354658868611e-06,49.5731246723993,2.57177329329574e-06,49.5731246723989,2.57177329315419e-06,49.5731246724398,2.57177329449844e-06,49.5731246724416,2.5717732942432e-06,0.450000000016489,0.449999999979438,49.813815561306,1.02870931751968e-05,0.450000000201584,0.450000000189672,49.6152083367724,5.14354658648426e-06,0.449999999844406,0.449999999763669,49.6152083368294,5.14354658870798e-06
119,49.9069077806527,1.02870931752328e-05,49.7343284984323,5.14354658395186e-06,49.7343284984242,5.14354659152613e-06,49.5748765652519,2.57177329517331e-06,49.5748765652525,2.57177329478865e-06,49.5748765652686,2.57177329313021e-06,49.5748765652708,2.57177329220243e-06,49.732001192951,5.14354658693274e-06,49.7320011929383,5.14354658827834e-06,49.5731246724094,2.57177329348684e-06,49.5731246724104,2.57177329342891e-06,49.5731246724259,2.5717732941069e-06,49.5731246724295,2.57177329419414e-06,0.450000000141784,0.449999999867313,49.8138155613054,1.02870931752059e-05,0.45000000017268,0.450000000142068,49.6152083367878,5.14354658693082e-06,0.449999999878528,0.449999999804696,49.615208336812,5.14354658829598e-06
120,49.9069077806525,1.02870931752542e-05,49.734328498435,5.14354658358585e-06,49.7343284984206,5.14354659168116e-06,49.5748765652735,2.57177328883679e-06,49.5748765652742,2.57177328858628e-06,49.5748765652456,2.57177329890301e-06,49.5748765652467,2.57177329885011e-06,49.732001192956,5.14354658792513e-06,49.7320011929321,5.14354658730704e-06,49.5731246724268,2.57177329394397e-06,49.5731246724281,2.57177329400812e-06,49.5731246724072,2.57177329348848e-06,49.5731246724093,2.5717732937919e-06,0.45000000014755,0.449999999854198,49.813815561305,1.02870931752259e-05,0.449999999989058,0.449999999969122,49.6152083368122,5.14354658793036e-06,0.450000000022657,0.450000000018448,49.6152083367858,5.14354658730463e-06
121,49.9069077806524,1.02870931752656e-05,49.7343284984307,5.14354658703359e-06,49.7343284984241,5.14354658814036e-06,49.57487656528,2.57177328795948e-06,49.5748765652802,2.57177328804361e-06,49.5748765652389,2.57177329930093e-06,49.5748765652382,2.5717733000279e-06,49.7320011929496,5.14354658850809e-06,49.7320011929379,5.14354658675067e-06,49.5731246724338,2.57177329421729e-06,49.5731246724342,2.57177329433141e-06,49.5731246724008,2.57177329324048e-06,49.5731246723998,2.57177329346631e-06,0.450000000020722,0.449999999980616,49.8138155613049,1.02870931752504e-05,0.449999999849654,0.44999999984296,49.6152083368214,5.14354658851335e-06,0.450000000186618,0.450000000128766,49.6152083367753,5.14354658673437e-06
122,49.9069077806524,1.02870931752687e-05,49.734328498424,5.14354659055809e-06,49.7343284984302,5.14354658457847e-06,49.5748765652667,2.57177329252033e-06,49.5748765652662,2.5717732928255e-06,49.5748765652519,2.57177329453816e-06,49.5748765652502,2.57177329531078e-06,49.7320011929386,5.1435465882008e-06,49.7320011929482,5.14354658707199e-06,49.5731246724245,2.57177329408053e-06,49.5731246724239,2.57177329413837e-06,49.5731246724103,2.57177329354336e-06,49.5731246724075,2.57177329350858e-06,0.450000000107069,0.449999999890384,49.8138155613047,1.02870931752814e-05,0.449999999882102,0.449999999857817,49.6152083368084,5.14354658821685e-06,0.450000000161731,0.450000000100246,49.6152083367874,5.14354658705724e-06
123,49.9069077806522,1.02870931752798e-05,49.7343284984209,5.14354659094841e-06,49.7343284984325,5.14354658431486e-06,49.5748765652479,2.57177329764033e-06,49.5748765652472,2.57177329788221e-06,49.5748765652695,2.5717732897409e-06,49.5748765652684,2.57177328989073e-06,49.7320011929333,5.14354658741548e-06,49.7320011929526,5.14354658786713e-06,49.5731246724092,2.57177329371873e-06,49.5731246724082,2.57177329367785e-06,49.5731246724243,2.57177329405718e-06,49.5731246724225,2.57177329383e-06,0.450000000118864,0.449999999878481,49.8138155613044,1.02870931752896e-05,0.450000000020407,0.450000000001158,49.6152083367874,5.14354658742195e-06,0.449999999995363,0.449999999983438,49.6152083368075,5.1435465878676e-06
124,49.9069077806522,1.02870931752951e-05,49.7343284984237,5.14354658831834e-06,49.7343284984293,5.14354658719951e-06,49.5748765652411,2.57177329861034e-06,49.5748765652408,2.57177329858174e-06,49.5748765652745,2.57177328932534e-06,49.5748765652749,2.57177328880793e-06,49.7320011929378,5.14354658694424e-06,49.7320011929478,5.14354658835208e-06,49.5731246724023,2.57177329350074e-06,49.5731246724018,2.5717732934104e-06,49.573124672429,2.57177329429163e-06,49.5731246724295,2.57177329409662e-06,0.450000000022075,0.449999999981532,49.8138155613044,1.02870931753023e-05,0.45000000012586,0.450000000123584,49.6152083367785,5.14354658694265e-06,0.449999999896548,0.449999999855372,49.6152083368157,5.14354658836692e-06
125,49.906907780652,1.02870931753033e-05,49.7343284984276,5.14354658710006e-06,49.7343284984245,5.14354658831907e-06,49.57487656525,2.5717732949138e-06,49.5748765652502,2.57177329483286e-06,49.5748765652641,2.57177329288325e-06,49.5748765652651,2.5717732926828e-06,49.7320011929454,5.14354658716855e-06,49.7320011929393,5.14354658813625e-06,49.5731246724081,2.57177329360277e-06,49.5731246724084,2.57177329354415e-06,49.5731246724212,2.57177329407735e-06,49.573124672423,2.57177329406875e-06,0.450000000019107,0.449999999974934,49.8138155613039,1.02870931753114e-05,0.45000000010893,0.450000000102488,49.6152083367869,5.14354658715638e-06,0.449999999900743,0.449999999884791,49.6152083368062,5.14354658813863e-06
126,49.906907780652,1.02870931753198e-05,49.7343284984288,5.14354658761696e-06,49.7343284984233,5.14354658771814e-06,49.5748765652601,2.57177329341645e-06,49.5748765652604,2.57177329341745e-06,49.5748765652539,2.57177329416501e-06,49.5748765652543,2.57177329431018e-06,49.7320011929478,5.14354658765985e-06,49.7320011929369,5.14354658765902e-06,49.5731246724172,2.57177329382836e-06,49.5731246724178,2.57177329382613e-06,49.573124672412,2.57177329377657e-06,49.5731246724129,2.57177329388092e-06,0.450000000005951,0.450000000002285,49.8138155613041,1.02870931753196e-05,0.449999999995622,0.449999999995543,49.6152083367995,5.14354658765205e-06,0.450000000015422,0.45000000000387,49.6152083367934,5.14354658766024e-06
127,49.9069077806518,1.02870931753168e-05,49.7343284984266,5.14354658783411e-06,49.734328498425,5.14354658745563e-06,49.574876565262,2.57177329389296e-06,49.574876565262,2.57177329390827e-06,49.574876565252,2.57177329372514e-06,49.5748765652518,2.57177329380425e-06,49.7320011929437,5.14354658783703e-06,49.7320011929405,5.14354658747844e-06,49.5731246724198,2.5717732939122e-06,49.57312467242,2.571773293933e-06,49.5731246724099,2.57177329370765e-06,49.5731246724094,2.57177329377365e-06,0.450000000002411,0.449999999988696,49.8138155613037,1.0287093175315e-05,0.449999999937376,0.449999999936157,49.6152083368025,5.14354658782941e-06,0.450000000062851,0.450000000056555,49.61520833679,5.14354658748198e-06
128,49.906907780652,1.02870931753277e-05,49.7343284984247,5.14354658768399e-06,49.734328498427,5.14354658766061e-06,49.5748765652581,2.57177329383045e-06,49.574876565258,2.57177329382603e-06,49.5748765652558,2.57177329384166e-06,49.5748765652553,2.5717732938132e-06,49.7320011929399,5.14354658766324e-06,49.7320011929445,5.14354658766507e-06,49.5731246724161,2.57177329383349e-06,49.5731246724159,2.57177329383889e-06,49.5731246724136,2.57177329384427e-06,49.5731246724127,2.57177329382109e-06,0.450000000005145,0.450000000004297,49.8138155613039,1.02870931753278e-05,0.449999999978887,0.449999999978535,49.6152083367972,5.14354658766115e-06,0.450000000023829,0.450000000021563,49.6152083367951,5.14354658766479e-06
129,49.9069077806517,1.0287093175325e-05,49.7343284984242,5.14354658743122e-06,49.7343284984267,5.14354658785491e-06,49.5748765652542,2.57177329375778e-06,49.5748765652541,2.57177329373809e-06,49.5748765652589,2.57177329396496e-06,49.5748765652587,2.57177329390394e-06,49.7320011929393,5.14354658744124e-06,49.7320011929442,5.14354658788491e-06,49.5731246724121,2.57177329372846e-06,49.5731246724119,2.57177329371194e-06,49.5731246724167,2.57177329397241e-06,49.5731246724164,2.57177329391233e-06,0.450000000001798,0.449999999986444,49.8138155613034,1.02870931753259e-05,0.45000000003268,0.450000000031113,49.6152083367918,5.14354658743832e-06,0.449999999969054,0.449999999964198,49.6152083367999,5.14354658788488e-06
130,49.9069077806519,1.02870931753416e-05,49.7343284984256,5.14354658744362e-06,49.7343284984257,5.14354658791352e-06,49.5748765652545,2.57177329374548e-06,49.5748765652544,2.57177329372038e-06,49.5748765652583,2.57177329395711e-06,49.5748765652584,2.57177329391957e-06,49.7320011929419,5.14354658743054e-06,49.732001192942,5.14354658791075e-06,49.5731246724122,2.5717732937232e-06,49.5731246724121,2.57177329370179e-06,49.5731246724161,2.57177329397167e-06,49.5731246724164,2.57177329393857e-06,0.450000000015913,0.449999999998884,49.8138155613039,1.02870931753414e-05,0.450000000047146,0.450000000045149,49.6152083367922,5.14354658742832e-06,0.44999999995917,0.449999999956183,49.6152083367994,5.14354658791126e-06
131,49.9069077806516,1.02870931753314e-05,49.734328498426,5.14354658755899e-06,49.7343284984243,5.1435465877744e-06,49.574876565257,2.57177329378077e-06,49.574876565257,2.57177329376844e-06,49.5748765652553,2.5717732938709e-06,49.5748765652555,2.57177329388414e-06,49.7320011929431,5.14354658756937e-06,49.7320011929398,5.14354658776115e-06,49.5731246724146,2.5717732937881e-06,49.5731246724147,2.57177329377716e-06,49.5731246724131,2.57177329387589e-06,49.5731246724135,2.57177329388502e-06,0.449999999995005,0.449999999987199,49.8138155613032,1.02870931753314e-05,0.450000000012473,0.450000000011492,49.6152083367958,5.1435465875702e-06,0.44999999998523,0.449999999984177,49.6152083367953,5.1435465877621e-06
132,49.906907780652,1.0287093175349e-05,49.7343284984263,5.14354658769241e-06,49.7343284984251,5.14354658765881e-06,49.5748765652588,2.57177329384728e-06,49.5748765652588,2.57177329385442e-06,49.5748765652537,2.57177329381865e-06,49.5748765652537,2.57177329386279e-06,49.7320011929432,5.14354658769987e-06,49.7320011929407,5.14354658764938e-06,49.5731246724165,2.57177329385088e-06,49.5731246724166,2.57177329385157e-06,49.5731246724115,2.57177329381252e-06,49.5731246724116,2.5717732938363e-06,0.450000000011365,0.450000000010148,49.8138155613039,1.02870931753487e-05,0.449999999987264,0.449999999986695,49.6152083367985,5.14354658770299e-06,0.450000000019056,0.450000000015542,49.6152083367929,5.1435465876466e-06
133,49.9069077806515,1.02870931753304e-05,49.7343284984249,5.14354658767954e-06,49.734328498425,5.14354658763166e-06,49.574876565258,2.57177329383782e-06,49.574876565258,2.57177329384695e-06,49.574876565254,2.57177329381616e-06,49.574876565254,2.57177329381974e-06,49.7320011929411,5.14354658769244e-06,49.7320011929414,5.14354658763834e-06,49.5731246724159,2.57177329384567e-06,49.5731246724159,2.57177329384979e-06,49.5731246724118,2.57177329381476e-06,49.5731246724117,2.57177329382462e-06,0.449999999987776,0.449999999986041,49.8138155613029,1.02870931753296e-05,0.44999999998094,0.449999999980213,49.6152083367975,5.14354658769389e-06,0.450000000013615,0.45000000001333,49.6152083367932,5.14354658763932e-06
134,49.906907780652,1.02870931753565e-05,49.7343284984253,5.14354658768409e-06,49.7343284984261,5.14354658773361e-06,49.5748765652566,2.57177329381906e-06,49.5748765652566,2.57177329382707e-06,49.5748765652556,2.57177329386577e-06,49.5748765652556,2.57177329385135e-06,49.7320011929411,5.14354658763807e-06,49.7320011929428,5.14354658771902e-06,49.5731246724145,2.57177329381979e-06,49.5731246724145,2.57177329382014e-06,49.5731246724134,2.57177329386339e-06,49.5731246724133,2.57177329385525e-06,0.450000000016836,0.450000000015041,49.813815561304,1.0287093175355e-05,0.450000000004492,0.450000000003855,49.6152083367958,5.14354658763932e-06,0.450000000003327,0.45000000000218,49.6152083367954,5.14354658771845e-06
135,49.9069077806513,1.02870931753298e-05,49.7343284984244,5.14354658758052e-06,49.7343284984249,5.14354658773751e-06,49.5748765652556,2.57177329381445e-06,49.5748765652556,2.57177329380592e-06,49.5748765652559,2.57177329388975e-06,49.5748765652559,2.57177329386902e-06,49.7320011929406,5.14354658758774e-06,49.7320011929414,5.14354658774265e-06,49.5731246724134,2.57177329379466e-06,49.5731246724134,2.5717732937916e-06,49.5731246724138,2.57177329387703e-06,49.5731246724137,2.5717732938649e-06,0.449999999983599,0.44999999997791,49.8138155613026,1.02870931753296e-05,0.45000000000797,0.450000000007291,49.6152083367944,5.1435465875893e-06,0.449999999985292,0.449999999983643,49.6152083367959,5.14354658774118e-06
136,49.9069077806521,1.02870931753662e-05,49.734328498426,5.1435465876405e-06,49.7343284984257,5.14354658776448e-06,49.5748765652563,2.57177329382303e-06,49.5748765652563,2.57177329381016e-06,49.5748765652557,2.57177329387818e-06,49.5748765652558,2.57177329387882e-06,49.7320011929423,5.14354658763068e-06,49.7320011929418,5.14354658773557e-06,49.5731246724141,2.57177329381713e-06,49.5731246724141,2.57177329381359e-06,49.5731246724135,2.57177329386921e-06,49.5731246724136,2.57177329386511e-06,0.450000000025592,0.4500000000211,49.8138155613043,1.02870931753678e-05,0.450000000013648,0.450000000012623,49.6152083367955,5.14354658763386e-06,0.449999999996867,0.449999999996816,49.6152083367956,5.14354658773482e-06
137,49.9069077806511,1.02870931753253e-05,49.7343284984246,5.14354658763877e-06,49.7343284984241,5.14354658766174e-06,49.5748765652565,2.57177329382095e-06,49.5748765652566,2.57177329381848e-06,49.5748765652547,2.57177329382668e-06,49.5748765652547,2.57177329384689e-06,49.7320011929412,5.1435465876573e-06,49.7320011929402,5.1435465876677e-06,49.5731246724143,2.57177329382821e-06,49.5731246724144,2.57177329382759e-06,49.5731246724125,2.57177329383166e-06,49.5731246724126,2.5717732938363e-06,0.449999999972017,0.449999999971185,49.8138155613022,1.02870931753259e-05,0.449999999991916,0.44999999999172,49.6152083367959,5.14354658765751e-06,0.449999999997044,0.449999999995436,49.6152083367941,5.14354658766842e-06
138,49.9069077806523,1.02870931753777e-05,49.7343284984262,5.14354658772467e-06,49.734328498426,5.14354658769768e-06,49.5748765652571,2.57177329385552e-06,49.5748765652571,2.57177329385434e-06,49.574876565255,2.57177329383721e-06,49.574876565255,2.57177329385751e-06,49.7320011929425,5.14354658770157e-06,49.7320011929421,5.14354658767543e-06,49.5731246724149,2.57177329385248e-06,49.5731246724149,2.57177329385268e-06,49.5731246724128,2.57177329383481e-06,49.5731246724128,2.57177329383951e-06,0.450000000034981,0.450000000034003,49.8138155613047,1.02870931753778e-05,0.450000000001041,0.450000000000947,49.6152083367968,5.14354658770844e-06,0.450000000014334,0.450000000012719,49.6152083367945,5.14354658767388e-06
139,49.9069077806508,1.02870931753149e-05,49.7343284984238,5.14354658762042e-06,49.734328498424,5.14354658761243e-06,49.574876565256,2.57177329383119e-06,49.574876565256,2.57177329383002e-06,49.5748765652549,2.57177329382221e-06,49.5748765652549,2.57177329382099e-06,49.7320011929402,5.14354658765894e-06,49.7320011929405,5.14354658765636e-06,49.5731246724139,2.57177329382899e-06,49.5731246724139,2.57177329382941e-06,49.5731246724128,2.57177329382826e-06,49.5731246724127,2.57177329382843e-06,0.449999999958123,0.449999999957833,49.8138155613017,1.02870931753187e-05,0.449999999987052,0.449999999986959,49.6152083367953,5.14354658766024e-06,0.449999999994831,0.449999999994733,49.6152083367942,5.14354658765842e-06
140,49.9069077806527,1.02870931753916e-05,49.7343284984264,5.14354658769748e-06,49.7343284984267,5.14354658773141e-06,49.5748765652563,2.57177329384097e-06,49.5748765652563,2.57177329384774e-06,49.574876565256,2.57177329386618e-06,49.574876565256,2.57177329386601e-06,49.7320011929425,5.14354658767755e-06,49.7320011929429,5.14354658771426e-06,49.5731246724141,2.57177329384051e-06,49.5731246724141,2.57177329384044e-06,49.5731246724137,2.5717732938577e-06,49.5731246724137,2.57177329385521e-06,0.450000000051627,0.450000000050397,49.8138155613053,1.02870931753951e-05,0.450000000013574,0.450000000013035,49.6152083367958,5.1435465876857e-06,0.450000000008723,0.45000000000871,49.6152083367958,5.14354658771572e-06
141,49.9069077806504,1.02870931753001e-05,49.7343284984233,5.14354658760898e-06,49.7343284984233,5.14354658763211e-06,49.5748765652553,2.57177329379631e-06,49.5748765652553,2.57177329379224e-06,49.5748765652552,2.57177329383658e-06,49.5748765652552,2.57177329384206e-06,49.7320011929398,5.14354658763187e-06,49.7320011929398,5.14354658766833e-06,49.5731246724132,2.57177329381447e-06,49.5731246724131,2.57177329381387e-06,49.573124672413,2.57177329383542e-06,49.5731246724131,2.57177329383417e-06,0.449999999938199,0.449999999937361,49.8138155613009,1.02870931752996e-05,0.449999999988892,0.449999999988569,49.6152083367944,5.14354658763113e-06,0.449999999984397,0.449999999983961,49.6152083367946,5.14354658767024e-06
142,49.9069077806531,1.0287093175413e-05,49.7343284984273,5.1435465877288e-06,49.7343284984272,5.14354658774926e-06,49.5748765652565,2.57177329386183e-06,49.5748765652565,2.57177329385152e-06,49.574876565256,2.57177329387434e-06,49.574876565256,2.57177329387759e-06,49.7320011929434,5.14354658769816e-06,49.7320011929432,5.14354658771557e-06,49.5731246724143,2.57177329385204e-06,49.5731246724143,2.57177329385102e-06,49.5731246724138,2.57177329385676e-06,49.5731246724138,2.57177329385676e-06,0.450000000076355,0.450000000075614,49.8138155613063,1.02870931754169e-05,0.450000000018204,0.450000000017384,49.6152083367963,5.14354658771117e-06,0.450000000015149,0.450000000014891,49.6152083367958,5.14354658771481e-06
143,49.9069077806498,1.02870931752744e-05,49.7343284984224,5.14354658757779e-06,49.7343284984223,5.14354658757546e-06,49.5748765652553,2.57177329381285e-06,49.5748765652553,2.57177329380631e-06,49.5748765652547,2.57177329380725e-06,49.5748765652547,2.57177329380359e-06,49.7320011929391,5.14354658764168e-06,49.7320011929389,5.14354658763402e-06,49.5731246724132,2.57177329381908e-06,49.5731246724132,2.57177329381887e-06,49.5731246724126,2.57177329381693e-06,49.5731246724126,2.57177329381795e-06,0.449999999906862,0.449999999906778,49.8138155612996,1.02870931752759e-05,0.449999999977049,0.449999999976529,49.6152083367945,5.14354658764569e-06,0.449999999982749,0.449999999982458,49.6152083367938,5.14354658763386e-06
144,49.9069077806539,1.0287093175446e-05,49.7343284984283,5.14354658779649e-06,49.7343284984283,5.14354658778351e-06,49.5748765652568,2.57177329389204e-06,49.5748765652568,2.57177329389261e-06,49.5748765652562,2.5717732938837e-06,49.5748765652562,2.57177329388199e-06,49.7320011929442,5.1435465877262e-06,49.7320011929442,5.14354658771972e-06,49.5731246724146,2.57177329386652e-06,49.5731246724146,2.57177329386632e-06,49.5731246724139,2.57177329385834e-06,49.5731246724139,2.57177329385927e-06,0.450000000114019,0.450000000113549,49.8138155613077,1.02870931754478e-05,0.45000000002376,0.450000000023714,49.6152083367968,5.14354658773209e-06,0.450000000025209,0.450000000025073,49.615208336796,5.14354658771572e-06
145,49.9069077806489,1.02870931752406e-05,49.734328498421,5.14354658757408e-06,49.734328498421,5.1435465875706e-06,49.5748765652547,2.57177329378831e-06,49.5748765652547,2.57177329379654e-06,49.5748765652546,2.5717732938054e-06,49.5748765652546,2.57177329379981e-06,49.7320011929377,5.14354658762085e-06,49.7320011929379,5.1435465876192e-06,49.5731246724126,2.57177329380678e-06,49.5731246724126,2.57177329380644e-06,49.5731246724125,2.57177329381089e-06,49.5731246724125,2.57177329381047e-06,0.449999999861226,0.4499999998611,49.8138155612978,1.02870931752341e-05,0.449999999969008,0.449999999968353,49.6152083367936,5.14354658761022e-06,0.449999999972293,0.449999999971847,49.6152083367935,5.1435465876184e-06
146,49.9069077806549,1.02870931754969e-05,49.7343284984299,5.14354658781977e-06,49.7343284984299,5.14354658784051e-06,49.574876565257,2.57177329389183e-06,49.574876565257,2.57177329388798e-06,49.5748765652568,2.57177329388287e-06,49.5748765652568,2.57177329388803e-06,49.7320011929455,5.14354658774142e-06,49.7320011929456,5.1435465877517e-06,49.5731246724147,2.57177329387447e-06,49.5731246724147,2.57177329387349e-06,49.5731246724145,2.57177329387553e-06,49.5731246724145,2.57177329387482e-06,0.450000000170052,0.4500000001693,49.8138155613098,1.0287093175486e-05,0.450000000038913,0.450000000038607,49.615208336797,5.14354658773391e-06,0.450000000034223,0.450000000033812,49.6152083367969,5.14354658775119e-06
147,49.9069077806476,1.02870931751859e-05,49.7343284984191,5.14354658749866e-06,49.7343284984191,5.14354658750897e-06,49.5748765652541,2.57177329375338e-06,49.5748765652541,2.57177329374872e-06,49.5748765652542,2.57177329379055e-06,49.5748765652542,2.57177329379671e-06,49.7320011929361,5.14354658759459e-06,49.7320011929361,5.14354658759227e-06,49.573124672412,2.57177329379041e-06,49.573124672412,2.57177329379053e-06,49.5731246724121,2.57177329379906e-06,49.5731246724121,2.57177329379802e-06,0.449999999794304,0.44999999979393,49.8138155612952,1.02870931751813e-05,0.449999999955422,0.449999999955052,49.6152083367926,5.14354658756474e-06,0.449999999957129,0.449999999956639,49.6152083367929,5.14354658759475e-06
148,49.9069077806565,1.02870931755619e-05,49.7343284984323,5.14354658789135e-06,49.7343284984322,5.14354658790557e-06,49.5748765652577,2.57177329390789e-06,49.5748765652577,2.57177329390149e-06,49.5748765652573,2.57177329392889e-06,49.5748765652573,2.57177329392224e-06,49.7320011929477,5.14354658777866e-06,49.7320011929476,5.14354658777942e-06,49.5731246724153,2.57177329389415e-06,49.5731246724154,2.57177329389487e-06,49.573124672415,2.57177329388906e-06,49.573124672415,2.57177329388846e-06,0.450000000250867,0.450000000250352,49.813815561313,1.02870931755533e-05,0.450000000056837,0.450000000056328,49.6152083367981,5.14354658777847e-06,0.450000000052266,0.450000000051738,49.6152083367977,5.14354658778575e-06
149,49.9069077806458,1.02870931750981e-05,49.7343284984164,5.14354658740434e-06,49.7343284984164,5.14354658740443e-06,49.5748765652534,2.57177329375418e-06,49.5748765652534,2.57177329376315e-06,49.5748765652534,2.57177329375963e-06,49.5748765652534,2.5717732937595e-06,49.7320011929338,5.14354658755414e-06,49.7320011929337,5.14354658754705e-06,49.5731246724114,2.57177329377084e-06,49.5731246724114,2.57177329377132e-06,49.5731246724114,2.57177329377487e-06,49.5731246724114,2.57177329377572e-06,0.449999999695693,0.44999999969569,49.8138155612915,1.0287093175104e-05,0.449999999931028,0.449999999930314,49.6152083367918,5.14354658756292e-06,0.449999999937337,0.449999999937327,49.6152083367918,5.14354658756019e-06
