time,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,VV_junc2__H_VV_out_alpha,VV_junc2__H_VV_out_beta,VV_junc3__H_VV_out_alpha,VV_junc3__H_VV_out_beta,inlet__u_mmHg,V1__u_mmHg,V2__u_mmHg,V3__u_mmHg,V4__u_mmHg,V5__u_mmHg,V6__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__v_mm3_s,PV2__v_mm3_s,PV3__v_mm3_s,PV4__v_mm3_s,PV5__v_mm3_s,PV6__v_mm3_s,V1__v_mm3_s,V2__v_mm3_s,V3__v_mm3_s,V4__v_mm3_s,V5__v_mm3_s,V6__v_mm3_s
936.0,0.45000000579380983,0.4499999915060373,0.44999739637702896,0.44999739637625724,0.4499973992325475,0.44999739706770797,49.90690808004263,49.73200170273752,49.73200170260299,49.57312565089401,49.57312565089401,49.57312563933841,49.5731256393333,49.81381616008526,49.7366566505383,5.143529868778081e-06,5.143530263060078e-06,2.57176493438655e-06,2.5717649343768544e-06,2.571765117917571e-06,2.571765145120844e-06,5.143529868771823e-06,5.143530263048528e-06,2.571764934385575e-06,2.571764934385947e-06,2.571765117927223e-06,2.5717651451211907e-06
937.0,0.45000000579380983,0.4499999915060373,0.4499973963770542,0.449997396376232,0.44999739923254767,0.4499973970677079,49.90690808004263,49.73200170273752,49.73200170260299,49.57312565089401,49.57312565089403,49.57312563933841,49.5731256393333,49.81381616008526,49.7366566505383,5.143529868778081e-06,5.143530263060078e-06,2.57176493438655e-06,2.5717649343968825e-06,2.571765117927585e-06,2.5717651451308583e-06,5.143529868771823e-06,5.143530263048528e-06,2.571764934385575e-06,2.571764934386427e-06,2.571765117927223e-06,2.5717651451211907e-06
938.0,0.4500000057938099,0.44999999150603737,0.4499973963770542,0.449997396376232,0.44999739923254767,0.4499973970677079,49.906908080042626,49.73200170273752,49.73200170260299,49.57312565089401,49.57312565089401,49.57312563933841,49.5731256393333,49.81381616008526,49.7366566505383,5.143529868778081e-06,5.143530263060078e-06,2.57176493438655e-06,2.5717649343968825e-06,2.571765117927585e-06,2.5717651451308583e-06,5.143529868771823e-06,5.143530263048528e-06,2.571764934385575e-06,2.571764934385947e-06,2.571765117927223e-06,2.5717651451211907e-06
939.0,0.4500000057935367,0.44999999150631065,0.4499973963770542,0.449997396376232,0.44999739923254756,0.449997397067708,49.906908080042626,49.73200170273752,49.73200170260299,49.57312565089403,49.57312565089401,49.57312563933841,49.5731256393333,49.81381616008526,49.7366566505383,5.143529868778081e-06,5.143530263045002e-06,2.571764934376536e-06,2.5717649343868685e-06,2.571765117917571e-06,2.571765145120844e-06,5.143529868771823e-06,5.143530263048528e-06,2.571764934386055e-06,2.571764934385947e-06,2.571765117927223e-06,2.5717651451211907e-06
940.0,0.4500000057935367,0.44999999150631065,0.44999739637665587,0.44999739637663044,0.44999739923214904,0.4499973970681065,49.906908080042626,49.73200170273752,49.73200170260299,49.57312565089403,49.57312565089403,49.57312563933841,49.5731256393333,49.81381616008526,49.7366566505383,5.143529868778081e-06,5.143530263045002e-06,2.57176493438655e-06,2.5717649343868685e-06,2.571765117917571e-06,2.5717651451108298e-06,5.143529868771823e-06,5.143530263048528e-06,2.571764934386055e-06,2.571764934386427e-06,2.571765117927223e-06,2.5717651451211907e-06
941.0,0.45000000579380983,0.4499999915060373,0.44999739637665587,0.44999739637663044,0.449997399232149,0.44999739706810643,49.90690808004263,49.73200170273752,49.73200170260299,49.57312565089401,49.57312565089403,49.5731256393384,49.5731256393333,49.81381616008526,49.7366566505383,5.143529868778081e-06,5.143530263060078e-06,2.57176493438655e-06,2.5717649343868685e-06,2.571765117917571e-06,2.5717651451108298e-06,5.143529868771823e-06,5.143530263048528e-06,2.571764934385575e-06,2.571764934386427e-06,2.571765117926983e-06,2.5717651451211907e-06
942.0,0.45000000579380983,0.4499999915060373,0.4499973963766558,0.4499973963766304,0.44999739923214893,0.4499973970681064,49.90690808004263,49.73200170273752,49.73200170260299,49.57312565089403,49.57312565089401,49.57312563933841,49.573125639333306,49.81381616008526,49.7366566505383,5.143529868778081e-06,5.143530263060078e-06,2.57176493438655e-06,2.5717649343868685e-06,2.571765117937599e-06,2.5717651451308583e-06,5.143529868771823e-06,5.143530263048528e-06,2.571764934386055e-06,2.571764934385947e-06,2.571765117927223e-06,2.571765145121431e-06
943.0,0.4500000057935366,0.44999999150631054,0.4499973963766558,0.4499973963766304,0.4499973992317507,0.44999739706850467,49.90690808004263,49.73200170273752,49.73200170260299,49.57312565089403,49.57312565089401,49.57312563933841,49.573125639333306,49.81381616008526,49.7366566505383,5.143529868778081e-06,5.143530263045002e-06,2.57176493438655e-06,2.5717649343868685e-06,2.571765117937599e-06,2.571765145120844e-06,5.143529868771823e-06,5.143530263048528e-06,2.571764934386055e-06,2.571764934385947e-06,2.571765117927223e-06,2.571765145121431e-06
944.0,0.45000000579353666,0.4499999915063106,0.4499973963766558,0.4499973963766304,0.449997399232149,0.44999739706810643,49.906908080042626,49.73200170273752,49.73200170260299,49.57312565089401,49.57312565089403,49.57312563933841,49.573125639333306,49.81381616008526,49.7366566505383,5.143529868778081e-06,5.143530263045002e-06,2.571764934376536e-06,2.5717649343768544e-06,2.571765117917571e-06,2.5717651451108298e-06,5.143529868771823e-06,5.143530263048528e-06,2.571764934385575e-06,2.571764934386427e-06,2.571765117927223e-06,2.571765145121431e-06
945.0,0.45000000579353666,0.4499999915063106,0.4499973963770542,0.449997396376232,0.4499973992317507,0.4499973970685048,49.906908080042626,49.73200170273752,49.73200170260299,49.57312565089401,49.57312565089403,49.57312563933841,49.573125639333306,49.81381616008526,49.7366566505383,5.143529868778081e-06,5.143530263045002e-06,2.571764934376536e-06,2.5717649343868685e-06,2.571765117927585e-06,2.5717651451108298e-06,5.143529868771823e-06,5.143530263048528e-06,2.5717649343855746e-06,2.571764934386427e-06,2.571765117927223e-06,2.571765145121431e-06
