time,PV1__R_constriction,PV1__u_mmHg,PV2__R_constriction,PV2__u_mmHg,PV3__u_mmHg,PV4__u_mmHg,PV5__u_mmHg,PV6__u_mmHg,V1__u_mmHg,V2__u_mmHg,V3__u_mmHg,V4__u_mmHg,V5__u_mmHg,V6__u_mmHg,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,VV_junc1__u_d_mmHg,VV_junc1__u_mmHg,VV_junc2__H_VV_out_alpha,VV_junc2__H_VV_out_beta,VV_junc3__H_VV_out_alpha,VV_junc3__H_VV_out_beta,inlet__H_down,inlet__H_link_L,inlet__H_link_R,inlet__RBC_volume,inlet__u_mmHg
157.0,0.0,49.734328498424965,0.0,49.73432849842476,49.57487656525845,49.574876565258435,49.57487656525263,49.574876565252644,49.73200119294136,49.73200119294094,49.5731246724163,49.57312467241628,49.57312467241043,49.57312467241045,0.45000000000102497,0.45000000000042945,49.73665580390857,49.81381556130308,0.45000000000011064,0.44999999999160245,0.4500000000061775,0.45000000000396617,0.45000000000038476,0.45,-3.9198441415406915e-98,1.5269638991062404e-14,49.906907780651515
158.0,0.0,49.73432849842507,0.0,49.734328498424766,49.57487656525847,49.57487656525841,49.57487656525247,49.57487656525249,49.73200119294151,49.732001192940906,49.57312467241637,49.57312467241624,49.57312467241025,49.57312467241029,0.45000000000193274,0.44999999999941265,49.736655803908626,49.81381556130313,0.4499999999934171,0.44999999998478635,0.45000000000865314,0.4500000000073706,0.45000000000033474,0.45,-4.126877799316633e-98,1.526963899106083e-14,49.906907780651544
159.0,0.0,49.73432849842546,0.0,49.73432849842471,49.57487656525841,49.574876565258435,49.57487656525188,49.57487656525189,49.732001192942136,49.732001192940615,49.57312467241634,49.573124672416384,49.57312467240966,49.5731246724097,0.4500000000040622,0.44999999999511414,49.73665580390879,49.813815561303244,0.4499999999706644,0.4499999999623395,0.4500000000082351,0.45000000000708124,0.45000000000035517,0.45,4.422298499010164e-98,1.526963899106287e-14,49.90690778065161
160.0,0.0,49.734328498426216,0.0,49.7343284984248,49.57487656525796,49.5748765652581,49.57487656525063,49.574876565250634,49.732001192943216,49.73200119294041,49.57312467241599,49.57312467241628,49.57312467240841,49.57312467240843,0.45000000000729057,0.4499999999895751,49.7366558039092,49.813815561303485,0.44999999993242196,0.4499999999220951,0.4500000000112582,0.45000000001001744,0.45000000000054874,0.45,1.3429269456371023e-97,1.5269638991070328e-14,49.90690778065172
161.0,0.0,49.734328498426905,0.0,49.73432849842536,49.57487656525682,49.57487656525698,49.57487656524911,49.57487656524913,49.732001192944,49.73200119294091,49.57312467241502,49.57312467241532,49.573124672406884,49.573124672406905,0.45000000001457147,0.449999999982959,49.73665580390983,49.813815561303855,0.4499999999072416,0.44999999989472594,0.4500000000291535,0.450000000027885,0.4500000000009024,0.45,1.1430930391329464e-97,1.5269638991080908e-14,49.90690778065188
162.0,0.0,49.734328498425775,0.0,49.734328498426095,49.57487656525554,49.57487656525544,49.574876565251074,49.57487656525109,49.732001192941915,49.73200119294256,49.573124672413506,49.57312467241332,49.57312467240875,49.57312467240876,0.4500000000170164,0.4499999999857191,49.73665580390964,49.813815561303805,0.4499999999936371,0.44999999998018764,0.4500000000585465,0.45000000005766144,0.450000000000688,0.45,-4.183793657677296e-98,1.5269638991071707e-14,49.90690778065192
163.0,0.0,49.73432849842564,0.0,49.73432849842634,49.57487656525432,49.57487656525414,49.57487656525299,49.57487656525302,49.73200119294158,49.732001192943,49.57312467241227,49.573124672411915,49.57312467241066,49.57312467241067,0.45000000001575713,0.44999999998698914,49.73665580390969,49.81381556130388,0.4499999999955824,0.44999999998502116,0.4500000000571957,0.45000000005549007,0.45000000000049034,0.45,-5.083697213396649e-98,1.5269638991065462e-14,49.90690778065196
164.0,0.0,49.734328498426,0.0,49.73432849842637,49.57487656525297,49.574876565252794,49.57487656525478,49.5748765652548,49.732001192942114,49.73200119294285,49.573124672411005,49.57312467241064,49.57312467241245,49.5731246724125,0.4500000000135403,0.4499999999866568,49.73665580390988,49.81381556130402,0.4499999999589791,0.44999999995286444,0.4500000000396336,0.45000000003902063,0.4500000000003568,0.45,1.7571048904547518e-98,1.5269638991062477e-14,49.90690778065202
165.0,0.0,49.73432849842641,0.0,49.734328498426414,49.57487656525128,49.574876565251095,49.57487656525629,49.57487656525633,49.73200119294272,49.73200119294273,49.573124672409456,49.57312467240907,49.573124672414,49.573124672414075,0.45000000001010715,0.44999999998761536,49.7366558039101,49.81381556130417,0.44999999992893236,0.44999999992815143,0.4500000000231747,0.4500000000231205,0.45000000000033485,0.45,9.364497820160277e-98,1.5269638991063057e-14,49.90690778065209
166.0,0.0,49.73432849842637,0.0,49.734328498426635,49.57487656524946,49.57487656524923,49.574876565257405,49.57487656525745,49.732001192942555,49.73200119294307,49.573124672407666,49.5731246724072,49.57312467241515,49.57312467241523,0.4500000000082117,0.4499999999901725,49.73665580391019,49.81381556130424,0.44999999996062906,0.4499999999571846,0.4500000000235474,0.4500000000206859,0.45000000000041773,0.45,8.36587702403376e-98,1.5269638991065443e-14,49.906907780652155
167.0,0.0,49.73432849842607,0.0,49.7343284984265,49.57487656524965,49.574876565249625,49.574876565258265,49.57487656525826,49.73200119294215,49.73200119294302,49.57312467240745,49.57312467240739,49.57312467241602,49.573124672416014,0.4500000000073777,0.449999999993948,49.73665580390999,49.81381556130409,0.45000000001989116,0.450000000015332,0.4500000000214717,0.45000000001940216,0.45000000000034673,0.45,-2.7576804009572104e-98,1.5269638991061423e-14,49.90690778065201
