time,H_VV_out_alpha,H_VV_out_beta
380.0,0.4500000000000979,0.44999999999990203
381.0,0.45000000000003687,0.44999999999996315
382.0,0.4500000000000083,0.44999999999999174
383.0,0.45000000000000184,0.4499999999999982
384.0,0.45000000000010615,0.4499999999998939
385.0,0.45000000000003937,0.449999999999962
386.0,0.45000000000009893,0.44999999999990264
387.0,0.4500000000000376,0.44999999999996365
388.0,0.45000000000000867,0.44999999999999213
389.0,0.45000000000000223,0.4499999999999987
390.0,0.45000000000010143,0.4499999999998886
391.0,0.450000000000039,0.4499999999999615
392.0,0.45000000000009904,0.44999999999990287
393.0,0.45000000000003776,0.4499999999999638
394.0,0.45000000000000895,0.4499999999999924
395.0,0.45000000000010554,0.4499999999998956
396.0,0.45000000000003876,0.44999999999996204
397.0,0.4500000000000036,0.4499999999999865
398.0,0.4500000000001052,0.44999999999989526
399.0,0.45000000000003965,0.44999999999996293
400.0,0.4500000000000095,0.4499999999999923
401.0,0.45000000000010587,0.4499999999998959
402.0,0.4500000000000388,0.4499999999999621
403.0,0.4500000000000986,0.4499999999999023
404.0,0.45000000000003215,0.4499999999999582
405.0,0.4500000000000078,0.44999999999999135
406.0,0.45000000000000207,0.4499999999999985
407.0,0.4500000000001063,0.44999999999989404
408.0,0.45000000000003887,0.4499999999999615
409.0,0.45000000000009815,0.4499999999999023
410.0,0.4500000000000369,0.44999999999996354
411.0,0.45000000000000845,0.4499999999999919
412.0,0.4500000000001048,0.44999999999989543
413.0,0.45000000000003854,0.4499999999999618
414.0,0.4500000000000981,0.44999999999990226
415.0,0.4500000000000369,0.44999999999996354
416.0,0.45000000000000845,0.4499999999999919
417.0,0.45000000000000195,0.4499999999999984
418.0,0.45000000000010637,0.449999999999894
419.0,0.45000000000003887,0.4499999999999615
420.0,0.4500000000000981,0.44999999999990226
421.0,0.450000000000037,0.4499999999999634
422.0,0.4500000000000084,0.44999999999999196
423.0,0.450000000000002,0.44999999999999846
424.0,0.45000000000010637,0.449999999999894
425.0,0.45000000000003415,0.44999999999995666
426.0,0.4500000000000989,0.4499999999999027
427.0,0.45000000000003876,0.4499999999999648
428.0,0.4500000000000096,0.4499999999999932
429.0,0.45000000000010626,0.4499999999998962
430.0,0.45000000000003926,0.44999999999996254
431.0,0.4500000000000989,0.4499999999999027
432.0,0.45000000000003787,0.44999999999996393
433.0,0.4500000000000034,0.44999999999998697
434.0,0.4500000000000023,0.44999999999999873
435.0,0.4500000000001078,0.4499999999998949
436.0,0.4500000000000396,0.4499999999999621
437.0,0.4500000000000988,0.44999999999990264
438.0,0.4500000000000378,0.4499999999999639
439.0,0.4500000000000088,0.44999999999999224
440.0,0.44999999999999685,0.4499999999999933
441.0,0.45000000000010676,0.44999999999989393
442.0,0.45000000000003954,0.44999999999996215
443.0,0.4500000000000989,0.4499999999999027
444.0,0.45000000000003787,0.44999999999996393
445.0,0.45000000000000806,0.4499999999999915
446.0,0.45000000000000145,0.4499999999999979
447.0,0.4500000000001059,0.44999999999989365
448.0,0.4500000000000385,0.4499999999999611
449.0,0.45000000000009777,0.4499999999999019
450.0,0.4500000000000368,0.4499999999999629
451.0,0.4500000000000081,0.4499999999999916
452.0,0.4500000000000017,0.449999999999998
453.0,0.450000000000106,0.4499999999998937
454.0,0.45000000000003854,0.44999999999996115
455.0,0.45000000000009777,0.4499999999999019
456.0,0.45000000000003654,0.44999999999996315
457.0,0.45000000000000806,0.44999999999999163
458.0,0.45000000000010465,0.44999999999989504
459.0,0.4500000000000382,0.4499999999999615
460.0,0.45000000000000845,0.44999999999999124
461.0,0.4500000000001045,0.4499999999998951
462.0,0.45000000000003815,0.44999999999996154
463.0,0.4500000000000084,0.4499999999999913
464.0,0.45000000000010454,0.44999999999989504
465.0,0.450000000000039,0.4499999999999625
466.0,0.450000000000099,0.44999999999990237
467.0,0.45000000000003215,0.4499999999999582
468.0,0.4500000000000088,0.44999999999999224
469.0,0.45000000000000295,0.4499999999999994
470.0,0.4500000000001074,0.4499999999998945
471.0,0.4500000000000398,0.449999999999962
472.0,0.45000000000009877,0.4499999999999026
473.0,0.45000000000003726,0.44999999999996354
474.0,0.4500000000000034,0.44999999999998685
475.0,0.4500000000001052,0.44999999999989526
476.0,0.4500000000000394,0.4499999999999627
477.0,0.45000000000009904,0.44999999999990287
478.0,0.45000000000003754,0.4499999999999636
479.0,0.4500000000000089,0.44999999999999235
480.0,0.4500000000000023,0.44999999999999873
481.0,0.4500000000001015,0.44999999999988866
482.0,0.450000000000039,0.4499999999999615
483.0,0.4500000000000992,0.44999999999990303
484.0,0.45000000000003787,0.44999999999996393
485.0,0.45000000000000817,0.44999999999999163
486.0,0.4500000000000016,0.44999999999999807
487.0,0.4500000000001059,0.44999999999989365
488.0,0.4500000000000386,0.4499999999999612
489.0,0.4500000000000977,0.44999999999990187
490.0,0.45000000000003676,0.4499999999999628
491.0,0.45000000000000806,0.4499999999999915
492.0,0.4500000000001046,0.449999999999895
493.0,0.45000000000003804,0.44999999999996154
494.0,0.45000000000000845,0.44999999999999124
495.0,0.4500000000001046,0.4499999999998952
496.0,0.4500000000000381,0.4499999999999616
497.0,0.4500000000000084,0.4499999999999913
498.0,0.45000000000010454,0.44999999999989515
499.0,0.45000000000003815,0.44999999999996154
500.0,0.45000000000009777,0.4499999999999019
501.0,0.4500000000000368,0.4499999999999629
502.0,0.4500000000000081,0.4499999999999917
503.0,0.4500000000000017,0.449999999999998
504.0,0.450000000000106,0.4499999999998937
505.0,0.45000000000003926,0.4499999999999619
506.0,0.4500000000000986,0.4499999999999024
507.0,0.4500000000000374,0.4499999999999637
508.0,0.4500000000000087,0.4499999999999922
509.0,0.4499999999999967,0.4499999999999931
510.0,0.45000000000010676,0.4499999999998938
511.0,0.45000000000004003,0.4499999999999622
512.0,0.450000000000099,0.4499999999999028
513.0,0.45000000000003776,0.4499999999999638
514.0,0.45000000000000895,0.4499999999999924
515.0,0.45000000000010554,0.4499999999998955
516.0,0.45000000000003343,0.4499999999999567
517.0,0.45000000000009843,0.44999999999990214
518.0,0.4500000000000381,0.44999999999996415
519.0,0.4500000000000092,0.4499999999999927
520.0,0.4500000000000025,0.44999999999999896
521.0,0.450000000000107,0.44999999999989415
522.0,0.4500000000000391,0.4499999999999616
523.0,0.4500000000000931,0.4499999999998969
524.0,0.45000000000003726,0.4499999999999633
525.0,0.45000000000000867,0.44999999999999213
526.0,0.4500000000001049,0.44999999999989554
527.0,0.4500000000000384,0.44999999999996193
528.0,0.45000000000009827,0.4499999999999022
529.0,0.45000000000003687,0.4499999999999635
530.0,0.4500000000000085,0.44999999999999196
531.0,0.45000000000000195,0.4499999999999984
532.0,0.4500000000001063,0.44999999999989404
533.0,0.45000000000003887,0.4499999999999615
534.0,0.45000000000009815,0.4499999999999023
535.0,0.450000000000037,0.4499999999999634
536.0,0.45000000000000834,0.4499999999999919
537.0,0.45000000000000195,0.4499999999999984
538.0,0.4500000000001064,0.44999999999989404
539.0,0.4500000000000389,0.44999999999996154
540.0,0.4500000000000981,0.44999999999990226
541.0,0.45000000000003687,0.4499999999999635
542.0,0.4500000000000084,0.44999999999999196
543.0,0.45000000000010487,0.4499999999998955
544.0,0.4500000000000386,0.4499999999999619
545.0,0.4500000000000087,0.44999999999999163
546.0,0.4500000000001049,0.44999999999989543
547.0,0.4500000000000384,0.44999999999996193
548.0,0.4500000000000088,0.4499999999999917
549.0,0.4500000000001049,0.44999999999989543
550.0,0.45000000000003854,0.4499999999999618
551.0,0.4500000000000981,0.44999999999990226
552.0,0.450000000000037,0.4499999999999634
553.0,0.4500000000000084,0.44999999999999196
554.0,0.4500000000000019,0.44999999999999835
555.0,0.45000000000010637,0.4499999999998941
556.0,0.4500000000000389,0.44999999999996154
557.0,0.45000000000009815,0.4499999999999023
558.0,0.4500000000000369,0.44999999999996354
559.0,0.4500000000000084,0.44999999999999196
560.0,0.450000000000002,0.44999999999999846
561.0,0.4500000000001063,0.44999999999989404
562.0,0.4500000000000389,0.44999999999996154
563.0,0.4500000000000981,0.44999999999990226
564.0,0.450000000000037,0.4499999999999634
565.0,0.45000000000000834,0.4499999999999919
566.0,0.450000000000105,0.4499999999998954
567.0,0.45000000000003854,0.4499999999999618
568.0,0.4500000000000087,0.4499999999999915
569.0,0.4500000000001049,0.44999999999989543
570.0,0.4500000000000384,0.44999999999996193
571.0,0.4500000000000088,0.4499999999999917
572.0,0.450000000000105,0.4499999999998955
573.0,0.45000000000003854,0.4499999999999618
574.0,0.45000000000009815,0.4499999999999023
575.0,0.4500000000000369,0.44999999999996354
576.0,0.4500000000000085,0.44999999999999196
577.0,0.45000000000000195,0.4499999999999984
578.0,0.4500000000001064,0.44999999999989404
579.0,0.4500000000000389,0.44999999999996154
580.0,0.4500000000000981,0.44999999999990226
581.0,0.450000000000037,0.4499999999999634
582.0,0.45000000000000834,0.4499999999999919
583.0,0.45000000000000195,0.4499999999999984
584.0,0.45000000000010637,0.449999999999894
