time,PV1__u_mmHg,PV1__v_mm3_s,PV2__u_mmHg,PV2__v_mm3_s,PV3__u_mmHg,PV3__v_mm3_s,PV4__u_mmHg,PV4__v_mm3_s,PV5__u_mmHg,PV5__v_mm3_s,PV6__u_mmHg,PV6__v_mm3_s,PV7__R_constriction,V10__u_mmHg,V10__v_mm3_s,V11__u_mmHg,V11__v_mm3_s,V12__u_mmHg,V12__v_mm3_s,V13__u_mmHg,V13__v_mm3_s,V14__u_mmHg,V14__v_mm3_s,V1__u_mmHg,V1__v_mm3_s,V2__u_mmHg,V2__v_mm3_s,V3__u_mmHg,V3__v_mm3_s,V4__u_mmHg,V4__v_mm3_s,V5__u_mmHg,V5__v_mm3_s,V6__u_mmHg,V6__v_mm3_s,V7__u_mmHg,V8__u_mmHg,V8__v_mm3_s,V9__u_mmHg,V9__v_mm3_s,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,VV_junc1__u_d_mmHg,VV_junc1__u_mmHg,VV_junc2__H_VV_out_alpha,VV_junc2__H_VV_out_beta,VV_junc3__H_VV_out_alpha,VV_junc3__H_VV_out_beta,VV_junc4__H_VV_out_alpha,VV_junc4__H_VV_out_beta,VV_junc5__H_VV_out_alpha,VV_junc5__H_VV_out_beta,VV_junc6__H_VV_out_alpha,VV_junc6__H_VV_out_beta,VV_junc7__H_VV_out_alpha,VV_junc7__H_VV_out_beta,inlet__H_down,inlet__H_link_L,inlet__H_link_R,inlet__RBC_volume,inlet__u_mmHg
538.0,49.6485855740852,6.80357682522774e-06,49.64858557408501,6.803576825226226e-06,49.43767206165034,3.401788412438155e-06,49.43767206164999,3.4017884127732438e-06,49.43767206164413,3.4017884125814937e-06,49.437672061643916,3.4017884126472404e-06,0.0,49.309497330046625,1.700894206447484e-06,49.30949733004521,1.700894206288773e-06,49.30949733004525,1.7008942062977525e-06,49.30949733004572,1.7008942063142613e-06,49.30949733004572,1.7008942063147575e-06,49.64550715311956,6.803576825217561e-06,49.64550715311917,6.8035768252155585e-06,49.43535476222725,3.401788412438374e-06,49.43535476222654,3.4017884127791925e-06,49.43535476222089,3.401788412586023e-06,49.43535476222049,3.401788412628816e-06,49.30949733004156,49.30949733004157,1.7008942062332183e-06,49.30949733004637,1.700894206294206e-06,0.4500000000047831,0.45000000000474155,49.65166399505085,49.75372632272694,0.44999999999277474,0.44999999997261486,0.44999999999551493,0.44999999999155954,0.45000000003443597,0.4500000000304354,0.4500000000026599,0.4499999999878817,0.4500000000006322,0.44999999999969675,0.4499999999986567,0.44999999999793117,0.45000000001048746,0.45,0.0,1.526963807074381e-14,49.876863161363474
539.0,49.64858557408776,6.803576825238826e-06,49.648585574087704,6.803576825206085e-06,49.43767206165014,3.4017884125100283e-06,49.43767206164958,3.401788412707208e-06,49.43767206164402,3.4017884126067213e-06,49.43767206164385,3.4017884126247186e-06,0.0,49.309497330047655,1.7008942064705813e-06,49.309497330045616,1.7008942062947578e-06,49.309497330045616,1.7008942063047676e-06,49.309497330045566,1.7008942063008255e-06,49.309497330045566,1.7008942063031375e-06,49.645507153121784,6.803576825222777e-06,49.645507153121656,6.803576825206469e-06,49.435354762227334,3.4017884125094108e-06,49.435354762226204,3.40178841271127e-06,49.43535476222091,3.4017884125997147e-06,49.43535476222058,3.4017884126064625e-06,49.309497330043754,49.30949733004369,1.7008942062670462e-06,49.30949733004794,1.7008942063283153e-06,0.45000000002013063,0.4500000000192338,49.65166399505375,49.753726322729804,0.4499999999632394,0.4499999999513766,0.4499999999753464,0.4499999999742636,0.4500000000874509,0.45000000008318175,0.44999999998739093,0.4499999999567913,0.4499999999903908,0.4499999999891678,0.449999999968901,0.4499999999672953,0.45000000000724266,0.45,0.0,1.526963807062471e-14,49.87686316136491
540.0,49.648585574089516,6.8035768252759604e-06,49.64858557408933,6.803576825196181e-06,49.437672061649224,3.4017884126010377e-06,49.437672061648236,3.4017884126546774e-06,49.43767206164366,3.4017884126202027e-06,49.43767206164331,3.4017884125714466e-06,0.0,49.309497330046106,1.700894206423617e-06,49.30949733004588,1.7008942063023059e-06,49.30949733004589,1.7008942063142893e-06,49.30949733004476,1.7008942062760123e-06,49.309497330044806,1.7008942062857724e-06,49.645507153123646,6.803576825252364e-06,49.64550715312326,6.803576825184078e-06,49.435354762226595,3.4017884125904087e-06,49.43535476222462,3.4017884126555934e-06,49.435354762220584,3.4017884126162805e-06,49.43535476221989,3.4017884125668976e-06,49.3094973300464,49.30949733004633,1.7008942063049503e-06,49.309497330046305,1.7008942062842582e-06,0.45000000001307067,0.45000000001088497,49.651663995055415,49.7537263227315,0.44999999997238105,0.44999999996915385,0.4499999999953787,0.4499999999924454,0.45000000005823126,0.45000000005553087,0.44999999999511914,0.4499999999704783,0.4499999999887293,0.4499999999870722,0.4499999999833887,0.4499999999828903,0.45000000000455087,0.45,0.0,1.5269638070547064e-14,49.876863161365755
541.0,49.64858557409056,6.803576825309964e-06,49.64858557409012,6.803576825144877e-06,49.43767206164857,3.40178841275867e-06,49.43767206164694,3.40178841257252e-06,49.43767206164368,3.4017884126383398e-06,49.437672061643,3.401788412481353e-06,0.0,49.30949733004332,1.7008942063425971e-06,49.30949733004621,1.700894206316206e-06,49.30949733004627,1.7008942063323135e-06,49.30949733004351,1.7008942062379034e-06,49.30949733004358,1.7008942062536633e-06,49.64550715312496,6.803576825303399e-06,49.64550715312406,6.803576825148411e-06,49.435354762226176,3.4017884127258417e-06,49.43535476222289,3.4017884125662043e-06,49.435354762220626,3.401788412648942e-06,49.43535476221924,3.401788412499972e-06,49.30949733004986,49.30949733004978,1.7008942063694375e-06,49.30949733004312,1.700894206193794e-06,0.4500000000005601,0.4499999999960373,49.651663995056175,49.75372632273237,0.4499999999991634,0.44999999998796425,0.45000000003180585,0.45000000002236107,0.4500000000035617,0.4500000000019018,0.45000000001638907,0.4500000000014239,0.4499999999877464,0.44999999998525997,0.45000000001527146,0.45000000001281076,0.4500000000026117,0.45,0.0,1.5269638070499552e-14,49.87686316136619
542.0,49.64858557409098,6.803576825387039e-06,49.64858557409027,6.803576825106083e-06,49.43767206164924,3.4017884129703195e-06,49.43767206164668,3.4017884123775455e-06,49.43767206164471,3.401788412697548e-06,49.4376720616436,3.401788412378415e-06,0.0,49.30949733004059,1.7008942062619668e-06,49.30949733004684,1.7008942063416351e-06,49.309497330046945,1.7008942063654215e-06,49.309497330042035,1.7008942061847788e-06,49.309497330042014,1.700894206198585e-06,49.64550715312557,6.803576825372344e-06,49.64550715312414,6.8035768251015835e-06,49.43535476222723,3.401788412960911e-06,49.43535476222208,3.4017884123945125e-06,49.43535476222169,3.4017884127068516e-06,49.43535476221946,3.4017884123948246e-06,49.30949733005445,49.30949733005437,1.7008942064830168e-06,49.30949733004011,1.700894206089854e-06,0.44999999999914303,0.44999999999144596,49.65166399505639,49.75372632273272,0.4500000000140196,0.44999999997835644,0.45000000006014446,0.45000000004094415,0.4499999999785188,0.4499999999784211,0.450000000040465,0.4500000000233894,0.4499999999786869,0.44999999997643514,0.4500000000324303,0.4500000000304217,0.45000000000162466,0.45,0.0,1.526963807047086e-14,49.87686316136636
543.0,49.64858557409117,6.803576825397968e-06,49.64858557409101,6.8035768250847826e-06,49.43767206164857,3.4017884131012103e-06,49.4376720616477,3.4017884122726015e-06,49.43767206164556,3.4017884127291434e-06,49.437672061645216,3.4017884123225964e-06,0.0,49.309497330040415,1.7008942062297762e-06,49.30949733004693,1.7008942063565336e-06,49.30949733004695,1.7008942063826948e-06,49.309497330042134,1.7008942061628093e-06,49.309497330042085,1.7008942061706554e-06,49.64550715312542,6.803576825388267e-06,49.645507153125095,6.803576825074479e-06,49.43535476222578,3.4017884130965994e-06,49.435354762224,3.4017884122894003e-06,49.4353547622223,3.401788412739384e-06,49.435354762221614,3.4017884123356377e-06,49.30949733005579,49.30949733005574,1.7008942065479634e-06,49.30949733004044,1.7008942060590823e-06,0.4500000000053326,0.44999999999675266,49.651663995056914,49.75372632273322,0.4500000000054298,0.4499999999555782,0.4500000000246997,0.4500000000002405,0.4499999999355421,0.4499999999348912,0.4500000000639212,0.450000000041694,0.44999999997765266,0.4499999999745971,0.45000000003525653,0.4500000000344152,0.4500000000011912,0.45,0.0,1.52696380704514e-14,49.87686316136661
544.0,49.64858557409147,6.8035768253526694e-06,49.64858557409176,6.803576825064464e-06,49.437672061646694,3.4017884131027917e-06,49.43767206164733,3.4017884122871506e-06,49.43767206164596,3.401788412737525e-06,49.43767206164631,3.4017884123396578e-06,0.0,49.309497330041495,1.7008942062102448e-06,49.30949733004649,1.700894206356955e-06,49.309497330046426,1.7008942063799513e-06,49.309497330043286,1.7008942061698475e-06,49.30949733004325,1.7008942061727706e-06,49.64550715312548,6.8035768253705655e-06,49.645507153126076,6.803576825077442e-06,49.43535476222317,3.4017884130953018e-06,49.43535476222443,3.4017884122808474e-06,49.435354762222495,3.4017884127370577e-06,49.435354762223206,3.401788412340727e-06,49.30949733005395,49.30949733005393,1.7008942065458213e-06,49.30949733004202,1.7008942060726035e-06,0.450000000004971,0.4499999999970754,49.65166399505745,49.7537263227337,0.45000000000462764,0.44999999995555634,0.45000000000210494,0.4499999999781681,0.4499999999035567,0.449999999902657,0.4500000000700539,0.450000000050778,0.44999999998367235,0.44999999998004514,0.4500000000392369,0.45000000003923335,0.45000000000076046,0.45,0.0,1.526963807043811e-14,49.876863161366856
545.0,49.64858557409171,6.803576825334865e-06,49.64858557409202,6.803576825084866e-06,49.43767206164536,3.4017884130935908e-06,49.43767206164584,3.4017884122815987e-06,49.43767206164684,3.4017884127297283e-06,49.43767206164715,3.401788412360583e-06,0.0,49.309497330042404,1.7008942061760688e-06,49.30949733004621,1.700894206359579e-06,49.30949733004615,1.7008942063788669e-06,49.30949733004442,1.7008942061800108e-06,49.30949733004432,1.7008942061741235e-06,49.64550715312572,6.8035768253521875e-06,49.64550715312634,6.803576825096452e-06,49.43535476222189,3.4017884130872516e-06,49.435354762222865,3.4017884122649816e-06,49.43535476222338,3.4017884127385747e-06,49.43535476222401,3.4017884123579994e-06,49.30949733005187,49.30949733005183,1.7008942065401892e-06,49.30949733004317,1.700894206089888e-06,0.450000000004043,0.44999999999719403,49.651663995057696,49.753726322733925,0.4500000000099412,0.4499999999610895,0.45000000001144086,0.44999999998923185,0.449999999914078,0.44999999991348727,0.45000000005891105,0.45000000004697016,0.4499999999867742,0.44999999998414264,0.4500000000376323,0.45000000003691687,0.45000000000047935,0.45,0.0,1.5269638070429445e-14,49.87686316136696
546.0,49.648585574091825,6.803576825331418e-06,49.648585574092,6.803576825142533e-06,49.43767206164429,3.401788413078336e-06,49.437672061643966,3.401788412222521e-06,49.437672061648215,3.4017884127387424e-06,49.437672061648215,3.4017884123756435e-06,0.0,49.30949733004286,1.7008942061195312e-06,49.309497330046284,1.7008942063674527e-06,49.309497330046234,1.7008942063821104e-06,49.309497330045545,1.7008942061957644e-06,49.30949733004538,1.7008942061766666e-06,49.645507153125905,6.803576825322697e-06,49.645507153126275,6.803576825133771e-06,49.4353547622212,3.40178841307967e-06,49.43535476222054,3.4017884122337227e-06,49.435354762224826,3.4017884127494692e-06,49.435354762224826,3.40178841238393e-06,49.30949733004986,49.30949733004977,1.7008942065334557e-06,49.309497330043826,1.7008942061133866e-06,0.45000000000275203,0.4499999999975776,49.65166399505774,49.753726322733996,0.4500000000187981,0.4499999999673096,0.4500000000298184,0.4500000000079733,0.44999999993468054,0.449999999933108,0.45000000004178514,0.4500000000417574,0.44999999999153045,0.44999999998924783,0.4500000000329327,0.45000000002973783,0.45000000000030715,0.45,0.0,1.5269638070424143e-14,49.876863161367
547.0,49.648585574091726,6.803576825283949e-06,49.648585574091975,6.803576825188779e-06,49.43767206164326,3.401788413071773e-06,49.43767206164242,3.401788412146593e-06,49.4376720616501,3.4017884127775408e-06,49.43767206164995,3.401788412405149e-06,0.0,49.30949733004253,1.700894206032527e-06,49.30949733004687,1.700894206383821e-06,49.309497330046824,1.7008942063925443e-06,49.30949733004669,1.7008942062199643e-06,49.30949733004645,1.7008942061813782e-06,49.64550715312579,6.80357682527165e-06,49.645507153126275,6.803576825191356e-06,49.43535476222039,3.401788413079051e-06,49.435354762218694,3.401788412179706e-06,49.43535476222673,3.4017884127767153e-06,49.43535476222642,3.401788412414031e-06,49.30949733004821,49.30949733004807,1.7008942065282026e-06,49.30949733004392,1.7008942061457443e-06,0.45000000000130197,0.4499999999986946,49.651663995057675,49.75372632273397,0.450000000026818,0.4499999999711563,0.45000000003284363,0.4500000000104393,0.44999999993165885,0.44999999992852513,0.45000000004588353,0.45000000003071133,0.450000000000379,0.44999999999985285,0.4500000000271746,0.45000000002042245,0.45000000000020335,0.45,0.0,1.526963807042094e-14,49.876863161366984
548.0,49.64858557409205,6.803576825225196e-06,49.64858557409223,6.803576825220367e-06,49.43767206164264,3.401788413047202e-06,49.43767206164285,3.4017884121794643e-06,49.437672061650325,3.4017884127770368e-06,49.4376720616505,3.4017884124625546e-06,0.0,49.30949733004356,1.7008942060022697e-06,49.309497330047115,1.7008942063857331e-06,49.30949733004707,1.7008942063897381e-06,49.309497330047634,1.7008942062441291e-06,49.30949733004757,1.7008942061977185e-06,49.64550715312614,6.8035768252295625e-06,49.645507153126495,6.803576825218464e-06,49.43535476221922,3.4017884130464885e-06,49.43535476221964,3.4017884121829296e-06,49.435354762226915,3.4017884127752106e-06,49.43535476222731,3.4017884124432084e-06,49.30949733004633,49.30949733004628,1.7008942065090783e-06,49.309497330044124,1.700894206181093e-06,0.4500000000002526,0.45000000000012025,49.65166399505796,49.75372632273419,0.45000000002715285,0.44999999997494705,0.4500000000002634,0.4499999999813431,0.4499999999309848,0.44999999992605594,0.4500000000563916,0.4500000000334714,0.44999999999040263,0.44999999998992024,0.45000000002968304,0.4500000000226729,0.450000000000133,0.45,0.0,1.526963807041877e-14,49.87686316136709
