time,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,inlet__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__u_mmHg,PV2__u_mmHg,V1__u_mmHg,V2__u_mmHg,PV1__v_mm3_s,PV2__v_mm3_s,V1__v_mm3_s,V2__v_mm3_s,PV1__R_constriction,PV2__R_constriction,inlet__H_link_R,inlet__H_link_L,inlet__H_down,inlet__q_C
786.0,0.45000142959508016,0.6299568712288364,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023352,49.867785163552185,49.75000036861605,49.86548445525338,1.6010037526927948e-11,5.074858369257298e-06,1.6010037450824827e-11,5.0748583692583226e-06,1e+21,0.0,0.0,0.45,0.45000000994601214,3.3336442833451933e-18
787.0,0.45000142959502104,0.6299568712287535,49.954075332601576,49.908150665203145,49.87008587185099,49.810043120233544,49.867785163552185,49.75000036861609,49.86548445525338,1.601003752692249e-11,5.074858369257298e-06,1.6010037624040486e-11,5.0748583692583226e-06,1e+21,0.0,0.0,0.45,0.4500000099460113,3.3336442833451937e-18
788.0,0.4500014295949747,0.6299568712286887,49.95407533260157,49.908150665203145,49.870085871850996,49.81004312023356,49.867785163552185,49.75000036861612,49.86548445525338,1.601003752692067e-11,5.074858369272345e-06,1.6010037204677952e-11,5.074858369258305e-06,1e+21,0.0,0.0,0.45,0.45000000994601075,3.3336442833451933e-18
789.0,0.4500014295949941,0.6299568712287159,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023358,49.867785163552185,49.75000036861616,49.86548445525338,1.6010037526913394e-11,5.074858369257298e-06,1.6010037377895592e-11,5.074858369258298e-06,1e+21,0.0,0.0,0.45,0.450000009946011,3.3336442833451933e-18
790.0,0.45000142959504463,0.6299568712287866,49.95407533260157,49.90815066520315,49.87008587185099,49.8100431202336,49.867785163552185,49.7500003686162,49.86548445525339,1.6010037526907937e-11,5.074858369257298e-06,1.6010037551114176e-11,5.074858369258602e-06,1e+21,0.0,0.0,0.45,0.4500000099460117,3.3336442833451933e-18
791.0,0.4500014295950914,0.629956871228852,49.95407533260157,49.90815066520315,49.87008587185099,49.810043120233615,49.867785163552185,49.75000036861624,49.86548445525338,1.60100375269043e-11,5.074858369257298e-06,1.6010037724333725e-11,5.0748583692583175e-06,1e+21,0.0,0.0,0.45,0.4500000099460123,3.3336442833451933e-18
792.0,0.45000142959505823,0.6299568712288056,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023364,49.867785163552185,49.75000036861628,49.86548445525338,1.601003752689884e-11,5.074858369257298e-06,1.6010037601264776e-11,5.074858369258333e-06,1e+21,0.0,0.0,0.45,0.4500000099460118,3.3336442833451933e-18
793.0,0.4500014295949519,0.6299568712286567,49.954075332601576,49.908150665203145,49.870085871850996,49.81004312023365,49.867785163552185,49.75000036861631,49.86548445525338,1.6010037526895203e-11,5.074858369272345e-06,1.6010037478196844e-11,5.074858369258312e-06,1e+21,0.0,0.0,0.45,0.4500000099460104,3.3336442833451937e-18
794.0,0.4500014295949433,0.6299568712286447,49.954075332601576,49.908150665203145,49.870085871850996,49.81004312023367,49.86778516355219,49.75000036861634,49.86548445525338,1.601003752688975e-11,5.074858369257298e-06,1.6010037355129937e-11,5.074858369258296e-06,1e+21,0.0,0.0,0.45,0.4500000099460103,3.3336442833451937e-18
795.0,0.4500014295949863,0.6299568712287049,49.95407533260157,49.908150665203145,49.87008587185099,49.810043120233686,49.86778516355219,49.750000368616384,49.86548445525338,1.6010037526884288e-11,5.07485836924225e-06,1.601003752835341e-11,5.0748583692582845e-06,1e+21,0.0,0.0,0.45,0.4500000099460109,3.3336442833451933e-18
796.0,0.4500014295950346,0.6299568712287726,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023371,49.867785163552185,49.75000036861642,49.86548445525338,1.6010037526878834e-11,5.074858369257298e-06,1.6010037405288512e-11,5.07485836925828e-06,1e+21,0.0,0.0,0.45,0.4500000099460115,3.3336442833451933e-18
797.0,0.45000142959502437,0.6299568712287582,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023373,49.86778516355219,49.750000368616455,49.86548445525338,1.6010037526873376e-11,5.07485836924225e-06,1.601003728222462e-11,5.074858369258285e-06,1e+21,0.0,0.0,0.45,0.45000000994601136,3.3336442833451933e-18
798.0,0.45000142959497,0.6299568712286822,49.954075332601576,49.908150665203145,49.870085871850996,49.81004312023374,49.867785163552185,49.7500003686165,49.86548445525338,1.6010037526871557e-11,5.074858369272345e-06,1.6010037455451035e-11,5.074858369258278e-06,1e+21,0.0,0.0,0.45,0.45000000994601064,3.3336442833451937e-18
799.0,0.45000142959496403,0.6299568712286738,49.95407533260157,49.908150665203145,49.870085871850996,49.810043120233765,49.867785163552185,49.75000036861653,49.86548445525338,1.60100375268661e-11,5.074858369272345e-06,1.60100376286784e-11,5.074858369258269e-06,1e+21,0.0,0.0,0.45,0.4500000099460106,3.3336442833451933e-18
800.0,0.4500014295949879,0.6299568712287072,49.95407533260157,49.908150665203145,49.870085871850996,49.810043120233786,49.86778516355219,49.75000036861657,49.86548445525338,1.6010037526860642e-11,5.074858369257298e-06,1.6010037505617513e-11,5.074858369258263e-06,1e+21,0.0,0.0,0.45,0.4500000099460109,3.3336442833451933e-18
801.0,0.4500014295950234,0.6299568712287569,49.95407533260157,49.90815066520315,49.87008587185099,49.8100431202338,49.86778516355219,49.750000368616604,49.86548445525338,1.6010037526855185e-11,5.07485836924225e-06,1.601003738255764e-11,5.074858369258266e-06,1e+21,0.0,0.0,0.45,0.4500000099460114,3.3336442833451933e-18
802.0,0.4500014295950244,0.6299568712287583,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023382,49.867785163552185,49.75000036861664,49.86548445525338,1.601003752684973e-11,5.074858369257298e-06,1.6010037259498782e-11,5.074858369258273e-06,1e+21,0.0,0.0,0.45,0.45000000994601136,3.3336442833451933e-18
