time,inlet__H_link_R,inlet__H_link_L,inlet__H_down,inlet__q_C,VV_junc1__RBC_volume,VV_junc1__q_C,VV_junc1__q_C_d,PV1__H_link_R,PV1__H_link_L,PV1__H_down,PV1__q_C,PV2__H_link_R,PV2__H_link_L,PV2__H_down,PV2__q_C,V1__H_link_R,V1__H_link_L,V1__H_down,V1__RBC_volume,V1__q_C,V2__H_link_R,V2__H_link_L,V2__H_down,V2__RBC_volume,V2__q_C,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,inlet__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__u_mmHg,PV2__u_mmHg,V1__u_mmHg,V2__u_mmHg
599.0,0.0,0.45,0.4500000099460113,3.3336442833451933e-18,5.089396271694324e-17,2.774623574000634e-18,2.7724642149522437e-18,0.49566902271679797,-3.456239642147191e-08,0.4956690227167977,1.6619182754424574e-19,0.4506689407781572,0.4500014295950178,0.45066894077815717,1.6638842193909975e-19,0.45,0.4956690227167977,0.4501099491022202,1.0793501905755439e-14,2.7664566654242985e-18,0.45,0.45066894077815717,0.4506689407781321,1.0708375100614164e-14,2.7730098119194312e-18,0.45000142959501777,0.629956871228749,49.95407533260157,49.908150665203145,49.87008587185099,49.81004312023006,49.867785163552185,49.75000036860914,49.86548445525337
600.0,0.0,0.45,0.45000000994601136,3.3336442833451933e-18,5.0893962716943905e-17,2.774623574000634e-18,2.7724642149522433e-18,0.49566902271679836,-3.456239642147809e-08,0.4956690227167977,1.6619182754424581e-19,0.4506689407781566,0.45000142959502365,0.45066894077815656,1.6638842193909975e-19,0.45,0.4956690227167977,0.4501099828693332,1.0793502635157646e-14,2.766456665424301e-18,0.45,0.4506689407781566,0.4506689407781374,1.0708375100614276e-14,2.7730098119194312e-18,0.45000142959502365,0.6299568712287573,49.95407533260157,49.908150665203145,49.87008587185098,49.810043120230084,49.867785163552185,49.75000036860918,49.86548445525337
601.0,0.0,0.45,0.4500000099460114,3.3336442833451933e-18,5.08939627169444e-17,2.7746235740006344e-18,2.7724642149522433e-18,0.4956690227167984,-3.4562396421486515e-08,0.4956690227167977,1.6619182754424589e-19,0.4506689407781561,0.450001429595028,0.4506689407781561,1.6638842193909975e-19,0.45,0.4956690227167977,0.4501100166364212,1.0793503364559314e-14,2.766456665424303e-18,0.45,0.45066894077815617,0.4506689407781414,1.0708375100614362e-14,2.7730098119194312e-18,0.45000142959502804,0.6299568712287634,49.95407533260157,49.90815066520315,49.87008587185098,49.810043120230105,49.867785163552185,49.75000036860922,49.86548445525337
602.0,0.0,0.45,0.45000000994601147,3.3336442833451933e-18,5.089396271694498e-17,2.7746235740006344e-18,2.7724642149522437e-18,0.49566902271679786,-3.4562396421499194e-08,0.4956690227167977,1.6619182754424593e-19,0.4506689407781556,0.45000142959503314,0.4506689407781556,1.6638842193909975e-19,0.45,0.4956690227167977,0.45011005040348423,1.0793504093960439e-14,2.7664566654243047e-18,0.45,0.4506689407781556,0.4506689407781443,1.0708375100614425e-14,2.7730098119194316e-18,0.45000142959503314,0.6299568712287705,49.95407533260157,49.90815066520315,49.87008587185099,49.81004312023012,49.867785163552185,49.75000036860925,49.86548445525338
603.0,0.0,0.45,0.45000000994601136,3.3336442833451937e-18,5.0893962716944244e-17,2.7746235740006344e-18,2.7724642149522437e-18,0.4956690227167973,-3.456239642150708e-08,0.4956690227167977,1.66191827544246e-19,0.4506689407781563,0.4500014295950266,0.4506689407781563,1.6638842193909975e-19,0.45,0.4956690227167977,0.45011008417052223,1.0793504823361026e-14,2.766456665424307e-18,0.45,0.45066894077815634,0.45066894077814657,1.0708375100614477e-14,2.7730098119194316e-18,0.45000142959502665,0.6299568712287614,49.954075332601576,49.90815066520315,49.87008587185099,49.81004312023014,49.867785163552185,49.75000036860929,49.86548445525338
604.0,0.0,0.45,0.4500000099460111,3.3336442833451933e-18,5.089396271694164e-17,2.774623574000634e-18,2.7724642149522437e-18,0.4956690227167973,-3.45623964214995e-08,0.4956690227167977,1.6619182754424608e-19,0.4506689407781586,0.45000142959500355,0.45066894077815856,1.6638842193909975e-19,0.45,0.4956690227167977,0.4501101179375352,1.0793505552761072e-14,2.7664566654243093e-18,0.45,0.4506689407781586,0.4506689407781489,1.070837510061453e-14,2.7730098119194316e-18,0.4500014295950036,0.6299568712287292,49.95407533260157,49.908150665203145,49.87008587185099,49.81004312023016,49.867785163552185,49.750000368609335,49.86548445525338
605.0,0.0,0.45,0.4500000099460108,3.3336442833451933e-18,5.089396271693892e-17,2.774623574000634e-18,2.7724642149522437e-18,0.49566902271679764,-3.4562396421482896e-08,0.4956690227167977,1.6619182754424615e-19,0.450668940778161,0.4500014295949796,0.450668940778161,1.6638842193909975e-19,0.45,0.4956690227167977,0.4501101517045231,1.0793506282160577e-14,2.7664566654243113e-18,0.45,0.450668940778161,0.4506689407781511,1.0708375100614583e-14,2.7730098119194316e-18,0.4500014295949796,0.6299568712286955,49.95407533260157,49.908150665203145,49.87008587185099,49.81004312023018,49.867785163552185,49.75000036860936,49.86548445525338
606.0,0.0,0.45,0.4500000099460107,3.3336442833451933e-18,5.0893962716937853e-17,2.774623574000634e-18,2.7724642149522437e-18,0.495669022716798,-3.4562396421463725e-08,0.4956690227167977,1.661918275442462e-19,0.45066894077816194,0.45000142959497014,0.45066894077816194,1.6638842193909975e-19,0.45,0.4956690227167977,0.45011018547148596,1.079350701155954e-14,2.766456665424313e-18,0.45,0.4506689407781619,0.45066894077815317,1.0708375100614628e-14,2.7730098119194316e-18,0.45000142959497014,0.6299568712286824,49.95407533260157,49.908150665203145,49.87008587185099,49.8100431202302,49.867785163552185,49.7500003686094,49.86548445525338
607.0,0.0,0.45,0.45000000994601086,3.3336442833451933e-18,5.0893962716939314e-17,2.7746235740006344e-18,2.7724642149522437e-18,0.4956690227167979,-3.456239642146099e-08,0.4956690227167977,1.6619182754424627e-19,0.4506689407781606,0.450001429594983,0.45066894077816066,1.6638842193909975e-19,0.45,0.4956690227167977,0.4501102192384238,1.0793507740957964e-14,2.766456665424315e-18,0.45,0.4506689407781606,0.45066894077815484,1.0708375100614663e-14,2.7730098119194316e-18,0.45000142959498307,0.6299568712287005,49.95407533260157,49.90815066520315,49.87008587185099,49.810043120230226,49.867785163552185,49.750000368609435,49.86548445525338
608.0,0.0,0.45,0.45000000994601086,3.3336442833451937e-18,5.089396271693952e-17,2.774623574000634e-18,2.772464214952244e-18,0.49566902271679736,-3.456239642148095e-08,0.4956690227167977,1.661918275442463e-19,0.45066894077816044,0.45000142959498485,0.45066894077816044,1.6638842193909975e-19,0.45,0.4956690227167977,0.4501102530053367,1.0793508470355847e-14,2.7664566654243174e-18,0.45,0.45066894077816044,0.4506689407781561,1.0708375100614688e-14,2.7730098119194316e-18,0.45000142959498485,0.6299568712287029,49.954075332601576,49.908150665203145,49.870085871850996,49.810043120230226,49.867785163552185,49.75000036860948,49.86548445525338
