time,inlet__H_link_R,inlet__H_link_L,inlet__H_down,inlet__RBC_volume,inlet__q_C,VV_junc1__RBC_volume,VV_junc1__q_C,VV_junc1__q_C_d,PV1__H_link_R,PV1__H_link_L,PV1__H_down,PV1__RBC_volume,PV1__q_C,PV2__H_link_R,PV2__H_link_L,PV2__H_down,PV2__RBC_volume,PV2__q_C,V1__H_link_R,V1__H_link_L,V1__H_down,V1__RBC_volume,V1__q_C,V2__H_link_R,V2__H_link_L,V2__H_down,V2__RBC_volume,V2__q_C,inlet__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__u_mmHg,PV2__u_mmHg,V1__u_mmHg,V2__u_mmHg,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta
251.0,-9.644771972086975e-192,0.45,0.4499999999967388,1.5269639990193486e-14,3.332653000912892e-18,5.089380103346795e-17,2.772971917196355e-18,2.77012806780674e-18,0.45000000006375335,0.450000000094895,0.45000000006386787,7.634818278394073e-16,1.6625089745224226e-19,0.44999999993522644,0.4499999999107377,0.44999999993513645,7.634818276122913e-16,1.662508974522441e-19,0.45,0.4500000000638106,0.4500000000026797,1.069247934256373e-14,2.7707624892521917e-18,0.45,0.44999999993518147,0.4499999999959688,1.069247934214073e-14,2.7707624892522525e-18,49.93951777789792,49.87903555579583,49.82890468968487,49.82739263413203,49.82739263413257,49.8258805785792,49.825880578580275,0.4500000000091206,0.44999999999641954
252.0,-1.6083459679381658e-191,0.45,0.44999999999620277,1.5269639990175122e-14,3.332653000912897e-18,5.0893801033883376e-17,2.7729719171963634e-18,2.7701280678067473e-18,0.4500000001147228,0.45000000015115055,0.4500000001148639,7.634818279267601e-16,1.6625089745224202e-19,0.4499999998921614,0.4499999998619073,0.44999999989204487,7.634818275382755e-16,1.6625089745224503e-19,0.45,0.45000000011479335,0.45000000000976964,1.0692479342827124e-14,2.770762489252177e-18,0.45,0.44999999989210315,0.4499999999884853,1.0692479341885936e-14,2.770762489252277e-18,49.93951777789799,49.87903555579597,49.828904689685,49.82739263413196,49.82739263413285,49.82588057857894,49.8258805785807,0.4500000000201824,0.4499999999927042
253.0,-1.8685446096162215e-192,0.45,0.44999999999623036,1.5269639990180016e-14,3.3326530009128964e-18,5.089380103287737e-17,2.772971917196362e-18,2.7701280678067465e-18,0.45000000005276597,0.4500000000132631,0.4500000000526206,7.63481827809268e-16,1.6625089745224327e-19,0.44999999994688983,0.4499999999818848,0.4499999999470185,7.634818276417608e-16,1.6625089745224392e-19,0.45,0.45000000005269336,0.4500000000252813,1.06924793430281e-14,2.770762489252218e-18,0.45,0.44999999994695417,0.4499999999742546,1.069247934169699e-14,2.7707624892522402e-18,49.93951777789798,49.879035555795944,49.82890468968498,49.82739263413233,49.82739263413252,49.82588057857966,49.825880578580055,0.45000000001526735,0.44999999997982904
254.0,4.948216684623275e-192,0.45,0.4499999999968679,1.526963999020162e-14,3.332653000912891e-18,5.089380103245321e-17,2.7729719171963523e-18,2.7701280678067392e-18,0.4499999999921533,0.4499999999357216,0.449999999991936,7.634818277036537e-16,1.662508974522438e-19,0.4500000000010797,0.45000000005183655,0.45000000000127444,7.634818277362845e-16,1.662508974522426e-19,0.45,0.4499999999920447,0.45000000003168256,1.0692479343035221e-14,2.7707624892522437e-18,0.45,0.450000000001177,0.44999999996811546,1.0692479341681634e-14,2.7707624892522032e-18,49.9395177778979,49.87903555579578,49.82890468968486,49.82739263413249,49.82739263413213,49.82588057858011,49.82588057857941,0.4500000000099164,0.4499999999776792
255.0,5.859773459484245e-193,0.45,0.4499999999973192,1.5269639990214297e-14,3.3326530009128875e-18,5.08938010328071e-17,2.772971917196347e-18,2.7701280678067346e-18,0.44999999998545165,0.44999999996938117,0.4499999999853835,7.63481827698854e-16,1.662508974522435e-19,0.45000000000877693,0.45000000002445356,0.45000000000884244,7.634818277436339e-16,1.6625089745224228e-19,0.45,0.44999999998541756,0.4500000000290331,1.0692479342963501e-14,2.770762489252239e-18,0.45,0.4500000000088097,0.44999999997009593,1.069247934174106e-14,2.7707624892521975e-18,49.93951777789785,49.87903555579569,49.82890468968478,49.8273926341324,49.82739263413204,49.82588057858003,49.8258805785793,0.4500000000113269,0.44999999998252693
256.0,-7.89716683615131e-192,0.45,0.4499999999973922,1.5269639990214136e-14,3.3326530009128875e-18,5.0893801033420296e-17,2.7729719171963473e-18,2.7701280678067346e-18,0.45000000000222995,0.4500000000280158,0.45000000000232365,7.634818277341508e-16,1.6625089745224312e-19,0.4499999999973194,0.4499999999767106,0.44999999999724505,7.634818277182745e-16,1.662508974522426e-19,0.45,0.45000000000227675,0.45000000002263496,1.0692479342861615e-14,2.770762489252226e-18,0.45,0.44999999999728224,0.44999999997568235,1.0692479341836926e-14,2.7707624892522075e-18,49.93951777789785,49.879035555795696,49.82890468968478,49.82739263413229,49.82739263413213,49.8258805785798,49.82588057857948,0.4500000000148146,0.4499999999898829
257.0,-1.3443120072186455e-191,0.45,0.4499999999968949,1.526963999019722e-14,3.332653000912892e-18,5.089380103377404e-17,2.772971917196355e-18,2.7701280678067415e-18,0.4500000000120571,0.45000000002539947,0.45000000001211693,7.63481827748826e-16,1.6625089745224334e-19,0.44999999999404483,0.44999999998558216,0.44999999999400486,7.63481827714672e-16,1.662508974522431e-19,0.45,0.45000000001208706,0.4500000000177902,1.069247934277824e-14,2.770762489252226e-18,0.45,0.4499999999940248,0.4499999999803609,1.0692479341930887e-14,2.7707624892522175e-18,49.93951777789792,49.87903555579583,49.8289046896849,49.82739263413235,49.82739263413228,49.8258805785798,49.82588057857965,0.45000000001569435,0.4499999999952587
258.0,-1.6313069954885393e-192,0.45,0.4499999999968913,1.5269639990200466e-14,3.3326530009128918e-18,5.089380103293217e-17,2.7729719171963546e-18,2.7701280678067415e-18,0.4499999999958202,0.44999999998686435,0.4499999999957864,7.634818277176222e-16,1.662508974522436e-19,0.45000000000413537,0.45000000000921053,0.4500000000041549,7.634818277340175e-16,1.6625089745224298e-19,0.45,0.4499999999958033,0.45000000001649887,1.0692479342715221e-14,2.770762489252235e-18,0.45,0.45000000000414514,0.4499999999828346,1.0692479342006143e-14,2.7707624892522133e-18,49.93951777789791,49.879035555795824,49.8289046896849,49.82739263413242,49.82739263413224,49.825880578579955,49.825880578579586,0.4500000000064985,0.449999999989567
259.0,4.283495330779777e-192,0.45,0.4499999999974142,1.5269639990218276e-14,3.3326530009128875e-18,5.089380103255883e-17,2.7729719171963473e-18,2.7701280678067357e-18,0.44999999997972845,0.44999999997294954,0.4499999999796943,7.6348182769065565e-16,1.6625089745224346e-19,0.4500000000146775,0.45000000001650536,0.45000000001469204,7.634818277513909e-16,1.6625089745224255e-19,0.45,0.44999999997971135,0.45000000001420765,1.0692479342630924e-14,2.7707624892522356e-18,0.45,0.4500000000146848,0.4499999999854279,1.0692479342084961e-14,2.770762489252204e-18,49.93951777789785,49.879035555795696,49.8289046896848,49.82739263413239,49.82739263413212,49.82588057857997,49.82588057857942,0.45000000000043616,0.4499999999890273
260.0,7.005318673589211e-193,0.45,0.44999999999779433,1.5269639990228982e-14,3.3326530009128845e-18,5.0893801032851614e-17,2.7729719171963426e-18,2.770128067806732e-18,0.4499999999612333,0.44999999995056494,0.4499999999611883,7.634818276586512e-16,1.6625089745224344e-19,0.45000000003387874,0.4500000000440236,0.450000000033921,7.634818277853153e-16,1.6625089745224206e-19,0.45,0.44999999996121076,0.4500000000102771,1.0692479342506022e-14,2.770762489252239e-18,0.45,0.4500000000338999,0.4499999999888482,1.0692479342200371e-14,2.7707624892521925e-18,49.939517777897805,49.87903555579561,49.82890468968473,49.82739263413238,49.827392634131975,49.82588057858003,49.825880578579216,0.44999999999982637,0.4499999999948146
