time,PV1__R_constriction,PV1__u_mmHg,PV1__v_mm3_s,PV2__R_constriction,PV2__u_mmHg,PV2__v_mm3_s,V1__u_mmHg,V1__v_mm3_s,V2__u_mmHg,V2__v_mm3_s,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,VV_junc1__u_d_mmHg,VV_junc1__u_mmHg,inlet__H_down,inlet__H_link_L,inlet__H_link_R,inlet__RBC_volume,inlet__u_mmHg
589.0,1e+21,49.80997556213343,1.599203165381098e-11,0.0,49.86765215803119,5.080135535149363e-06,49.750000341975024,1.5992031760006907e-11,49.86535353377055,5.080135535142032e-06,0.4500014165791428,0.63061416097846,49.869950782291845,49.90805515761755,0.450000000000096,0.45,0.0,1.5269640434913576e-14,49.95402757880878
590.0,1e+21,49.809975562133296,1.5992031653821102e-11,0.0,49.86765215803107,5.080135535149613e-06,49.75000034197487,1.599203172252677e-11,49.865353533770424,5.080135535146735e-06,0.45000141657912823,0.6306141609784396,49.869950782291724,49.90805515761746,0.45000000000008145,0.45,0.0,1.5269640434913124e-14,49.954027578808734
591.0,1e+21,49.80997556213317,1.5992031653838502e-11,0.0,49.86765215803098,5.080135535164903e-06,49.75000034197472,1.5992032004144658e-11,49.865353533770325,5.0801355351502845e-06,0.45000141657911574,0.6306141609784222,49.86995078229163,49.9080551576174,0.450000000000069,0.45,0.0,1.5269640434912743e-14,49.9540275788087
592.0,1e+21,49.809975562133054,1.5992031653855902e-11,0.0,49.86765215803091,5.080135535150006e-06,49.750000341974555,1.59920316478224e-11,49.86535353377025,5.080135535153348e-06,0.4500014165791052,0.6306141609784074,49.86995078229156,49.90805515761735,0.4500000000000585,0.45,0.0,1.5269640434912418e-14,49.95402757880868
593.0,1e+21,49.80997556213295,1.599203165387512e-11,0.0,49.86765215803085,5.0801355351501575e-06,49.7500003419744,1.5992031610598165e-11,49.86535353377019,5.080135535155676e-06,0.4500014165790962,0.6306141609783947,49.869950782291504,49.908055157617305,0.45000000000004964,0.45,0.0,1.5269640434912146e-14,49.95402757880865
594.0,1e+21,49.80997556213285,1.5992031653894337e-11,0.0,49.8676521580308,5.080135535150288e-06,49.750000341974236,1.599203157345924e-11,49.86535353377014,5.08013553515759e-06,0.45000141657908854,0.630614160978384,49.86995078229145,49.90805515761728,0.45000000000004203,0.45,0.0,1.5269640434911913e-14,49.954027578808635
595.0,1e+21,49.80997556213275,1.599203165391719e-11,0.0,49.86765215803076,5.080135535165479e-06,49.750000341974086,1.5992031855418905e-11,49.8653535337701,5.080135535159019e-06,0.4500014165790821,0.630614160978375,49.86995078229141,49.90805515761725,0.4500000000000356,0.45,0.0,1.5269640434911714e-14,49.95402757880861
596.0,1e+21,49.80997556213266,1.5992031653941864e-11,0.0,49.86765215803073,5.080135535165571e-06,49.75000034197393,1.5992031818450707e-11,49.86535353377007,5.080135535160399e-06,0.4500014165790767,0.6306141609783674,49.86995078229139,49.90805515761723,0.4500000000000302,0.45,0.0,1.5269640434911547e-14,49.95402757880861
597.0,1e+21,49.80997556213257,1.5992031653964725e-11,0.0,49.8676521580307,5.080135535180727e-06,49.75000034197377,1.599203146255421e-11,49.86535353377005,5.080135535161544e-06,0.45000141657907217,0.6306141609783611,49.86995078229137,49.90805515761721,0.45000000000002566,0.45,0.0,1.5269640434911405e-14,49.954027578808606
598.0,1e+21,49.80997556213248,1.5992031653991214e-11,0.0,49.86765215803069,5.080135535165717e-06,49.75000034197362,1.59920317447702e-11,49.86535353377003,5.080135535162263e-06,0.4500014165790683,0.6306141609783555,49.86995078229135,49.9080551576172,0.4500000000000218,0.45,0.0,1.5269640434911285e-14,49.9540275788086
599.0,1e+21,49.80997556213239,1.5992031654015887e-11,0.0,49.86765215803067,5.080135535150694e-06,49.75000034197346,1.5992031708057894e-11,49.86535353377002,5.08013553516296e-06,0.450001416579065,0.630614160978351,49.869950782291326,49.90805515761719,0.4500000000000185,0.45,0.0,1.5269640434911184e-14,49.95402757880859
600.0,1e+21,49.80997556213231,1.599203165404238e-11,0.0,49.86765215803066,5.08013553516582e-06,49.7500003419733,1.599203135241684e-11,49.865353533770005,5.080135535163403e-06,0.4500014165790622,0.6306141609783471,49.86995078229132,49.908055157617184,0.45000000000001567,0.45,0.0,1.52696404349111e-14,49.95402757880859
601.0,1e+21,49.80997556213222,1.5992031654068875e-11,0.0,49.867652158030644,5.080135535180937e-06,49.75000034197314,1.5992031315874973e-11,49.86535353376999,5.0801355351636405e-06,0.4500014165790598,0.6306141609783437,49.86995078229131,49.90805515761718,0.4500000000000133,0.45,0.0,1.5269640434911023e-14,49.954027578808585
602.0,1e+21,49.809975562132145,1.5992031654093548e-11,0.0,49.867652158030644,5.08013553515082e-06,49.75000034197299,1.599203159843271e-11,49.865353533769984,5.080135535164008e-06,0.45000141657905773,0.6306141609783408,49.8699507822913,49.90805515761716,0.4500000000000112,0.45,0.0,1.5269640434910963e-14,49.954027578808585
603.0,1e+21,49.80997556213206,1.599203165412004e-11,0.0,49.86765215803064,5.08013553515085e-06,49.750000341972836,1.5992031562061563e-11,49.86535353376998,5.080135535164236e-06,0.45000141657905596,0.6306141609783383,49.86995078229129,49.90805515761716,0.45000000000000956,0.45,0.0,1.526964043491091e-14,49.954027578808585
604.0,1e+21,49.80997556213198,1.5992031654148352e-11,0.0,49.86765215803064,5.080135535150875e-06,49.75000034197269,1.5992031844790322e-11,49.86535353376998,5.080135535164661e-06,0.45000141657905457,0.6306141609783363,49.86995078229129,49.908055157617156,0.45000000000000806,0.45,0.0,1.5269640434910865e-14,49.954027578808585
605.0,1e+21,49.809975562131896,1.5992031654174845e-11,0.0,49.86765215803063,5.080135535165972e-06,49.75000034197252,1.5992031808589897e-11,49.86535353376998,5.080135535165004e-06,0.45000141657905335,0.6306141609783347,49.86995078229128,49.90805515761715,0.4500000000000069,0.45,0.0,1.5269640434910827e-14,49.954027578808585
606.0,1e+21,49.809975562131825,1.5992031654201337e-11,0.0,49.86765215803063,5.080135535165989e-06,49.75000034197237,1.599203177247474e-11,49.86535353376997,5.080135535164982e-06,0.4500014165790523,0.6306141609783332,49.86995078229128,49.90805515761715,0.4500000000000059,0.45,0.0,1.5269640434910796e-14,49.954027578808585
607.0,1e+21,49.80997556213175,1.599203165422601e-11,0.0,49.86765215803062,5.080135535166001e-06,49.75000034197221,1.5992031736444894e-11,49.86535353376996,5.080135535164902e-06,0.45000141657905146,0.630614160978332,49.869950782291276,49.90805515761715,0.450000000000005,0.45,0.0,1.5269640434910767e-14,49.954027578808585
608.0,1e+21,49.80997556213167,1.5992031654252503e-11,0.0,49.86765215803062,5.080135535150939e-06,49.750000341972054,1.599203170050032e-11,49.865353533769955,5.0801355351647756e-06,0.45000141657905063,0.6306141609783309,49.86995078229127,49.908055157617156,0.45000000000000423,0.45,0.0,1.5269640434910745e-14,49.95402757880858
609.0,1e+21,49.809975562131584,1.599203165428263e-11,0.0,49.86765215803062,5.0801355351660275e-06,49.7500003419719,1.5992031664641025e-11,49.865353533769955,5.080135535164919e-06,0.45000141657904996,0.63061416097833,49.869950782291276,49.908055157617156,0.4500000000000036,0.45,0.0,1.5269640434910726e-14,49.95402757880858
610.0,1e+21,49.8099755621315,1.599203165431276e-11,0.0,49.86765215803062,5.080135535166038e-06,49.75000034197174,1.5992031628867015e-11,49.865353533769955,5.080135535165033e-06,0.4500014165790495,0.6306141609783293,49.869950782291276,49.90805515761715,0.4500000000000032,0.45,0.0,1.526964043491071e-14,49.95402757880858
611.0,1e+21,49.80997556213143,1.5992031654335615e-11,0.0,49.867652158030616,5.080135535166042e-06,49.750000341971585,1.5992031593178288e-11,49.865353533769955,5.08013553516513e-06,0.4500014165790491,0.6306141609783287,49.86995078229127,49.90805515761715,0.4500000000000027,0.45,0.0,1.5269640434910695e-14,49.95402757880858
612.0,1e+21,49.809975562131356,1.5992031654362107e-11,0.0,49.867652158030616,5.0801355351660495e-06,49.75000034197143,1.5992031557574838e-11,49.865353533769955,5.0801355351652025e-06,0.45000141657904874,0.6306141609783282,49.86995078229127,49.90805515761715,0.45000000000000223,0.45,0.0,1.5269640434910682e-14,49.954027578808585
613.0,1e+21,49.80997556213127,1.5992031654390416e-11,0.0,49.867652158030616,5.080135535166058e-06,49.75000034197127,1.5992031522056662e-11,49.865353533769955,5.080135535165262e-06,0.45000141657904835,0.6306141609783277,49.86995078229127,49.90805515761715,0.45000000000000184,0.45,0.0,1.5269640434910673e-14,49.95402757880858
614.0,1e+21,49.80997556213119,1.5992031654416908e-11,0.0,49.867652158030616,5.0801355351660605e-06,49.75000034197112,1.599203180563984e-11,49.865353533769955,5.080135535165312e-06,0.450001416579048,0.6306141609783272,49.86995078229127,49.90805515761715,0.45000000000000157,0.45,0.0,1.5269640434910663e-14,49.95402757880857
615.0,1e+21,49.809975562131115,1.59920316544434e-11,0.0,49.867652158030616,5.0801355351509876e-06,49.75000034197097,1.599203177029237e-11,49.865353533769955,5.08013553516535e-06,0.45000141657904774,0.6306141609783269,49.86995078229126,49.90805515761714,0.45000000000000134,0.45,0.0,1.5269640434910657e-14,49.95402757880858
616.0,1e+21,49.80997556213103,1.599203165447171e-11,0.0,49.86765215803061,5.080135535166071e-06,49.750000341970804,1.59920314160138e-11,49.865353533769955,5.080135535165384e-06,0.45000141657904763,0.6306141609783267,49.86995078229126,49.90805515761714,0.4500000000000012,0.45,0.0,1.526964043491065e-14,49.95402757880858
617.0,1e+21,49.80997556213096,1.59920316544982e-11,0.0,49.867652158030616,5.0801355351509935e-06,49.75000034197065,1.5992031699853254e-11,49.86535353376995,5.0801355351651084e-06,0.4500014165790475,0.6306141609783266,49.86995078229126,49.90805515761714,0.450000000000001,0.45,0.0,1.5269640434910647e-14,49.95402757880858
618.0,1e+21,49.80997556213087,1.599203165452833e-11,0.0,49.867652158030616,5.080135535166075e-06,49.75000034197049,1.5992031664761596e-11,49.86535353376995,5.080135535165129e-06,0.45000141657904735,0.6306141609783263,49.86995078229127,49.90805515761714,0.45000000000000084,0.45,0.0,1.526964043491064e-14,49.95402757880858
619.0,1e+21,49.8099755621308,1.5992031654553e-11,0.0,49.86765215803061,5.080135535166075e-06,49.750000341970335,1.599203162975522e-11,49.86535353376995,5.080135535165147e-06,0.45000141657904724,0.6306141609783261,49.86995078229126,49.90805515761714,0.45000000000000073,0.45,0.0,1.5269640434910638e-14,49.95402757880858
620.0,1e+21,49.80997556213072,1.599203165458131e-11,0.0,49.86765215803061,5.0801355351660774e-06,49.75000034197018,1.599203159483412e-11,49.86535353376995,5.08013553516516e-06,0.4500014165790472,0.630614160978326,49.86995078229126,49.90805515761714,0.4500000000000007,0.45,0.0,1.5269640434910635e-14,49.95402757880858
