time,inlet__H_link_R,inlet__H_link_L,inlet__H_down,inlet__q_C,VV_junc1__RBC_volume,VV_junc1__q_C,VV_junc1__q_C_d,PV1__H_link_R,PV1__H_link_L,PV1__H_down,PV1__q_C,PV2__H_link_R,PV2__H_link_L,PV2__H_down,PV2__q_C,V1__H_link_R,V1__H_link_L,V1__H_down,V1__q_C,V2__H_link_R,V2__H_link_L,V2__H_down,V2__q_C,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,inlet__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__u_mmHg,PV2__u_mmHg,V1__u_mmHg,V2__u_mmHg
622.0,0.0,0.45,0.4500000099460112,3.3336411552427877e-18,5.089396238291268e-17,2.7746183620131573e-18,2.7724568429793225e-18,0.4956690182888287,9.717264079025102e-09,0.49566901828882853,1.6619160631140714e-19,0.4506689410735059,0.4500014266415303,0.4506689410735059,1.6638797165647532e-19,0.45,0.49566901828882853,0.44543736966087644,2.766456665114291e-18,0.45,0.4506689410735059,0.44993737795103433,2.7730021766165624e-18,0.4500014266415303,0.6305892789984935,49.95402939461215,49.9080587892243,49.86995592003679,49.80997814159138,49.867652910347175,49.75000036314597,49.86534990065755
623.0,0.0,0.45,0.4500000099460112,3.3336411552427877e-18,5.0893962382912686e-17,2.7746183620131573e-18,2.7724568429793225e-18,0.49566901828882864,9.717264079044612e-09,0.4956690182888285,1.6619160631140714e-19,0.45066894107350586,0.45000142664153037,0.45066894107350586,1.6638797165647532e-19,0.45,0.4956690182888285,0.44543736966087644,2.766456665114291e-18,0.45,0.45066894107350586,0.44993737795103433,2.7730021766165624e-18,0.45000142664153037,0.6305892789984936,49.95402939461215,49.9080587892243,49.86995592003679,49.80997814159138,49.867652910347175,49.75000036314597,49.86534990065755
624.0,0.0,0.45,0.4500000099460112,3.3336411552427873e-18,5.089396238291268e-17,2.7746183620131573e-18,2.7724568429793225e-18,0.49566901828882864,9.717264079067177e-09,0.4956690182888284,1.6619160631140714e-19,0.45066894107350586,0.45000142664153037,0.45066894107350586,1.6638797165647532e-19,0.45,0.4956690182888284,0.44543736966087644,2.766456665114291e-18,0.45,0.45066894107350586,0.44993737795103433,2.7730021766165624e-18,0.4500014266415303,0.6305892789984935,49.95402939461215,49.9080587892243,49.86995592003679,49.80997814159138,49.867652910347175,49.75000036314597,49.86534990065755
625.0,0.0,0.45,0.4500000099460112,3.3336411552427873e-18,5.089396238291268e-17,2.7746183620131573e-18,2.7724568429793225e-18,0.4956690182888287,9.717264079071932e-09,0.49566901828882853,1.6619160631140714e-19,0.4506689410735059,0.4500014266415303,0.4506689410735059,1.6638797165647532e-19,0.45,0.49566901828882853,0.4454373696608765,2.766456665114291e-18,0.45,0.4506689410735059,0.44993737795103433,2.7730021766165624e-18,0.4500014266415303,0.6305892789984935,49.95402939461215,49.9080587892243,49.86995592003679,49.80997814159138,49.867652910347175,49.75000036314597,49.86534990065755
626.0,0.0,0.45,0.4500000099460112,3.3336411552427873e-18,5.0893962382912674e-17,2.7746183620131573e-18,2.7724568429793225e-18,0.4956690182888287,9.717264079071173e-09,0.4956690182888286,1.6619160631140714e-19,0.4506689410735059,0.45000142664153026,0.4506689410735059,1.6638797165647532e-19,0.45,0.4956690182888286,0.4454373696608765,2.766456665114291e-18,0.45,0.4506689410735059,0.44993737795103433,2.7730021766165624e-18,0.45000142664153026,0.6305892789984934,49.95402939461215,49.9080587892243,49.86995592003679,49.80997814159138,49.867652910347175,49.75000036314597,49.86534990065755
627.0,0.0,0.45,0.4500000099460112,3.3336411552427873e-18,5.0893962382912674e-17,2.7746183620131573e-18,2.7724568429793225e-18,0.4956690182888287,9.717264079082923e-09,0.49566901828882853,1.6619160631140714e-19,0.4506689410735059,0.45000142664153026,0.4506689410735059,1.6638797165647532e-19,0.45,0.49566901828882853,0.4454373696608765,2.766456665114291e-18,0.45,0.4506689410735059,0.44993737795103433,2.7730021766165624e-18,0.45000142664153026,0.6305892789984934,49.95402939461215,49.9080587892243,49.86995592003679,49.80997814159138,49.867652910347175,49.75000036314597,49.86534990065755
628.0,0.0,0.45,0.4500000099460112,3.3336411552427877e-18,5.089396238291268e-17,2.7746183620131573e-18,2.7724568429793225e-18,0.49566901828882864,9.717264079102437e-09,0.4956690182888285,1.6619160631140714e-19,0.4506689410735059,0.45000142664153026,0.4506689410735059,1.6638797165647532e-19,0.45,0.4956690182888285,0.44543736966087644,2.766456665114291e-18,0.45,0.4506689410735059,0.44993737795103433,2.7730021766165624e-18,0.4500014266415303,0.6305892789984935,49.95402939461215,49.9080587892243,49.86995592003679,49.80997814159138,49.867652910347175,49.75000036314597,49.86534990065755
629.0,0.0,0.45,0.4500000099460112,3.3336411552427877e-18,5.089396238291268e-17,2.7746183620131573e-18,2.7724568429793225e-18,0.4956690182888286,9.717264079124967e-09,0.4956690182888285,1.6619160631140714e-19,0.4506689410735059,0.4500014266415303,0.4506689410735059,1.6638797165647532e-19,0.45,0.4956690182888285,0.44543736966087644,2.766456665114291e-18,0.45,0.4506689410735059,0.44993737795103433,2.7730021766165624e-18,0.4500014266415303,0.6305892789984935,49.95402939461215,49.9080587892243,49.86995592003679,49.80997814159138,49.867652910347175,49.75000036314597,49.86534990065755
630.0,0.0,0.45,0.4500000099460112,3.3336411552427877e-18,5.089396238291268e-17,2.7746183620131573e-18,2.7724568429793225e-18,0.4956690182888287,9.717264079129676e-09,0.49566901828882853,1.6619160631140714e-19,0.4506689410735059,0.4500014266415303,0.4506689410735059,1.663879716564753e-19,0.45,0.49566901828882853,0.44543736966087644,2.766456665114291e-18,0.45,0.4506689410735059,0.44993737795103433,2.7730021766165624e-18,0.4500014266415303,0.6305892789984935,49.95402939461215,49.9080587892243,49.86995592003679,49.80997814159138,49.86765291034716,49.75000036314597,49.86534990065755
631.0,0.0,0.45,0.4500000099460112,3.3336411552427877e-18,5.089396238291268e-17,2.7746183620131573e-18,2.7724568429793225e-18,0.49566901828882876,9.717264079128893e-09,0.4956690182888286,1.6619160631140714e-19,0.4506689410735059,0.4500014266415303,0.4506689410735059,1.6638797165647527e-19,0.45,0.4956690182888286,0.44543736966087644,2.766456665114291e-18,0.45,0.4506689410735059,0.44993737795103433,2.7730021766165624e-18,0.4500014266415303,0.6305892789984935,49.95402939461215,49.9080587892243,49.86995592003679,49.80997814159138,49.867652910347154,49.75000036314597,49.86534990065755
