time,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,VV_junc2__H_VV_out_alpha,VV_junc2__H_VV_out_beta,VV_junc3__H_VV_out_alpha,VV_junc3__H_VV_out_beta,inlet__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__u_mmHg,PV2__u_mmHg,PV3__u_mmHg,PV4__u_mmHg,PV5__u_mmHg,PV6__u_mmHg,V1__u_mmHg,V2__u_mmHg,V3__u_mmHg,V4__u_mmHg,V5__u_mmHg,V6__u_mmHg,PV1__v_mm3_s,PV2__v_mm3_s,PV3__v_mm3_s,PV4__v_mm3_s,PV5__v_mm3_s,PV6__v_mm3_s,V1__v_mm3_s,V2__v_mm3_s,V3__v_mm3_s,V4__v_mm3_s,V5__v_mm3_s,V6__v_mm3_s,PV1__R_constriction,PV2__R_constriction,inlet__H_link_R,inlet__H_link_L,inlet__H_down,inlet__q_C
261.0,0.45000000579409427,0.4499999915057754,0.44999739637703434,0.4499973963762626,0.4499973992321449,0.4499973970681023,49.90690808004263,49.81381616008527,49.7366566505383,49.734329176637914,49.73432917657064,49.5748775634052,49.57487756340521,49.57487755160653,49.574877551603976,49.73200170273753,49.732001702602986,49.57312565089401,49.57312565089403,49.57312563933841,49.5731256393333,5.143529868763005e-06,5.143530263060078e-06,2.5717649343965645e-06,2.5717649343868685e-06,2.571765117927585e-06,2.571765145120844e-06,5.1435298687721225e-06,5.143530263048228e-06,2.5717649343855573e-06,2.5717649343864547e-06,2.5717651179272708e-06,2.5717651451211416e-06,0.0,0.0,1.0746996497469355e-69,0.45,0.44999999864992424,3.3304324754699433e-18
262.0,0.4500000057935642,0.4499999915063381,0.44999739637701747,0.44999739637624575,0.4499973992321444,0.4499973970681018,49.906908080042626,49.81381616008527,49.7366566505383,49.734329176637914,49.73432917657065,49.5748775634052,49.57487756340521,49.57487755160653,49.574877551603976,49.73200170273753,49.732001702602986,49.57312565089401,49.573125650894035,49.57312563933841,49.573125639333306,5.143529868778081e-06,5.143530263045002e-06,2.57176493438655e-06,2.5717649343768544e-06,2.571765117917571e-06,2.5717651451108298e-06,5.143529868772423e-06,5.143530263048528e-06,2.5717649343855048e-06,2.571764934386745e-06,2.571765117927266e-06,2.5717651451213855e-06,0.0,0.0,2.484216586917027e-69,0.45,0.4499999986499248,3.330432475469943e-18
263.0,0.4500000057938321,0.44999999150605957,0.44999739637663544,0.44999739637661,0.44999739923214305,0.4499973970681005,49.906908080042626,49.81381616008526,49.73665665053829,49.734329176637914,49.73432917657064,49.5748775634052,49.5748775634052,49.57487755160653,49.574877551603976,49.73200170273753,49.732001702602986,49.57312565089401,49.57312565089403,49.57312563933841,49.5731256393333,5.143529868763005e-06,5.143530263045002e-06,2.57176493438655e-06,2.5717649343868685e-06,2.571765117917571e-06,2.5717651451108298e-06,5.143529868772423e-06,5.143530263048528e-06,2.5717649343854577e-06,2.571764934386549e-06,2.571765117927236e-06,2.5717651451211738e-06,0.0,0.0,2.0495251626071923e-69,0.45,0.4499999986499246,3.330432475469943e-18
264.0,0.45000000579407784,0.449999991505759,0.44999739637665376,0.44999739637662833,0.44999739923254584,0.4499973970677061,49.90690808004263,49.81381616008526,49.7366566505383,49.734329176637914,49.73432917657064,49.57487756340521,49.57487756340521,49.57487755160653,49.57487755160397,49.73200170273752,49.732001702602986,49.57312565089403,49.57312565089401,49.57312563933841,49.573125639333306,5.143529868763005e-06,5.143530263060078e-06,2.57176493438655e-06,2.5717649343868685e-06,2.571765117927585e-06,2.5717651451308583e-06,5.1435298687721225e-06,5.143530263048228e-06,2.5717649343859427e-06,2.5717649343860604e-06,2.5717651179272182e-06,2.5717651451214317e-06,0.0,0.0,-3.404110640881281e-70,0.45,0.4499999986499238,3.3304324754699433e-18
265.0,0.4500000057940777,0.4499999915057588,0.4499973963766605,0.44999739637663505,0.44999739923254745,0.4499973970677077,49.90690808004263,49.81381616008527,49.7366566505383,49.734329176637914,49.73432917657064,49.57487756340521,49.57487756340521,49.57487755160653,49.57487755160397,49.73200170273753,49.732001702602986,49.57312565089403,49.57312565089401,49.57312563933841,49.573125639333306,5.143529868763005e-06,5.143530263060078e-06,2.57176493438655e-06,2.5717649343868685e-06,2.571765117927585e-06,2.5717651451308583e-06,5.143529868772423e-06,5.143530263048228e-06,2.571764934385962e-06,2.5717649343860418e-06,2.571765117927239e-06,2.571765145121412e-06,0.0,0.0,-6.124444157305956e-70,0.45,0.4499999986499237,3.3304324754699433e-18
266.0,0.4500000057935491,0.449999991506323,0.4499973963766562,0.4499973963766308,0.4499973992325464,0.44999739706770686,49.90690808004264,49.81381616008527,49.7366566505383,49.734329176637914,49.73432917657065,49.57487756340521,49.57487756340521,49.57487755160653,49.57487755160397,49.73200170273753,49.732001702602986,49.57312565089401,49.57312565089401,49.57312563933841,49.573125639333306,5.143529868778081e-06,5.143530263045002e-06,2.57176493438655e-06,2.5717649343868685e-06,2.571765117917571e-06,2.571765145120844e-06,5.1435298687721225e-06,5.143530263048228e-06,2.571764934385498e-06,2.5717649343860253e-06,2.5717651179272784e-06,2.57176514512137e-06,0.0,0.0,6.530209334076907e-70,0.45,0.4499999986499241,3.3304324754699437e-18
267.0,0.45000000579357136,0.4499999915063453,0.44999739637664915,0.4499973963766237,0.4499973992325455,0.449997397067706,49.90690808004263,49.81381616008527,49.73665665053829,49.734329176637914,49.73432917657065,49.5748775634052,49.5748775634052,49.57487755160653,49.57487755160397,49.73200170273753,49.732001702602986,49.57312565089401,49.57312565089401,49.57312563933841,49.573125639333306,5.143529868763005e-06,5.143530263029926e-06,2.57176493438655e-06,2.5717649343868685e-06,2.571765117917571e-06,2.571765145120844e-06,5.1435298687721225e-06,5.143530263048528e-06,2.571764934385511e-06,2.571764934386012e-06,2.571765117927329e-06,2.5717651451213203e-06,0.0,0.0,2.518495608874531e-69,0.45,0.4499999986499248,3.3304324754699433e-18
268.0,0.45000000579358473,0.44999999150635867,0.44999739637664765,0.4499973963766222,0.4499973992325476,0.44999739706770786,49.90690808004263,49.81381616008527,49.7366566505383,49.734329176637914,49.73432917657065,49.5748775634052,49.5748775634052,49.57487755160653,49.57487755160397,49.73200170273753,49.732001702602986,49.57312565089403,49.57312565089401,49.57312563933841,49.5731256393333,5.143529868778081e-06,5.143530263045002e-06,2.57176493438655e-06,2.5717649343868685e-06,2.571765117927585e-06,2.5717651451308583e-06,5.1435298687721225e-06,5.143530263048528e-06,2.571764934386001e-06,2.5717649343859994e-06,2.5717651179273754e-06,2.5717651451210353e-06,0.0,0.0,4.04649023621772e-69,0.45,0.44999999864992535,3.3304324754699433e-18
269.0,0.45000000579407884,0.44999999150576,0.4499973963766724,0.449997396376647,0.44999739923254606,0.4499973970677063,49.90690808004263,49.81381616008526,49.7366566505383,49.734329176637914,49.73432917657064,49.57487756340521,49.57487756340521,49.57487755160653,49.57487755160397,49.73200170273752,49.73200170260299,49.57312565089401,49.57312565089403,49.57312563933841,49.5731256393333,5.143529868763005e-06,5.143530263060078e-06,2.57176493438655e-06,2.5717649343868685e-06,2.571765117927585e-06,2.5717651451308583e-06,5.143529868771823e-06,5.143530263048528e-06,2.5717649343855158e-06,2.571764934386487e-06,2.571765117927382e-06,2.571765145121029e-06,0.0,0.0,-2.944354374814503e-70,0.45,0.4499999986499238,3.3304324754699433e-18
270.0,0.4500000057940549,0.44999999150573605,0.449997396376683,0.4499973963766576,0.4499973992321465,0.44999739706810393,49.90690808004263,49.81381616008526,49.7366566505383,49.734329176637914,49.73432917657064,49.57487756340521,49.57487756340521,49.57487755160653,49.574877551603976,49.73200170273752,49.73200170260299,49.57312565089401,49.57312565089403,49.5731256393384,49.573125639333306,5.143529868763005e-06,5.143530263060078e-06,2.57176493438655e-06,2.5717649343868685e-06,2.571765117917571e-06,2.5717651451108298e-06,5.143529868771823e-06,5.143530263048528e-06,2.5717649343855497e-06,2.571764934386459e-06,2.5717651179270997e-06,2.5717651451213114e-06,0.0,0.0,-2.363718478372514e-69,0.45,0.44999999864992307,3.3304324754699433e-18
