time,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,VV_junc2__H_VV_out_alpha,VV_junc2__H_VV_out_beta,VV_junc3__H_VV_out_alpha,VV_junc3__H_VV_out_beta,VV_junc4__H_VV_out_alpha,VV_junc4__H_VV_out_beta,VV_junc5__H_VV_out_alpha,VV_junc5__H_VV_out_beta,VV_junc6__H_VV_out_alpha,VV_junc6__H_VV_out_beta,VV_junc7__H_VV_out_alpha,VV_junc7__H_VV_out_beta,inlet__u_mmHg,V1__u_mmHg,V2__u_mmHg,V3__u_mmHg,V4__u_mmHg,V5__u_mmHg,V6__u_mmHg,V7__u_mmHg,V8__u_mmHg,V9__u_mmHg,V10__u_mmHg,V11__u_mmHg,V12__u_mmHg,V13__u_mmHg,V14__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__v_mm3_s,PV2__v_mm3_s,PV3__v_mm3_s,PV4__v_mm3_s,PV5__v_mm3_s,PV6__v_mm3_s,V1__v_mm3_s,V2__v_mm3_s,V3__v_mm3_s,V4__v_mm3_s,V5__v_mm3_s,V6__v_mm3_s,V7__v_mm3_s,V8__v_mm3_s,V9__v_mm3_s,V10__v_mm3_s,V11__v_mm3_s,V12__v_mm3_s,V13__v_mm3_s,V14__v_mm3_s,PV7__R_constriction
564.0,0.45587750707027613,0.443726422547931,0.4749328399029066,0.4166268678567277,0.4500554241223565,0.4500554235880752,0.4496686935636757,0.10541050676258726,0.4502495380582999,0.45024951778983446,0.4500007511365669,0.4500007510381261,0.4500007567320771,0.4500007557413574,49.878975821912015,49.65178586219181,49.651391344550284,49.45259939700383,49.451343591558214,49.43811215676558,49.438112157498075,49.25000048767878,49.347027714110844,49.31462602300207,49.31462602302953,49.310382122680664,49.310382122680785,49.31038212306703,49.31038212306828,49.75795164382434,49.65764040030481,6.468889433252138e-06,6.9048061752353375e-06,2.773563122089297e-06,3.695326311193551e-06,3.452403083095037e-06,3.4524030921073754e-06,6.4688894332898506e-06,6.904806175200612e-06,2.773563122090503e-06,3.6953263111974623e-06,3.4524030830684987e-06,3.452403091790828e-06,1.3724325267369135e-11,2.7735493977656108e-06,1.8476632381045446e-06,1.8476630730934564e-06,1.7262015419053985e-06,1.7262015411551697e-06,1.7262015497262218e-06,1.7262015421898203e-06,1e+21
565.0,0.4558775070751079,0.4437264225452964,0.47493283995782515,0.41662686790825226,0.450055424091106,0.4500554235265466,0.4496686935639529,0.10541050676265223,0.4502495380588273,0.4502495177903618,0.45000075119810024,0.45000075110134163,0.45000075657423394,0.45000075558351454,49.87897582191047,49.651785862188135,49.65139134454635,49.45259939700195,49.45134359155634,49.43811215675658,49.438112157488376,49.25000048767887,49.34702771410997,49.31462602300141,49.31462602302887,49.310382122677524,49.310382122677645,49.310382123063626,49.310382123064876,49.75795164382163,49.657640400301055,6.4688894331767615e-06,6.904806175431316e-06,2.773563122059254e-06,3.6953263111735217e-06,3.4524030829247924e-06,3.4524030924478657e-06,6.468889433231868e-06,6.904806175376965e-06,2.773563122063869e-06,3.69532631116483e-06,3.452403082910375e-06,3.452403091637023e-06,1.3724325188430084e-11,2.7735493977388615e-06,1.847663238088209e-06,1.8476630730771754e-06,1.7262015418252522e-06,1.726201541074711e-06,1.7262015496138508e-06,1.7262015420774088e-06,1e+21
566.0,0.45587750708099506,0.443726422540441,0.47493283992896174,0.41662686788097014,0.4500554241468826,0.4500554235288914,0.44966869356392086,0.10541050676264473,0.45024953805908674,0.45024951778983546,0.450000751162504,0.45000075106322196,0.45000075634500225,0.45000075535512374,49.87897582190829,49.65178586218258,49.65139134454041,49.45259939699913,49.45134359155352,49.438112156742505,49.438112157473086,49.25000048767897,49.347027714108656,49.31462602300046,49.31462602302793,49.31038212267286,49.31038212267298,49.31038212305719,49.310382123058446,49.75795164381756,49.657640400295406,6.46888943308631e-06,6.904806175732821e-06,2.773563122019196e-06,3.6953263111134358e-06,3.452403082604331e-06,3.452403093028701e-06,6.468889433143239e-06,6.9048061756596705e-06,2.773563122024518e-06,3.6953263111144416e-06,3.4524030826553135e-06,3.4524030914558647e-06,1.3724325301474347e-11,2.7735493976997895e-06,1.8476632380631081e-06,1.8476630730523836e-06,1.7262015417003513e-06,1.7262015409500592e-06,1.7262015493981011e-06,1.7262015418618095e-06,1e+21
567.0,0.4558775070610778,0.4437264225516098,0.4749328397488085,0.4166268677073733,0.45005542423579775,0.4500554237448556,0.449668693562236,0.10541050676224976,0.45024953805669593,0.45024951778823047,0.4500007509613399,0.4500007508637402,0.45000075692793645,0.45000075593889916,49.87897582191434,49.65178586219728,49.65139134455613,49.452599397006566,49.45134359156092,49.43811215677881,49.438112157512286,49.250000487679046,49.347027714112194,49.31462602300277,49.31462602303023,49.310382122684715,49.31038212268485,49.310382123071875,49.310382123073126,49.757951643828385,49.65764040031039,6.468889433387816e-06,6.904806174903682e-06,2.773563122109326e-06,3.695326311253637e-06,3.4524030833453976e-06,3.4524030916266837e-06,6.468889433378477e-06,6.9048061749443444e-06,2.7735631221269747e-06,3.69532631125169e-06,3.4524030833156418e-06,3.4524030920605264e-06,1.3724325030562772e-11,2.773549397801851e-06,1.8476632381313229e-06,1.847663073120347e-06,1.7262015420338747e-06,1.7262015412838607e-06,1.7262015498259174e-06,1.726201542289327e-06,1e+21
568.0,0.4558775070586751,0.4437264225529542,0.4749328397257572,0.4166268676870785,0.4500554242475864,0.4500554237708927,0.4496686935619995,0.10541050676219434,0.4502495380564233,0.45024951778795785,0.45000075093601377,0.45000075083757296,0.45000075700339254,0.450000756013514,49.87897582191503,49.65178586219898,49.65139134455795,49.45259939700741,49.45134359156175,49.43811215678301,49.43811215751683,49.25000048767914,49.347027714112585,49.314626023003,49.31462602303046,49.31038212268619,49.31038212268632,49.31038212307342,49.310382123074675,49.75795164382963,49.65764040031212,6.4688894334330415e-06,6.90480617481323e-06,2.7735631221493834e-06,3.695326311273666e-06,3.452403083425513e-06,3.452403091466453e-06,6.4688894334064175e-06,6.904806174861125e-06,2.773563122138972e-06,3.695326311268006e-06,3.452403083389545e-06,3.452403092134669e-06,1.3724325143614143e-11,2.773549397813593e-06,1.8476632381396789e-06,1.847663073128614e-06,1.7262015420711437e-06,1.7262015413212346e-06,1.7262015498776167e-06,1.726201542341177e-06,1e+21
569.0,0.4558775070645245,0.44372642254968125,0.47493283977815637,0.41662686773725965,0.45005542422231853,0.4500554237076289,0.44966869356246125,0.10541050676230257,0.4502495380569784,0.45024951778851297,0.45000075099284986,0.45000075089525016,0.45000075683671686,0.4500007558468384,49.87897582191322,49.65178586219457,49.65139134455325,49.45259939700515,49.45134359155952,49.43811215677218,49.43811215750511,49.25000048767924,49.347027714111505,49.31462602300225,49.31462602302971,49.31038212268278,49.31038212268291,49.31038212306881,49.31038212307006,49.757951643826395,49.65764040030763,6.468889433342589e-06,6.904806175054434e-06,2.7735631221193404e-06,3.6953263112336086e-06,3.452403083195181e-06,3.452403091877044e-06,6.468889433336718e-06,6.904806175074731e-06,2.773563122108019e-06,3.6953263112281757e-06,3.452403083188711e-06,3.4524030919597494e-06,1.3724325256669045e-11,2.7735493977830355e-06,1.847663238119433e-06,1.8476630731084589e-06,1.7262015419694375e-06,1.7262015412196471e-06,1.7262015497528222e-06,1.7262015422163758e-06,1e+21
570.0,0.4558775070695277,0.4437264225468113,0.47493283982241474,0.4166268677785758,0.45005542420125194,0.4500554236545033,0.44966869356287087,0.10541050676239859,0.4502495380574634,0.45024951778899797,0.4500007510419576,0.45000075094351677,0.45000075669493833,0.4500007557050598,49.87897582191175,49.65178586219097,49.6513913445494,49.45259939700331,49.45134359155769,49.43811215676332,49.43811215749554,49.25000048767932,49.34702771411062,49.31462602300164,49.314626023029106,49.31038212268,49.310382122680124,49.310382123065054,49.310382123066304,49.75795164382375,49.65764040030397,6.468889433267213e-06,6.9048061752654885e-06,2.773563122089297e-06,3.695326311213579e-06,3.4524030830249363e-06,3.4524030922475775e-06,6.4688894332793355e-06,6.904806175249281e-06,2.773563122083065e-06,3.695326311195063e-06,3.452403083024589e-06,3.4524030918167423e-06,1.3724325177747902e-11,2.7735493977579998e-06,1.8476632381032099e-06,1.8476630730921338e-06,1.7262015418864325e-06,1.7262015411367544e-06,1.726201549650956e-06,1.7262015421143287e-06,1e+21
571.0,0.4558775070651593,0.4437264225490684,0.4749328397814599,0.41662686773846375,0.45005542421839884,0.45005542369717877,0.44966869356088834,0.10541050676193384,0.4502495380552287,0.45024951778676325,0.45000075100384235,0.45000075090540154,0.45000075680617563,0.45000075581629717,49.878975821912974,49.65178586219393,49.651391344552565,49.452599397004676,49.45134359155901,49.438112156770764,49.438112157503575,49.25000048767942,49.34702771411127,49.31462602300192,49.31462602302938,49.31038212268247,49.3103821226826,49.31038212306801,49.31038212306925,49.757951643825926,49.65764040030699,6.468889433327515e-06,6.904806175084584e-06,2.7735631220993115e-06,3.695326311243623e-06,3.4524030831551235e-06,3.4524030919471447e-06,6.46888943333161e-06,6.904806175100268e-06,2.7735631221017806e-06,3.6953263112293747e-06,3.4524030831591978e-06,3.452403091941993e-06,1.3724325290809878e-11,2.773549397776625e-06,1.8476632381119453e-06,1.8476630731007856e-06,1.7262015419544332e-06,1.7262015412048368e-06,1.726201549739364e-06,1.726201542202753e-06,1e+21
572.0,0.45587750706548313,0.44372642254857964,0.47493283977681733,0.4166268677343747,0.45005542421927586,0.4500554236986493,0.44966869355969596,0.10541050676165434,0.4502495380467018,0.45024951777823635,0.45000075100173836,0.4500007509016157,0.45000075681318596,0.45000075582246657,49.878975821913,49.65178586219406,49.65139134455269,49.452599397004974,49.45134359155933,49.43811215677086,49.43811215750365,49.25000048767951,49.34702771411141,49.31462602300255,49.314626023030016,49.31038212268256,49.31038212268268,49.310382123067946,49.3103821230692,49.75795164382601,49.657640400307116,6.468889433327515e-06,6.904806175114735e-06,2.773563122089297e-06,3.695326311223594e-06,3.452403083165138e-06,3.4524030919471447e-06,6.468889433325601e-06,6.904806175101469e-06,2.7735631221058595e-06,3.6953263112195377e-06,3.4524030831591978e-06,3.4524030919458326e-06,1.3724325211895889e-11,2.773549397780481e-06,1.847663238130317e-06,1.847663073119089e-06,1.7262015419549628e-06,1.7262015412051735e-06,1.726201549741084e-06,1.726201542204651e-06,1e+21
573.0,0.4558775070639122,0.44372642254829164,0.47493283974412,0.4166268677027056,0.45005542421952954,0.45005542369712187,0.4496686935491682,0.10541050675918642,0.4502495380215481,0.45024951775386846,0.45000075100208603,0.450000750902804,0.45000075680969753,0.45000075581897814,49.87897582191298,49.651785862193975,49.65139134455263,49.45259939700463,49.45134359155896,49.43811215677103,49.43811215750378,49.25000048767959,49.34702771411127,49.314626023002944,49.3146260230304,49.31038212268266,49.31038212268279,49.31038212306791,49.31038212306916,49.75795164382597,49.657640400307045,6.468889433357665e-06,6.90480617509966e-06,2.7735631220993115e-06,3.695326311243623e-06,3.452403083135095e-06,3.4524030919471447e-06,6.4688894333346146e-06,6.9048061750948605e-06,2.773563122100821e-06,3.6953263112339342e-06,3.4524030831608774e-06,3.452403091950631e-06,1.3724324941006039e-11,2.773549397775153e-06,1.8476632381401881e-06,1.8476630731286917e-06,1.72620154195601e-06,1.7262015412062121e-06,1.7262015497430091e-06,1.7262015422063114e-06,1e+21
574.0,0.4558775070652062,0.44372642254952,0.47493283980284356,0.4166268677589419,0.45005542422053335,0.4500554236999068,0.4496686935636679,0.10541050676258543,0.4502495380555867,0.4502495177886931,0.4500007510034167,0.4500007509049759,0.45000075681317536,0.45000075582245563,49.87897582191285,49.651785862193606,49.651391344552266,49.45259939700383,49.45134359155817,49.43811215677056,49.438112157503355,49.25000048767969,49.347027714110965,49.314626023001836,49.314626023029305,49.31038212268254,49.310382122682654,49.31038212306772,49.310382123068976,49.7579516438257,49.65764040030667,6.468889433327515e-06,6.90480617506951e-06,2.7735631220993115e-06,3.695326311243623e-06,3.4524030831551235e-06,3.4524030919371306e-06,6.468889433348134e-06,6.904806175097563e-06,2.773563122086904e-06,3.695326311202741e-06,3.45240308315152e-06,3.452403091943913e-06,1.3724325246058127e-11,2.773549397764715e-06,1.8476632381075024e-06,1.8476630730961248e-06,1.7262015419507677e-06,1.7262015412007562e-06,1.7262015497400521e-06,1.7262015422035145e-06,1e+21
575.0,0.45587750706480124,0.44372642254957795,0.47493283982205864,0.4166268677775209,0.45005542422326483,0.45005542370204477,0.44966869356522715,0.10541050676295094,0.4502495380560562,0.45024951778759076,0.4500007510050789,0.4500007509066381,0.4500007568158485,0.45000075582597,49.87897582191272,49.65178586219321,49.65139134455189,49.45259939700279,49.451343591557126,49.43811215677033,49.43811215750314,49.250000487679785,49.347027714110496,49.31462602300148,49.31462602302894,49.31038212268249,49.31038212268262,49.310382123067605,49.310382123068855,49.75795164382544,49.6576404003063,6.468889433357665e-06,6.904806175084584e-06,2.773563122109326e-06,3.695326311253637e-06,3.4524030831551235e-06,3.4524030919471447e-06,6.468889433368564e-06,6.904806175092757e-06,2.7735631220705878e-06,3.6953263111840254e-06,3.4524030831469607e-06,3.4524030919415136e-06,1.372432516715489e-11,2.7735493977524945e-06,1.8476632380984523e-06,1.8476630730868697e-06,1.7262015419484536e-06,1.726201541198582e-06,1.726201549738993e-06,1.7262015422021952e-06,1e+21
576.0,0.4558775070663272,0.4437264225468509,0.4749328397373157,0.4166268676977952,0.4500554242144967,0.45005542369268264,0.4496686935591529,0.10541050676152704,0.4502495380580884,0.4502495177904088,0.45000075099886744,0.4500007508995854,0.4500007568033869,0.4500007558143496,49.878975821913365,49.65178586219513,49.6513913445537,49.45259939700791,49.45134359156231,49.43811215677133,49.43811215750412,49.25000048767987,49.3470277141127,49.31462602300309,49.31462602303055,49.31038212268284,49.31038212268296,49.31038212306789,49.31038212306914,49.75795164382674,49.65764040030813,6.468889433252138e-06,6.904806175129811e-06,2.773563122069268e-06,3.6953263111735217e-06,3.452403083165138e-06,3.4524030919671736e-06,6.468889433265215e-06,6.904806175119195e-06,2.773563122151209e-06,3.6953263112814426e-06,3.4524030831647166e-06,3.4524030919602292e-06,1.3724325088255245e-11,2.7735493978161676e-06,1.847663238145452e-06,1.8476630731338408e-06,1.7262015419574516e-06,1.7262015412074016e-06,1.7262015497487628e-06,1.7262015422118537e-06,1e+21
577.0,0.4558775070664306,0.4437264225477628,0.47493283975141376,0.41662686771165164,0.4500554242156756,0.4500554236938616,0.44966869356009587,0.10541050676174808,0.4502495380576663,0.4502495177899867,0.45000075100035103,0.45000075090022834,0.4500007568055261,0.4500007558156476,49.878975821913244,49.651785862194764,49.651391344553346,49.452599397006914,49.45134359156131,49.43811215677115,49.43811215750393,49.25000048767997,49.34702771411226,49.31462602300276,49.31462602303022,49.310382122682796,49.31038212268292,49.3103821230678,49.31038212306904,49.757951643826495,49.65764040030777,6.468889433252138e-06,6.90480617509966e-06,2.773563122089297e-06,3.695326311193551e-06,3.4524030831551235e-06,3.4524030919571596e-06,6.468889433285644e-06,6.904806175114088e-06,2.7735631221363323e-06,3.6953263112629676e-06,3.4524030831606373e-06,3.4524030919573497e-06,1.3724325201338512e-11,2.773549397804287e-06,1.8476632381366996e-06,1.8476630731252443e-06,1.7262015419552627e-06,1.7262015412054763e-06,1.7262015497472697e-06,1.726201542210298e-06,1e+21
578.0,0.45587750706592944,0.44372642254983197,0.4749328397981815,0.4166268677559022,0.45005542422027556,0.4500554236984615,0.4496686935633928,0.10541050676252092,0.4502495380563099,0.45024951778863026,0.4500007510035147,0.4500007509042328,0.4500007568116681,0.4500007558217896,49.878975821912874,49.651785862193655,49.6513913445523,49.45259939700398,49.45134359155832,49.43811215677056,49.438112157503355,49.250000487680055,49.34702771411098,49.3146260230018,49.31462602302927,49.310382122682626,49.310382122682746,49.31038212306758,49.31038212306884,49.757951643825734,49.65764040030671,6.468889433327515e-06,6.904806175084584e-06,2.7735631221193404e-06,3.695326311243623e-06,3.4524030831451095e-06,3.4524030919471447e-06,6.46888943334513e-06,6.904806175098766e-06,2.7735631220902635e-06,3.69532631120754e-06,3.4524030831496e-06,3.452403091947752e-06,1.372432512244602e-11,2.7735493977680333e-06,1.8476632381098406e-06,1.8476630730985702e-06,1.7262015419496655e-06,1.726201541200015e-06,1.7262015497421782e-06,1.726201542205384e-06,1e+21
