time,PV1__R_constriction,PV1__u_mmHg,PV1__v_mm3_s,PV2__R_constriction,PV2__u_mmHg,PV2__v_mm3_s,PV3__u_mmHg,PV3__v_mm3_s,PV4__u_mmHg,PV4__v_mm3_s,PV5__u_mmHg,PV5__v_mm3_s,PV6__u_mmHg,PV6__v_mm3_s,V1__u_mmHg,V1__v_mm3_s,V2__u_mmHg,V2__v_mm3_s,V3__u_mmHg,V3__v_mm3_s,V4__u_mmHg,V4__v_mm3_s,V5__u_mmHg,V5__v_mm3_s,V6__u_mmHg,V6__v_mm3_s,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,VV_junc1__u_d_mmHg,VV_junc1__u_mmHg,VV_junc2__H_VV_out_alpha,VV_junc2__H_VV_out_beta,VV_junc3__H_VV_out_alpha,VV_junc3__H_VV_out_beta,inlet__H_down,inlet__H_link_L,inlet__H_link_R,inlet__RBC_volume,inlet__u_mmHg
824.0,0.0,49.75114294194789,4.379434486402876e-06,0.0,49.75050255645408,5.268826535226753e-06,49.56142643381144,1.6376873555629244e-11,49.620037446612585,4.379418109552936e-06,49.580680428673475,2.63441326762876e-06,49.58068042867346,2.6344132676312522e-06,49.74927631153856,4.379434486417139e-06,49.74799554055093,5.268826535241568e-06,49.50000793218702,1.6376873314151313e-11,49.617229957789306,4.379418109543201e-06,49.57879182443155,2.634413267620231e-06,49.57879182443152,2.634413267620019e-06,0.46560193162125896,0.4312295695167344,49.753009572357215,49.82537768130892,0.43123118199726734,0.24481953087324754,0.465601931475559,0.4656019314753634,0.4500000000303559,0.45,0.0,1.526963916910532e-14,49.912688840654454
825.0,0.0,49.75114294194413,4.379434486345406e-06,0.0,49.75050255645064,5.268826535151936e-06,49.56142643380965,1.637687355522602e-11,49.62003744660928,4.379418109451095e-06,49.58068042867073,2.6344132675642066e-06,49.58068042867069,2.63441326757097e-06,49.74927631153504,4.379434486350707e-06,49.74799554054807,5.26882653514751e-06,49.500007932186705,1.6376873536812045e-11,49.61722995778602,4.379418109477305e-06,49.57879182442887,2.634413267574727e-06,49.578791824428805,2.6344132675699592e-06,0.46560193150141205,0.4312295694000417,49.753009572353214,49.825377681303706,0.43123118200542115,0.24481953087787667,0.4656019315295896,0.46560193152905893,0.45000000003954227,0.45,0.0,1.526963916959612e-14,49.91268884065186
826.0,0.0,49.75114294193558,4.37943448621679e-06,0.0,49.75050255644189,5.268826535012441e-06,49.56142643380727,1.637687355470456e-11,49.620037446604954,4.37941810934297e-06,49.58068042866759,2.6344132675014267e-06,49.580680428667556,2.6344132675019154e-06,49.74927631152635,4.37943448621742e-06,49.74799554053895,5.268826535015073e-06,49.500007932186406,1.6376874018503285e-11,49.61722995778176,4.379418109343439e-06,49.578791824425785,2.6344132675146717e-06,49.578791824425736,2.6344132675005136e-06,0.4656019316226549,0.4312295695177637,49.753009572344816,49.82537768129331,0.43123118200326127,0.24481953087665045,0.4656019315076077,0.4656019315075693,0.4500000000756727,0.45,0.0,1.5269639170518507e-14,49.912688840646666
827.0,0.0,49.751142941943066,4.379434486293014e-06,0.0,49.75050255644917,5.268826535015594e-06,49.56142643380787,1.6376873554965264e-11,49.6200374466064,4.3794181094178705e-06,49.58068042866707,2.63441326751646e-06,49.58068042866708,2.634413267509106e-06,49.74927631153347,4.3794344862908905e-06,49.74799554054567,5.268826535037192e-06,49.50000793218608,1.6376873464822003e-11,49.617229957783145,4.379418109417682e-06,49.57879182442523,2.6344132675253596e-06,49.578791824425245,2.634413267511649e-06,0.4656019316192545,0.4312295695175244,49.75300957235266,49.82537768130189,0.4312311820112575,0.24481953088119007,0.46560193151557333,0.465601931514996,0.45000000005663765,0.45,0.0,1.526963916989362e-14,49.912688840650944
828.0,0.0,49.75114294195002,4.3794344863222045e-06,0.0,49.7505025564563,5.268826535039247e-06,49.56142643380907,1.6376873555375122e-11,49.6200374466088,4.379418109452661e-06,49.580680428666284,2.634413267513416e-06,49.58068042866629,2.634413267498302e-06,49.74927631154056,4.3794344863243085e-06,49.74799554055312,5.268826535031038e-06,49.50000793218577,1.6376873429051385e-11,49.617229957785234,4.3794181094506955e-06,49.57879182442445,2.634413267521155e-06,49.57879182442446,2.6344132675099618e-06,0.46560193158301183,0.4312295694825744,49.75300957235948,49.825377681308915,0.43123118204679994,0.24481953090136832,0.4656019315166176,0.46560193151543133,0.4500000000392334,0.45,0.0,1.526963916943799e-14,49.912688840654454
829.0,0.0,49.75114294195335,4.379434486366603e-06,0.0,49.75050255645962,5.2688265350699485e-06,49.56142643380991,1.637687355569767e-11,49.62003744661089,4.379418109464943e-06,49.580680428667364,2.6344132675464062e-06,49.58068042866738,2.634413267526901e-06,49.74927631154401,4.379434486338515e-06,49.74799554055655,5.268826535067323e-06,49.500007932185454,1.637687339343036e-11,49.617229957787394,4.379418109464678e-06,49.578791824425345,2.6344132675381917e-06,49.57879182442536,2.6344132675292826e-06,0.46560193156163615,0.4312295694625152,49.75300957236269,49.825377681312496,0.43123118202681077,0.24481953089002,0.46560193155726926,0.46560193155573815,0.45000000003138096,0.45,0.0,1.5269639169166405e-14,49.912688840656244
830.0,0.0,49.751142941957404,4.3794344863859725e-06,0.0,49.75050255646353,5.26882653507133e-06,49.56142643381094,1.6376873556060234e-11,49.62003744661322,4.379418109477911e-06,49.580680428668174,2.634413267530174e-06,49.580680428668174,2.6344132675291475e-06,49.74927631154817,4.3794344863562704e-06,49.7479955405604,5.268826535073187e-06,49.50000793218514,1.6376873357958937e-11,49.617229957789704,4.379418109482702e-06,49.578791824426055,2.6344132675407103e-06,49.57879182442607,2.6344132675327554e-06,0.465601931554015,0.43122956945584423,49.75300957236665,49.82537768131663,0.4312311820259162,0.24481953088951217,0.4656019315691101,0.4656019315690294,0.4500000000224634,0.45,0.0,1.526963916888987e-14,49.91268884065831
831.0,0.0,49.75114294196072,4.379434486431661e-06,0.0,49.75050255646653,5.268826535038176e-06,49.561426433812194,1.637687355649556e-11,49.62003744661598,4.379418109532095e-06,49.5806804286687,2.6344132675194956e-06,49.5806804286687,2.6344132675175135e-06,49.74927631155171,4.379434486397329e-06,49.74799554056329,5.268826535043545e-06,49.50000793218482,1.6376873322637094e-11,49.617229957792404,4.379418109523655e-06,49.57879182442656,2.6344132675254138e-06,49.57879182442657,2.6344132675178875e-06,0.4656019315460652,0.43122956945115254,49.753009572369756,49.825377681319814,0.4312311820347222,0.24481953089451153,0.46560193156798263,0.465601931567827,0.4500000000157955,0.45,0.0,1.5269639168685446e-14,49.91268884065991
832.0,0.0,49.75114294196146,4.379434486483334e-06,0.0,49.75050255646677,5.268826534947305e-06,49.561426433813665,1.637687355698546e-11,49.6200374466192,4.37941810960943e-06,49.58068042866922,2.634413267480899e-06,49.58068042866922,2.6344132674837177e-06,49.749276311552926,4.379434486480069e-06,49.7479955405635,5.268826534978872e-06,49.50000793218452,1.6376873805228157e-11,49.61722995779557,4.379418109606628e-06,49.57879182442702,2.6344132674916345e-06,49.57879182442703,2.6344132674854186e-06,0.4656019315061155,0.43122956941750673,49.753009572370004,49.8253776813202,0.4312311820353022,0.2448195308948408,0.4656019315770563,0.46560193157683505,0.4500000000141254,0.45,0.0,1.5269639168644814e-14,49.9126888406601
833.0,0.0,49.75114294195777,4.379434486632674e-06,0.0,49.750502556462365,5.268826534875889e-06,49.561426433815306,1.637687355751901e-11,49.620037446622845,4.37941810976633e-06,49.580680428669964,2.6344132674380012e-06,49.58068042866998,2.634413267438511e-06,49.749276311550126,4.379434486624468e-06,49.747995540559316,5.268826534879355e-06,49.5000079321842,1.637687325244218e-11,49.61722995779927,4.3794181097504495e-06,49.57879182442762,2.634413267439153e-06,49.578791824427654,2.6344132674367747e-06,0.46560193140200257,0.4312295693246876,49.753009572365414,49.825377681315935,0.4312311820097296,0.24481953088032268,0.4656019316201494,0.4656019316201093,0.4500000000202011,0.45,0.0,1.5269639168859643e-14,49.91268884065797
